Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
405  Points		405  Points		379  Points		216  Points		400  Points		321  Points		194  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.808809	2.42466	0.809599	2.42256	0.583346	1.8738	0.869502	0.236707	0.366165	2.27017	0.839473	2.24129	0.907376	1.19602
0.806391	2.43087	0.807183	2.42885	0.58521	1.86968	0.869617	0.241366	0.368424	2.2659	0.837238	2.2458	0.907648	1.19571
0.803966	2.43688	0.80476	2.43493	0.58707	1.86537	0.869767	0.247234	0.370678	2.26121	0.834999	2.24998	0.908039	1.19531
0.801536	2.44274	0.802332	2.44085	0.588926	1.86092	0.869952	0.254429	0.372928	2.25622	0.832756	2.25383	0.908464	1.19486
0.7991	2.44841	0.799898	2.44655	0.590777	1.85626	0.870177	0.263042	0.375173	2.25091	0.83051	2.25738	0.909042	1.19406
0.796659	2.45384	0.797458	2.45205	0.592624	1.85142	0.870444	0.273039	0.377412	2.24527	0.828259	2.26057	0.909773	1.1931
0.794212	2.45908	0.795013	2.45742	0.594466	1.84645	0.870721	0.283323	0.379646	2.23937	0.826006	2.26339	0.910655	1.19171
0.79176	2.46418	0.792563	2.46253	0.596302	1.84127	0.871008	0.293752	0.381873	2.23313	0.823751	2.26591	0.911688	1.18994
0.789303	2.46909	0.790108	2.46746	0.598133	1.83591	0.871306	0.304339	0.384094	2.22654	0.821493	2.26811	0.912873	1.18767
0.786842	2.4738	0.787648	2.47229	0.599959	1.83042	0.871615	0.315179	0.386309	2.21969	0.819232	2.26989	0.914054	1.1852
0.784375	2.47837	0.785183	2.47693	0.60178	1.82472	0.871934	0.326232	0.388516	2.21254	0.816971	2.27138	0.915234	1.18249
0.781905	2.48274	0.782714	2.48135	0.603594	1.8188	0.872264	0.337435	0.390716	2.20507	0.814708	2.27254	0.91641	1.17948
0.77943	2.48698	0.78024	2.4856	0.605403	1.81271	0.872606	0.348842	0.392909	2.1973	0.812444	2.2733	0.917583	1.17629
0.77695	2.49112	0.777762	2.48977	0.607205	1.80647	0.872959	0.360483	0.395093	2.18926	0.810179	2.27378	0.918753	1.17288
0.774467	2.49508	0.77528	2.49378	0.609001	1.80009	0.873324	0.372282	0.39727	2.18095	0.807914	2.27387	0.91992	1.16918
0.77198	2.49882	0.772795	2.49763	0.610791	1.79353	0.873701	0.384292	0.399438	2.17228	0.80565	2.27362	0.921082	1.16533
0.769489	2.50251	0.770305	2.50135	0.612574	1.78673	0.87409	0.396493	0.401597	2.1634	0.803385	2.27303	0.922241	1.16124
0.766995	2.50605	0.767812	2.50488	0.61435	1.77978	0.874491	0.408876	0.403747	2.15424	0.801122	2.27203	0.923395	1.15695
0.764497	2.50943	0.765315	2.50832	0.61612	1.77271	0.874904	0.421438	0.405888	2.14476	0.798859	2.27073	0.924546	1.15246
0.761996	2.5127	0.762815	2.51162	0.617882	1.76545	0.87533	0.434218	0.40802	2.13504	0.796598	2.26906	0.925691	1.14774
0.759492	2.51587	0.760312	2.51486	0.619637	1.75801	0.875769	0.447151	0.410141	2.12507	0.794339	2.26704	0.926832	1.14292
0.756984	2.51892	0.757805	2.51796	0.621384	1.75043	0.876221	0.46029	0.412253	2.11488	0.792082	2.26464	0.927968	1.13782
0.754474	2.52181	0.755296	2.52087	0.623123	1.74265	0.876686	0.47362	0.414354	2.10441	0.789828	2.26192	0.929099	1.13254
0.751961	2.52465	0.752784	2.52373	0.624855	1.73474	0.877164	0.487087	0.416445	2.09368	0.787576	2.25881	0.930224	1.12717
0.749445	2.52737	0.750268	2.5265	0.626579	1.7267	0.877656	0.500754	0.418525	2.08268	0.785328	2.25529	0.931344	1.12158
0.746926	2.52997	0.747751	2.52911	0.628295	1.71844	0.878162	0.514607	0.420594	2.0715	0.783084	2.25146	0.932458	1.11584
0.744405	2.53247	0.74523	2.53164	0.630002	1.71002	0.878682	0.528596	0.422652	2.0601	0.780843	2.24725	0.933567	1.10994
0.741881	2.53487	0.742708	2.53409	0.631701	1.70156	0.879215	0.542784	0.424698	2.04847	0.778607	2.24265	0.934669	1.10386
0.739355	2.53724	0.740182	2.53649	0.633392	1.69287	0.879763	0.557157	0.426732	2.03667	0.776376	2.2377	0.935766	1.09771
0.736827	2.53947	0.737655	2.53877	0.635074	1.68402	0.880325	0.571623	0.428755	2.02462	0.774149	2.23238	0.936856	1.09142
0.734297	2.5416	0.735125	2.54091	0.636747	1.67504	0.880901	0.586266	0.430765	2.01236	0.771929	2.22669	0.93794	1.08499
0.731764	2.54369	0.732593	2.54302	0.63841	1.66596	0.881493	0.601084	0.432764	1.99999	0.769714	2.2206	0.939017	1.07839
0.729229	2.5457	0.730059	2.54506	0.640065	1.65674	0.882099	0.616032	0.434749	1.98743	0.767505	2.21413	0.940088	1.07176
0.726693	2.54764	0.727523	2.54699	0.641711	1.64737	0.88272	0.631132	0.436723	1.97465	0.765303	2.20727	0.941152	1.06502
0.724154	2.54943	0.724985	2.54885	0.643347	1.63787	0.883356	0.646395	0.438683	1.96176	0.763108	2.20003	0.94221	1.05814
0.721614	2.5512	0.722446	2.55066	0.644973	1.62827	0.884008	0.661783	0.440631	1.94878	0.760921	2.19241	0.94326	1.05123
0.719072	2.55293	0.719904	2.55239	0.64659	1.61857	0.884674	0.677233	0.442565	1.93565	0.758741	2.18436	0.944304	1.04422
0.716529	2.55456	0.717361	2.55401	0.648198	1.60869	0.885357	0.692844	0.444486	1.92233	0.756569	2.17598	0.94534	1.03712
0.713984	2.55617	0.714817	2.55561	0.649795	1.59877	0.886055	0.708623	0.446394	1.90896	0.754406	2.16719	0.94637	1.02998
0.711437	2.55766	0.71227	2.55716	0.651383	1.58874	0.886768	0.724441	0.448289	1.89551	0.752252	2.15801	0.947392	1.02281
0.708889	2.55908	0.709723	2.55862	0.65296	1.57862	0.887498	0.74041	0.45017	1.88194	0.750107	2.14841	0.948407	1.01558
0.706339	2.56045	0.707174	2.56006	0.654527	1.5684	0.888243	0.756454	0.452038	1.86835	0.747972	2.13838	0.949415	1.00833
0.703788	2.56179	0.704623	2.56138	0.656084	1.55804	0.889005	0.772622	0.453892	1.85467	0.745847	2.12796	0.950416	1.00106
0.701236	2.5631	0.702071	2.56263	0.657631	1.54767	0.889782	0.788852	0.455733	1.84093	0.743733	2.11716	0.951409	0.993749
0.698682	2.56432	0.699518	2.56392	0.659167	1.53723	0.890576	0.805114	0.457559	1.82722	0.74163	2.10597	0.952395	0.986408
0.696127	2.56547	0.696964	2.56512	0.660693	1.52669	0.891386	0.821564	0.459373	1.81352	0.739538	2.09433	0.953374	0.979141
0.693572	2.56655	0.694408	2.56622	0.662209	1.51609	0.892213	0.838022	0.461172	1.79974	0.737458	2.08231	0.954346	0.971824
0.691015	2.56767	0.691852	2.5673	0.663713	1.5055	0.893055	0.854484	0.462958	1.786	0.73539	2.0699	0.95531	0.964526
0.688457	2.5687	0.689294	2.56832	0.665208	1.49479	0.893915	0.871034	0.46473	1.77233	0.733335	2.05702	0.956267	0.957324
0.685898	2.56963	0.686735	2.56932	0.666691	1.48402	0.894791	0.887672	0.466488	1.75864	0.731292	2.04374	0.957217	0.950083
0.683338	2.57054	0.684176	2.57028	0.668164	1.4733	0.895683	0.90431	0.468233	1.74509	0.729263	2.0301	0.95816	0.942909
0.680777	2.57141	0.681615	2.57117	0.669626	1.46253	0.896592	0.920992	0.469965	1.73155	0.727248	2.01599	0.959096	0.93577
0.678216	2.57228	0.679054	2.572	0.671077	1.45168	0.897518	0.937696	0.471682	1.71811	0.725247	2.00147	0.960024	0.92869
0.675653	2.57307	0.676492	2.57279	0.672518	1.44084	0.89846	0.954368	0.473387	1.7048	0.723261	1.98656	0.960946	0.921727
0.67309	2.57379	0.673929	2.57358	0.673947	1.43005	0.899419	0.971066	0.475079	1.69156	0.72129	1.97119	0.96186	0.914822
0.670526	2.57452	0.671365	2.5743	0.675366	1.41924	0.900394	0.987778	0.476757	1.67844	0.719335	1.95546	0.962768	0.90799
0.667961	2.57521	0.668801	2.57496	0.676775	1.40841	0.901387	1.0045	0.478422	1.66551	0.717395	1.93934	0.963669	0.901238
0.665396	2.5758	0.666236	2.57558	0.678172	1.39759	0.902395	1.02113	0.480075	1.65272	0.715471	1.92277	0.964563	0.894568
0.66283	2.57638	0.66367	2.57622	0.679559	1.3868	0.903421	1.03777	0.481714	1.64008	0.713565	1.90577	0.965451	0.888027
0.660264	2.57694	0.661104	2.5768	0.680935	1.37608	0.904463	1.05441	0.483342	1.62766	0.711675	1.88839	0.966332	0.881637
0.657697	2.57744	0.658537	2.57726	0.6823	1.36539	0.905521	1.07096	0.484957	1.61538	0.709803	1.87062	0.967207	0.875322
0.655129	2.57793	0.65597	2.57777	0.683655	1.35471	0.906596	1.08751	0.48656	1.60334	0.707949	1.85242	0.968076	0.869131
0.652561	2.57838	0.653402	2.57825	0.684999	1.34409	0.907688	1.10393	0.488151	1.59148	0.706113	1.83387	0.968939	0.863089
0.649993	2.57877	0.650834	2.57862	0.686332	1.33353	0.908795	1.12029	0.48973	1.57987	0.704295	1.81488	0.969795	0.857165
0.647424	2.57912	0.648265	2.579	0.687655	1.32305	0.909919	1.13666	0.491298	1.56852	0.702497	1.79553	0.970646	0.851387
0.644855	2.57946	0.645696	2.57933	0.688968	1.31266	0.911059	1.15286	0.492854	1.55734	0.700719	1.77581	0.971491	0.845811
0.642286	2.57971	0.643127	2.57964	0.69027	1.30235	0.912216	1.16893	0.4944	1.54651	0.69896	1.75569	0.972331	0.84038
0.639717	2.57996	0.640557	2.57992	0.691562	1.29208	0.913388	1.18499	0.495935	1.53589	0.697221	1.73521	0.973165	0.835064
0.637147	2.58019	0.637988	2.58014	0.692844	1.28192	0.914576	1.20094	0.49746	1.52551	0.695503	1.71436	0.973994	0.829937
0.634577	2.5804	0.635418	2.5803	0.694116	1.2719	0.91578	1.21672	0.498974	1.51543	0.693806	1.6932	0.974819	0.824947
0.632006	2.58056	0.632848	2.58047	0.695377	1.26195	0.917	1.23241	0.500479	1.50566	0.69213	1.67168	0.975638	0.820198
0.629436	2.58061	0.630277	2.58062	0.696629	1.25212	0.918235	1.24796	0.501973	1.49619	0.690476	1.64979	0.976452	0.815658
0.626866	2.58072	0.627707	2.58067	0.697872	1.2424	0.919486	1.26337	0.503459	1.48694	0.688844	1.62757	0.977263	0.811221
0.624295	2.58075	0.625136	2.58076	0.699104	1.23286	0.920752	1.27861	0.504936	1.47807	0.687234	1.60507	0.978068	0.806966
0.621725	2.58074	0.622566	2.58077	0.700328	1.22341	0.922033	1.29373	0.506403	1.46948	0.685646	1.58226	0.97887	0.802975
0.619154	2.58072	0.619995	2.58071	0.701541	1.21405	0.923329	1.3087	0.507863	1.4612	0.684082	1.55916	0.979668	0.79916
0.616584	2.58067	0.617425	2.58068	0.702746	1.2049	0.92464	1.3235	0.509314	1.45324	0.682541	1.53575	0.980462	0.795519
0.614013	2.58058	0.614855	2.58061	0.703942	1.19587	0.925966	1.3381	0.510758	1.44554	0.681023	1.51207	0.981253	0.792139
0.611443	2.5804	0.612284	2.58047	0.705128	1.18702	0.927306	1.35255	0.512194	1.43822	0.679528	1.48811	0.98204	0.788932
0.608873	2.58021	0.609714	2.58029	0.706306	1.1783	0.92866	1.36683	0.513623	1.43122	0.678058	1.46395	0.982824	0.785942
0.606303	2.58001	0.607144	2.58008	0.707476	1.1697	0.930028	1.38087	0.515045	1.42448	0.676612	1.43953	0.983606	0.783147
0.603734	2.57977	0.604575	2.57985	0.708636	1.16137	0.931411	1.39477	0.51646	1.41811	0.675191	1.41488	0.984384	0.780623
0.601164	2.57947	0.602005	2.57957	0.709789	1.15313	0.932807	1.40844	0.51787	1.41207	0.673794	1.3901	0.985161	0.778278
0.598595	2.57912	0.599436	2.57925	0.710933	1.14506	0.934217	1.42191	0.519273	1.40628	0.672421	1.36506	0.985935	0.776152
0.596026	2.57878	0.596867	2.57888	0.71207	1.13722	0.935639	1.43522	0.520671	1.40087	0.671074	1.33986	0.986707	0.774266
0.593458	2.57836	0.594299	2.57849	0.713199	1.12953	0.937076	1.44825	0.522064	1.39582	0.669752	1.31449	0.987477	0.772586
0.59089	2.57786	0.591731	2.57806	0.71432	1.122	0.938524	1.46105	0.523452	1.391	0.668456	1.28899	0.988246	0.771183
0.588323	2.57739	0.589163	2.57754	0.715434	1.11468	0.939986	1.47369	0.524835	1.38651	0.667185	1.26337	0.989013	0.770004
0.585756	2.57687	0.586596	2.57702	0.716541	1.10756	0.94146	1.48607	0.526214	1.38241	0.665939	1.2376	0.98978	0.769025
0.58319	2.57626	0.584029	2.5765	0.71764	1.10061	0.942946	1.49825	0.527589	1.37853	0.664719	1.21173	0.990545	0.768276
0.580624	2.57566	0.581463	2.57588	0.718733	1.09389	0.944445	1.51018	0.52896	1.37499	0.663525	1.18581	0.99131	0.767814
0.578059	2.57497	0.578898	2.57518	0.719819	1.08732	0.945955	1.52183	0.530328	1.37175	0.662357	1.1598	0.992075	0.76754
0.575494	2.5742	0.576334	2.57446	0.720899	1.08096	0.947476	1.53328	0.531692	1.36883	0.661215	1.13377	0.992839	0.767533
0.572931	2.57345	0.57377	2.57372	0.721973	1.07484	0.949009	1.54456	0.533054	1.3662	0.660099	1.1077	0.993604	0.76779
0.570368	2.57263	0.571207	2.57292	0.72304	1.06887	0.950553	1.55548	0.534414	1.36384	0.659008	1.08157	0.994369	0.768221
