Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.635374	2.66075	0.636469	2.6606	0.705276	5.07728	0.922139	6.64442	0.488505	3.53252	0.6947	5.00314
0.632808	2.66111	0.633903	2.66095	0.70682	5.05217	0.92322	6.6048	0.490532	3.52181	0.695908	4.97614
0.630244	2.66147	0.631339	2.66131	0.708356	5.02735	0.924315	6.56585	0.492548	3.51118	0.697135	4.94967
0.62768	2.66184	0.628775	2.66168	0.709884	5.00283	0.925422	6.52753	0.494554	3.50062	0.698383	4.92371
0.625118	2.66222	0.626212	2.66206	0.711404	4.9786	0.926544	6.48985	0.496548	3.49013	0.699652	4.89826
0.622557	2.6626	0.62365	2.66244	0.712917	4.95465	0.927679	6.45278	0.498532	3.47971	0.700941	4.8733
0.619996	2.663	0.621089	2.66283	0.714422	4.93098	0.928828	6.41632	0.500504	3.46936	0.70225	4.84882
0.617438	2.6634	0.61853	2.66323	0.715919	4.90757	0.92999	6.38045	0.502466	3.45908	0.703579	4.82482
0.61488	2.66381	0.615972	2.66364	0.717408	4.88443	0.931166	6.34515	0.504417	3.44886	0.704929	4.80128
0.612324	2.66424	0.613415	2.66405	0.718889	4.86155	0.932355	6.31043	0.506357	3.43871	0.706299	4.7782
0.609769	2.66467	0.610859	2.66448	0.720363	4.83892	0.933558	6.27626	0.508286	3.42861	0.70769	4.75556
0.607215	2.66511	0.608305	2.66492	0.721828	4.81654	0.934774	6.24263	0.510205	3.41859	0.709101	4.73336
0.604663	2.66556	0.605752	2.66537	0.723286	4.7944	0.936004	6.20954	0.512112	3.40862	0.710531	4.71159
0.602113	2.66602	0.603201	2.66582	0.724736	4.7725	0.937247	6.17697	0.514008	3.39871	0.711982	4.69023
0.599564	2.6665	0.600652	2.66629	0.726178	4.75084	0.938503	6.14491	0.515894	3.38886	0.713453	4.66929
0.597017	2.66698	0.598104	2.66678	0.727612	4.7294	0.939773	6.11336	0.517769	3.37907	0.714944	4.64874
0.594472	2.66748	0.595558	2.66727	0.729039	4.70819	0.941056	6.0823	0.519634	3.36933	0.716455	4.62859
0.591928	2.66799	0.593014	2.66777	0.730457	4.68721	0.942352	6.05172	0.521487	3.35966	0.717986	4.60882
0.589387	2.66852	0.590472	2.66829	0.731869	4.66644	0.943661	6.02161	0.523331	3.35003	0.719536	4.58943
0.586848	2.66906	0.587931	2.66883	0.733272	4.64588	0.944984	5.99196	0.525164	3.34047	0.721106	4.5704
0.58431	2.66961	0.585393	2.66937	0.734668	4.62554	0.946319	5.96277	0.526986	3.33096	0.722695	4.55174
0.581775	2.67018	0.582857	2.66994	0.736057	4.6054	0.947667	5.93402	0.528798	3.3215	0.724303	4.53343
0.579243	2.67077	0.580324	2.67052	0.737438	4.58546	0.949028	5.90571	0.530601	3.3121	0.725931	4.51547
0.576712	2.67137	0.577792	2.67111	0.738811	4.56573	0.950402	5.87783	0.532393	3.30276	0.727577	4.49784
0.574185	2.67199	0.575263	2.67172	0.740178	4.54619	0.951788	5.85037	0.534176	3.29346	0.729242	4.48055
0.57166	2.67263	0.572737	2.67235	0.741537	4.52684	0.953187	5.82331	0.535948	3.28423	0.730926	4.46358
0.569137	2.67328	0.570214	2.673	0.742889	4.50769	0.954598	5.79666	0.537711	3.27504	0.732628	4.44692
0.566618	2.67396	0.567693	2.67367	0.744234	4.48872	0.956022	5.77041	0.539465	3.26591	0.734348	4.43058
0.564102	2.67465	0.565176	2.67435	0.745572	4.46994	0.957458	5.74454	0.54121	3.25683	0.736087	4.41454
0.561589	2.67537	0.562661	2.67506	0.746902	4.45133	0.958906	5.71905	0.542945	3.24781	0.737843	4.3988
0.559079	2.67612	0.56015	2.6758	0.748227	4.43291	0.960366	5.69393	0.544672	3.23884	0.739617	4.38334
0.556573	2.67688	0.557642	2.67655	0.749544	4.41466	0.961838	5.66918	0.54639	3.22993	0.741408	4.36817
0.55407	2.67767	0.555138	2.67733	0.750855	4.39659	0.963321	5.64478	0.548099	3.22106	0.743216	4.35328
0.551571	2.67849	0.552637	2.67814	0.752159	4.37869	0.964816	5.62074	0.5498	3.21226	0.745042	4.33866
0.549076	2.67933	0.550141	2.67897	0.753456	4.36096	0.966323	5.59704	0.551492	3.2035	0.746884	4.32431
0.546586	2.68021	0.547648	2.67983	0.754748	4.34339	0.967841	5.57368	0.553177	3.19481	0.748742	4.31021
0.544099	2.68111	0.54516	2.68072	0.756033	4.32599	0.96937	5.55064	0.554854	3.18616	0.750616	4.29636
0.541618	2.68204	0.542677	2.68164	0.757312	4.30876	0.97091	5.52794	0.556523	3.17757	0.752507	4.28277
0.539141	2.68301	0.540198	2.6826	0.758585	4.29168	0.972461	5.50555	0.558185	3.16904	0.754413	4.26942
0.536669	2.68402	0.537724	2.68358	0.759852	4.27476	0.974023	5.48347	0.55984	3.16056	0.756334	4.2563
0.534203	2.68506	0.535255	2.68461	0.761113	4.258	0.975595	5.46169	0.561487	3.15214	0.758271	4.24341
0.531742	2.68614	0.532792	2.68567	0.762369	4.24139	0.977178	5.44022	0.563128	3.14377	0.760223	4.23075
0.529288	2.68726	0.530335	2.68677	0.763619	4.22493	0.978771	5.41904	0.564763	3.13546	0.762189	4.21831
0.526839	2.68842	0.527883	2.68792	0.764864	4.20862	0.980375	5.39815	0.566391	3.12721	0.764169	4.20608
0.524397	2.68963	0.525439	2.68911	0.766104	4.19247	0.981988	5.37754	0.568013	3.11901	0.766163	4.19407
0.521961	2.69088	0.523	2.69034	0.767338	4.17646	0.983611	5.35721	0.569629	3.11087	0.768171	4.18226
0.519533	2.69219	0.520569	2.69163	0.768567	4.16059	0.985243	5.33715	0.571239	3.10279	0.770193	4.17065
0.517113	2.69355	0.518145	2.69296	0.769792	4.14487	0.986886	5.31735	0.572844	3.09476	0.772227	4.15923
0.5147	2.69496	0.515729	2.69435	0.771011	4.1293	0.988537	5.29782	0.574444	3.0868	0.774275	4.14801
0.512295	2.69644	0.513321	2.6958	0.772226	4.11386	0.990198	5.27854	0.576039	3.07889	0.776335	4.13697
0.5099	2.69797	0.510921	2.69731	0.773437	4.09856	0.991867	5.25951	0.577629	3.07104	0.778407	4.12611
0.507513	2.69957	0.508531	2.69888	0.774643	4.0834	0.993545	5.24074	0.579214	3.06324	0.780492	4.11543
0.505136	2.70124	0.50615	2.70052	0.775845	4.06837	0.995232	5.2222	0.580795	3.05551	0.782588	4.10493
0.50277	2.70298	0.503779	2.70223	0.777043	4.05348	0.996928	5.20389	0.582372	3.04784	0.784695	4.09459
0.500414	2.7048	0.501418	2.70401	0.778237	4.03873	0.998631	5.18583	0.583945	3.04022	0.786814	4.08441
0.498069	2.70669	0.499068	2.70587	0.779427	4.0241	1.00034	5.16798	0.585515	3.03267	0.788943	4.0744
0.495736	2.70868	0.49673	2.70782	0.780614	4.00961			0.587081	3.02517	0.791083	4.06454
0.493415	2.71075	0.494404	2.70985	0.781796	3.99525			0.588643	3.01773	0.793233	4.05484
0.491107	2.71292	0.492091	2.71198	0.782976	3.98101			0.590203	3.01036	0.795393	4.04529
0.488813	2.71518	0.489791	2.7142	0.784152	3.9669			0.59176	3.00304	0.797562	4.03587
0.486533	2.71755	0.487505	2.71653	0.785325	3.95292			0.593314	2.99579	0.799741	4.02661
0.484268	2.72003	0.485233	2.71896	0.786495	3.93906			0.594866	2.98859	0.801929	4.01747
0.482019	2.72263	0.482977	2.72151	0.787662	3.92532			0.596415	2.98146	0.804126	4.00848
0.479786	2.72535	0.480737	2.72418	0.788827	3.91171			0.597963	2.97438	0.806331	3.99961
0.47757	2.7282	0.478514	2.72697	0.789989	3.89822			0.599508	2.96737	0.808544	3.99087
0.475372	2.73118	0.476308	2.72989	0.791148	3.88484			0.601053	2.96042	0.810765	3.98226
0.473193	2.73431	0.474121	2.73296	0.792305	3.87159			0.602595	2.95353	0.812993	3.97376
0.471033	2.73758	0.471952	2.73617	0.79346	3.85846			0.604137	2.9467	0.815229	3.96538
0.468893	2.74101	0.469804	2.73953	0.794613	3.84544			0.605677	2.93993	0.817472	3.95712
0.466773	2.74461	0.467675	2.74305	0.795764	3.83253			0.607217	2.93322	0.819721	3.94897
0.464676	2.74837	0.465569	2.74674	0.796913	3.81974			0.608756	2.92657	0.821977	3.94093
0.462601	2.75231	0.463484	2.75061	0.79806	3.80707			0.610294	2.91999	0.824239	3.93299
0.460549	2.75644	0.461422	2.75465	0.799206	3.7945			0.611832	2.91346	0.826507	3.92516
0.458522	2.76076	0.459384	2.75889	0.80035	3.78205			0.61337	2.907	0.828781	3.91743
0.456518	2.76528	0.45737	2.76333	0.801493	3.76971			0.614908	2.90059	0.831059	3.90979
0.45454	2.77001	0.455382	2.76797	0.802635	3.75748			0.616446	2.89425	0.833343	3.90225
0.452588	2.77496	0.453418	2.77282	0.803776	3.74535			0.617984	2.88797	0.835631	3.8948
0.450663	2.78013	0.451481	2.7779	0.804916	3.73334			0.619523	2.88175	0.837924	3.88744
0.448764	2.78553	0.449571	2.7832	0.806055	3.72143			0.621063	2.87559	0.840221	3.88016
0.446893	2.79118	0.447688	2.78874	0.807193	3.70963			0.622604	2.86949	0.842522	3.87298
0.44505	2.79707	0.445833	2.79452	0.808331	3.69793			0.624145	2.86345	0.844826	3.86587
0.443236	2.80321	0.444007	2.80056	0.809469	3.68634			0.625688	2.85746	0.847134	3.85884
