Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.661075	2.58381	0.662173	2.58404	0.689422	1.6286	0.912071	0.943965	0.46766	2.14356	0.683727	1.00277
0.658501	2.58319	0.6596	2.58347	0.69104	1.62147	0.913018	0.957162	0.469791	2.13369	0.684735	1.02226
0.655929	2.58256	0.657027	2.58284	0.692652	1.61422	0.913978	0.970476	0.471911	2.12373	0.685763	1.04188
0.653357	2.5819	0.654455	2.58219	0.694256	1.60682	0.914952	0.98385	0.474021	2.11364	0.686811	1.06161
0.650785	2.58118	0.651883	2.58148	0.695853	1.59944	0.915938	0.997209	0.476121	2.10348	0.687878	1.0814
0.648215	2.58045	0.649312	2.58078	0.697442	1.59198	0.916938	1.01065	0.478211	2.0932	0.688965	1.10135
0.645645	2.57968	0.646742	2.58005	0.699024	1.58444	0.917951	1.02413	0.480291	2.08278	0.690072	1.12142
0.643076	2.57891	0.644173	2.57921	0.700598	1.57685	0.918978	1.03763	0.48236	2.07232	0.691199	1.14151
0.640508	2.57806	0.641604	2.5784	0.702165	1.56921	0.920018	1.05114	0.484419	2.06176	0.692346	1.16165
0.63794	2.57716	0.639036	2.57755	0.703724	1.56157	0.921072	1.06474	0.486467	2.05111	0.693513	1.1819
0.635374	2.57621	0.636469	2.57664	0.705276	1.55385	0.922139	1.07834	0.488505	2.04037	0.6947	1.20221
0.632808	2.57527	0.633903	2.57567	0.70682	1.54605	0.92322	1.09195	0.490532	2.02962	0.695908	1.22255
0.630244	2.57426	0.631339	2.5747	0.708356	1.53825	0.924315	1.10555	0.492548	2.01884	0.697135	1.2429
0.62768	2.57319	0.628775	2.5737	0.709884	1.53045	0.925422	1.11916	0.494554	2.00794	0.698383	1.2633
0.625118	2.5721	0.626212	2.57257	0.711404	1.5226	0.926544	1.13281	0.496548	1.99703	0.699652	1.28373
0.622557	2.57094	0.62365	2.57143	0.712917	1.51474	0.927679	1.14643	0.498532	1.98607	0.700941	1.30417
