Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
416  Points		416  Points		380  Points		231  Points		400  Points		360  Points		240  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.770318	2.60723	0.770298	2.60724	0.605421	5.56674	0.856282	7.90222	0.407591	3.75092	0.853563	3.56375	0.873042	8.04738
0.768229	2.60895	0.768209	2.60897	0.607016	5.53075	0.856624	7.83338	0.409425	3.73359	0.851784	3.57117	0.874373	7.98633
0.766127	2.61064	0.766106	2.61066	0.6086	5.49531	0.856984	7.76594	0.411245	3.71642	0.849989	3.57859	0.875696	7.92631
0.76401	2.6123	0.76399	2.61231	0.610172	5.4604	0.857362	7.69986	0.413048	3.69942	0.848178	3.58601	0.877011	7.86728
0.761881	2.61392	0.761861	2.61393	0.611733	5.42601	0.857758	7.63512	0.414836	3.68258	0.846351	3.59342	0.878316	7.80921
0.759738	2.6155	0.759717	2.61552	0.613283	5.39212	0.858173	7.57169	0.416608	3.6659	0.844509	3.60082	0.879612	7.75209
0.757581	2.61705	0.757561	2.61707	0.614821	5.35871	0.858606	7.50951	0.418365	3.64937	0.842651	3.60822	0.880899	7.69587
0.755412	2.61857	0.755391	2.61858	0.616347	5.32578	0.859058	7.44858	0.420105	3.63298	0.840778	3.61562	0.882176	7.64055
0.753228	2.62004	0.753207	2.62006	0.617861	5.29331	0.859529	7.38885	0.421829	3.61674	0.83889	3.62302	0.883444	7.58609
0.751032	2.62149	0.751011	2.6215	0.619363	5.26128	0.860018	7.3303	0.423537	3.60064	0.836987	3.63042	0.884702	7.53247
0.748823	2.6229	0.748802	2.62291	0.620853	5.22969	0.860527	7.27289	0.425229	3.58467	0.83507	3.63782	0.885951	7.47967
0.746601	2.62427	0.74658	2.62428	0.622331	5.19852	0.861056	7.21661	0.426904	3.56882	0.833138	3.64522	0.887189	7.42766
0.744367	2.62561	0.744345	2.62562	0.623796	5.16776	0.861604	7.16142	0.428563	3.55311	0.831191	3.65262	0.888418	7.37644
0.74212	2.62691	0.742099	2.62692	0.625248	5.1374	0.862171	7.1073	0.430207	3.53752	0.829231	3.66003	0.889636	7.32597
0.739862	2.62818	0.73984	2.6282	0.626688	5.10743	0.862758	7.05422	0.431834	3.52205	0.827257	3.66744	0.890845	7.27624
0.737592	2.62942	0.73757	2.62943	0.628115	5.07785	0.863365	7.00215	0.433444	3.50671	0.82527	3.67485	0.892042	7.22723
0.73531	2.63063	0.735288	2.63064	0.629529	5.04863	0.863992	6.95109	0.43504	3.49148	0.823269	3.68228	0.89323	7.17892
0.733017	2.6318	0.732995	2.63181	0.630931	5.01977	0.864639	6.90099	0.436619	3.47636	0.821256	3.68971	0.894407	7.13129
0.730713	2.63295	0.730691	2.63296	0.63232	4.99127	0.865306	6.85184	0.438182	3.46136	0.819231	3.69715	0.895574	7.08433
0.728399	2.63406	0.728377	2.63407	0.633695	4.9631	0.865993	6.80362	0.43973	3.44647	0.817193	3.70461	0.89673	7.03803
