Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
473  Points		492  Points		473  Points		211  Points		130  Points		120  Points		385  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.360961	4.11688	0.177629	2.08617	0.357113	4.22647	0.681509	8.11686	0.820968	9.2508	0.87627	9.81093	0.578284	6.89034	0.742169	8.83598
0.361365	4.10591	0.179714	2.08781	0.358236	4.19352	0.68709	8.09351	0.826068	9.23623	0.882332	9.77682	0.581152	6.84849	0.748049	8.80829
0.361624	4.09893	0.181799	2.08942	0.359361	4.16131	0.692608	8.06995	0.830268	9.22417	0.888484	9.74438	0.583948	6.80671	0.753945	8.78137
0.361996	4.08896	0.183883	2.09099	0.360489	4.12982	0.698063	8.04616	0.833578	9.21461	0.894725	9.71358	0.586675	6.76502	0.759853	8.75517
0.362401	4.07821	0.185968	2.09252	0.36162	4.09902	0.703454	8.02214	0.836005	9.20758	0.901057	9.68437	0.589335	6.72346	0.76577	8.72964
0.362952	4.06372	0.188052	2.09402	0.362754	4.0689	0.708779	7.9979	0.837556	9.20307	0.907481	9.6567	0.591931	6.68205	0.771695	8.70473
0.363651	4.04561	0.190136	2.09549	0.363891	4.03944	0.714039	7.97342	0.839781	9.19658	0.913995	9.63054	0.594464	6.64081	0.777625	8.68039
0.364497	4.02405	0.19222	2.09693	0.365032	4.01063	0.719231	7.94871	0.842194	9.18952	0.920598	9.60581	0.596939	6.59976	0.783557	8.65658
0.365493	3.99919	0.194304	2.09834	0.366177	3.98244	0.724357	7.92376	0.845466	9.1799	0.927288	9.58247	0.599356	6.55892	0.78949	8.63326
0.366639	3.97125	0.196388	2.09971	0.367325	3.95485	0.729414	7.89858	0.849589	9.16769	0.934064	9.56044	0.601718	6.51831	0.79542	8.61038
0.367789	3.9439	0.198472	2.10106	0.368478	3.92786	0.734403	7.87317	0.854551	9.15288	0.940922	9.53966	0.604027	6.47794	0.801345	8.58791
0.368943	3.91715	0.200556	2.10238	0.369634	3.90144	0.739323	7.84753	0.860339	9.13543	0.947859	9.52006	0.606286	6.43784	0.807264	8.56581
0.370102	3.89096	0.202639	2.10368	0.370795	3.87558	0.744174	7.82167	0.866935	9.11529	0.953966	9.5039	0.608496	6.39801	0.813173	8.54405
0.371264	3.86532	0.204723	2.10495	0.371961	3.85027	0.748955	7.79558	0.873484	9.09505	0.959215	9.49075	0.610659	6.35847	0.819072	8.52259
0.372432	3.84022	0.206806	2.10619	0.373131	3.82549	0.753667	7.76928	0.879985	9.0747	0.963585	9.4803	0.612778	6.31922	0.824957	8.50142
0.373604	3.81565	0.208889	2.10741	0.374305	3.80122	0.758309	7.74277	0.88644	9.05428	0.967057	9.4723	0.614853	6.28029	0.830828	8.48049
0.37478	3.79159	0.210972	2.10861	0.375485	3.77746	0.762882	7.71606	0.89285	9.03378	0.969621	9.46655	0.616888	6.24167	0.836681	8.45978
0.375962	3.76802	0.213055	2.10978	0.376669	3.75419	0.767386	7.68916	0.899217	9.01324	0.971266	9.46294	0.618884	6.20338	0.842515	8.43927
0.377148	3.74494	0.215138	2.11093	0.377859	3.73139	0.77182	7.66206	0.905544	8.99267	0.973636	9.45782	0.620841	6.16543	0.848328	8.41892
0.378339	3.72233	0.217221	2.11206	0.379053	3.70906	0.776186	7.63479	0.911832	8.97211	0.976219	9.45236	0.622763	6.12781	0.854118	8.39873
0.379535	3.70018	0.219304	2.11317	0.380252	3.68718	0.780484	7.60734	0.918085	8.95157	0.979745	9.44512	0.62465	6.09055	0.859884	8.37867
0.380737	3.67848	0.221387	2.11426	0.381456	3.66574	0.784713	7.57973	0.924304	8.93107	0.984224	9.43623	0.626504	6.05363	0.865624	8.35871
0.381943	3.65722	0.223469	2.11532	0.382666	3.64473	0.788876	7.55198	0.930492	8.91065	0.989668	9.42588	0.628327	6.01708	0.871336	8.33884
0.383155	3.63638	0.225552	2.11637	0.383881	3.62414	0.792972	7.52408	0.936651	8.89031	0.996091	9.41426	0.630119	5.98088	0.877018	8.31905
0.384372	3.61596	0.227634	2.1174	0.385101	3.60396	0.797001	7.49604	0.942783	8.87007	1.00351	9.40156	0.631883	5.94504	0.882669	8.29931
0.385594	3.59593	0.229717	2.11841	0.386326	3.58417	0.800966	7.46789	0.94889	8.84995			0.633619	5.90957	0.888288	8.2796
0.386821	3.57631	0.231799	2.1194	0.387557	3.56477	0.804865	7.43962	0.954975	8.82997			0.635328	5.87446	0.893873	8.25993
0.388054	3.55707	0.233881	2.12038	0.388793	3.54576	0.808702	7.41126	0.961037	8.81013			0.637012	5.83973	0.899422	8.24026
0.389292	3.5382	0.235963	2.12134	0.390034	3.52711	0.812475	7.3828	0.967079	8.79044			0.638671	5.80536	0.904934	8.22059
0.390536	3.51969	0.238045	2.12228	0.39128	3.50882	0.816187	7.35427	0.973102	8.7709			0.640308	5.77136	0.910409	8.20091
0.391784	3.50155	0.240127	2.12321	0.392532	3.49088	0.819837	7.32566	0.979106	8.75153			0.641923	5.73772	0.915844	8.18121
0.393038	3.48375	0.242209	2.12412	0.39379	3.47328	0.823428	7.29699	0.985093	8.73232			0.643516	5.70446	0.921238	8.16148
0.394298	3.46628	0.244291	2.12501	0.395053	3.45602	0.826959	7.26828	0.991062	8.71327			0.645089	5.67156	0.926592	8.1417
0.395563	3.44915	0.246373	2.12589	0.396321	3.43908	0.830432	7.23952	0.997015	8.69439			0.646643	5.63903	0.931902	8.12187
0.396833	3.43235	0.248455	2.12675	0.397594	3.42246	0.833849	7.21074	1.00295	8.67567			0.648179	5.60687	0.937169	8.10199
0.398109	3.41585	0.250536	2.12761	0.398873	3.40616	0.837209	7.18194					0.649696	5.57507	0.942392	8.08204
0.39939	3.39967	0.252618	2.12844	0.400158	3.39015	0.840515	7.15312					0.651197	5.54363	0.947569	8.06202
0.400677	3.38379	0.2547	2.12927	0.401448	3.37444	0.843767	7.12431					0.652682	5.51255	0.952701	8.04193
0.401969	3.36819	0.256781	2.13008	0.402743	3.35902	0.846966	7.0955					0.654152	5.48182	0.957785	8.02176
0.403266	3.35289	0.258863	2.13088	0.404043	3.34389	0.850113	7.0667					0.655607	5.45145	0.962822	8.00151
0.404569	3.33786	0.260944	2.13166	0.405349	3.32902	0.853209	7.03794					0.657048	5.42144	0.967812	7.98118
0.405877	3.32311	0.263026	2.13243	0.40666	3.31443	0.856256	7.0092					0.658476	5.39177	0.972752	7.96076
0.40719	3.30863	0.265107	2.13319	0.407977	3.3001	0.859254	6.9805					0.659891	5.36245	0.977644	7.94025
0.408509	3.2944	0.267188	2.13394	0.409299	3.28603	0.862205	6.95186					0.661294	5.33347	0.982487	7.91965
0.409833	3.28043	0.269269	2.13468	0.410626	3.27221	0.865109	6.92326					0.662686	5.30483	0.98728	7.89897
0.411162	3.26671	0.271351	2.13541	0.411959	3.25863	0.867967	6.89473					0.664066	5.27653	0.992023	7.87819
0.412497	3.25323	0.273432	2.13612	0.413296	3.2453	0.870782	6.86627					0.665437	5.24856	0.996717	7.85733
0.413837	3.23999	0.275513	2.13683	0.414639	3.2322	0.873552	6.83788					0.666797	5.22092	1.00136	7.83637
0.415182	3.22698	0.277594	2.13752	0.415987	3.21933	0.87628	6.80957					0.668147	5.19361		
0.416532	3.2142	0.279675	2.13821	0.417341	3.20668	0.878967	6.78135					0.669489	5.16662		
0.417888	3.20164	0.281756	2.13888	0.418699	3.19425	0.881613	6.75323					0.670822	5.13995		
