Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym3		Asym4	
470  Points		492  Points		195  Points		132  Points		120  Points		371  Points		144  Points		116  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.334366	1.71745	0.111412	2.24928	0.473719	6.75149	0.60913	6.73671	0.7104	4.52216	0.436332	6.2065	0.597203	5.00021	0.812667	3.48943
0.335943	1.67043	0.113507	2.2487	0.480026	6.78462	0.615434	6.79311	0.714634	4.56842	0.442089	6.15071	0.601884	5.04762	0.815937	3.5306
0.337479	1.62746	0.115602	2.24811	0.486362	6.81163	0.621788	6.84665	0.718912	4.61466	0.447793	6.09179	0.606609	5.09537	0.819246	3.57177
0.338976	1.58831	0.117696	2.24753	0.492719	6.83301	0.628192	6.89734	0.723233	4.66107	0.453441	6.02982	0.611379	5.14346	0.822593	3.61295
0.340438	1.55257	0.11979	2.24702	0.499094	6.84912	0.634641	6.94518	0.727598	4.70768	0.459029	5.96484	0.616193	5.19183	0.825978	3.65414
0.341869	1.51999	0.121883	2.24654	0.505482	6.86036	0.641133	6.99016	0.732006	4.7546	0.464555	5.89691	0.621053	5.24043	0.829402	3.6953
0.343271	1.49033	0.123976	2.24605	0.511878	6.86711	0.647666	7.03232	0.736457	4.802	0.470017	5.82606	0.625958	5.28917	0.832864	3.73645
0.344646	1.46325	0.126068	2.24558	0.518278	6.86972	0.654237	7.07157	0.740954	4.84993	0.475412	5.75248	0.63027	5.3317	0.836365	3.7776
0.345997	1.43868	0.12816	2.24513	0.524679	6.86846	0.660843	7.10783	0.745495	4.89855	0.480736	5.67618	0.633973	5.368	0.839903	3.81872
0.347327	1.41642	0.130252	2.24468	0.531076	6.86366	0.667482	7.14109	0.750081	4.94803	0.485989	5.59734	0.637053	5.39785	0.84348	3.85981
0.348637	1.39613	0.132343	2.24431	0.537468	6.85554	0.67415	7.17134	0.754715	4.9985	0.491166	5.51617	0.639501	5.42154	0.847096	3.90081
0.349928	1.37775	0.134434	2.24391	0.543851	6.84427	0.680845	7.19839	0.759396	5.05009	0.496267	5.4327	0.641308	5.4388	0.850749	3.94174
0.351204	1.36122	0.136524	2.24352	0.550222	6.83017	0.687563	7.22222	0.764125	5.10302	0.50129	5.34721	0.642468	5.4498	0.854441	3.98258
0.352465	1.34623	0.138615	2.24318	0.556578	6.81338	0.694303	7.24272	0.768905	5.15747	0.506231	5.25993	0.644138	5.46574	0.85817	4.02332
0.353713	1.33274	0.140704	2.24283	0.562918	6.794	0.701059	7.25976	0.773735	5.21356	0.511091	5.17103	0.64596	5.48295	0.861938	4.06386
0.354948	1.32063	0.142794	2.24251	0.569238	6.7723	0.70783	7.27334	0.778619	5.27154	0.515867	5.08073	0.648447	5.50625	0.865743	4.10422
0.356173	1.30981	0.144883	2.24216	0.575537	6.74834	0.71374	7.28216	0.783558	5.33162	0.520558	4.98925	0.651606	5.53554	0.869585	4.14435
0.357389	1.30017	0.146972	2.24188	0.581813	6.72222	0.718782	7.28745	0.788554	5.39398	0.525164	4.89689	0.65545	5.57062	0.873465	4.18426
