Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
402  Points		402  Points		403  Points		388  Points		385  Points		366  Points		356  Points		401  Points		396  Points		377  Points		362  Points		174  Points		133  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.93894	2.41153	1.93806	2.41481	1.94149	2.41113	1.90287	2.4643	1.07328	9.66523	1.37848	12.2953	2.0426	2.92503	0.475904	4.75791	0.762113	7.1453	1.05533	9.38429	1.93366	2.71665	1.70623	15.2686	2.05058	18.3438
1.93401	2.41232	1.93205	2.41426	1.93655	2.41191	1.89651	2.46342	1.07878	9.517	1.37768	12.0404	2.0411	2.93257	0.476334	4.65483	0.764678	7.11875	1.05464	9.1896	1.92893	2.71883	1.70528	14.9513	2.05407	18.0034
1.92911	2.41315	1.92605	2.41373	1.93163	2.41272	1.89015	2.46254	1.08434	9.37524	1.37691	11.7957	2.03965	2.94023	0.47666	4.5553	0.767481	7.09045	1.05397	9.00278	1.9243	2.72115	1.70437	14.647	2.05755	17.6765
1.92424	2.41402	1.92006	2.4132	1.92675	2.41357	1.8838	2.46166	1.08995	9.23945	1.37618	11.561	2.03823	2.948	0.476897	4.45923	0.771321	7.0529	1.05334	8.8235	1.91978	2.72364	1.70351	14.355	2.06101	17.3621
1.91939	2.41493	1.91408	2.41269	1.92188	2.41446	1.87745	2.46078	1.0956	9.10916	1.37551	11.3357	2.03686	2.95587	0.477059	4.36654	0.776216	7.00684	1.05277	8.65145	1.91536	2.72629	1.70272	14.0747	2.06445	17.0594
1.91456	2.41587	1.90812	2.41218	1.91705	2.41538	1.8711	2.4599	1.10127	8.98394	1.37491	11.1193	2.03552	2.96386	0.477162	4.27715	0.782188	6.95317	1.05226	8.48638	1.91105	2.72912	1.702	13.8054	2.06786	16.7679
1.90977	2.41686	1.90216	2.41169	1.91223	2.41634	1.86475	2.45902	1.10694	8.86338	1.3744	10.9115	2.03423	2.97196	0.477216	4.19096	0.789258	6.89281	1.05185	8.32807	1.90685	2.73213	1.70136	13.5467	2.07122	16.4867
1.90499	2.41788	1.89622	2.41121	1.90745	2.41735	1.85841	2.45814	1.1126	8.74709	1.37398	10.7119	2.03297	2.98017	0.477236	4.10789	0.797438	6.82669	1.05155	8.17633	1.90276	2.73532	1.70082	13.2981	2.07453	16.2152
1.90025	2.41894	1.89029	2.41074	1.90269	2.41839	1.85208	2.45726	1.11823	8.63472	1.37367	10.5203	2.03175	2.98849	0.477232	4.02786	0.805672	6.76357	1.05139	8.03101	1.8988	2.7387	1.70038	13.059	2.07779	15.9529
1.89553	2.42004	1.88437	2.41029	1.89796	2.41947	1.84575	2.45638	1.12382	8.52592	1.37348	10.3362	2.03057	2.99692	0.477215	3.95078	0.813935	6.7031	1.0514	7.89198	1.89495	2.74228	1.70005	12.8292	2.08097	15.6992
1.89083	2.42118	1.87847	2.40985	1.89325	2.42059	1.83943	2.4555	1.12933	8.42037	1.37344	10.1595	2.02942	3.00547	0.477195	3.87656	0.822207	6.64496	1.05161	7.75917	1.89122	2.74605	1.69986	12.6082	2.08408	15.4537
1.88617	2.42236	1.87258	2.40942	1.88857	2.42175	1.83312	2.45464	1.13476	8.31776	1.37356	9.98988	2.02832	3.01413	0.477181	3.80511	0.830463	6.58881	1.05198	7.64846	1.8876	2.75001	1.6998	12.3956	2.08709	15.2157
1.88153	2.42358	1.8667	2.40901	1.88391	2.42295	1.82683	2.4538	1.14009	8.21779	1.37387	9.82715	2.02725	3.0229	0.47718	3.73637	0.838677	6.53435	1.05246	7.55775	1.8841	2.75417	1.6999	12.1912	2.09002	14.9849
1.87691	2.42484	1.86084	2.40862	1.87928	2.42419	1.82058	2.45301	1.14528	8.1202	1.37436	9.67109	2.02621	3.03179	0.477203	3.67023	0.846819	6.48128	1.05298	7.48531	1.88071	2.75852	1.70016	11.9946	2.09283	14.7609
1.87232	2.42615	1.85499	2.40825	1.87468	2.42547	1.81444	2.45237	1.15033	8.02472	1.37508	9.52153	2.02522	3.0408	0.477254	3.60662	0.85486	6.42928	1.05348	7.42966	1.87743	2.76306	1.7006	11.8055	2.09554	14.5433
1.86776	2.42749	1.84916	2.40789	1.87011	2.42679	1.80872	2.45228	1.15521	7.93111	1.37603	9.37827	2.02425	3.04992	0.477341	3.54546	0.862765	6.37805	1.0539	7.38967	1.87426	2.76779	1.70122	11.6236	2.09812	14.3318
1.86322	2.42888	1.84334	2.40755	1.86556	2.42816	1.80385	2.45336	1.1599	7.83913	1.37724	9.24117	2.02333	3.05916	0.477471	3.48666	0.870497	6.32728	1.05419	7.36449	1.87119	2.7727	1.70205	11.4488	2.10058	14.1259
1.85871	2.43031	1.83755	2.40723	1.86103	2.42957	1.79948	2.45512	1.16438	7.74858	1.37872	9.11005	2.02244	3.06852	0.477648	3.43016	0.878015	6.27666	1.05465	7.32885	1.86821	2.77779	1.7031	11.2807	2.1029	13.9254
1.85423	2.43178	1.83176	2.40693	1.85653	2.43102	1.79526	2.4571	1.1681	7.67068	1.38049	8.98476	2.02158	3.078	0.477878	3.37587	0.885276	6.22586	1.05519	7.29087	1.86533	2.78306	1.70436	11.1192	2.10508	13.7301
1.84977	2.43329	1.826	2.40665	1.85206	2.43251	1.79111	2.45918	1.17113	7.60493	1.38256	8.86514	2.02076	3.0876	0.478165	3.32373	0.892233	6.17459	1.05601	7.24048	1.86255	2.7885	1.70586	10.9639	2.10711	13.5396
1.84533	2.43485	1.82025	2.40639	1.84761	2.43404	1.787	2.46134	1.17352	7.55097	1.38496	8.75102	2.01998	3.09732	0.478515	3.27365	0.898838	6.12254	1.0572	7.17884	1.85985	2.79411	1.7076	10.8147	2.10899	13.3537
1.84092	2.43645	1.81452	2.40616	1.84319	2.43562	1.78293	2.46355	1.17534	7.50854	1.38768	8.64224	2.01923	3.10716	0.478931	3.22558	0.905045	6.06943	1.05886	7.10743	1.85723	2.79988	1.7096	10.6714	2.11072	13.1721
1.83653	2.43809	1.80881	2.40594	1.83879	2.43724	1.77888	2.46582	1.17664	7.47747	1.39074	8.5386	2.01851	3.11712	0.479416	3.17944	0.910811	6.01502	1.06116	7.02802	1.85469	2.80582	1.71184	10.5337	2.11228	12.9948
1.83217	2.43977	1.80312	2.40576	1.83442	2.4389	1.77486	2.46814	1.17745	7.45764	1.39414	8.43992	2.01783	3.12722	0.479975	3.13517	0.916095	5.95911	1.0643	6.94267	1.85223	2.81191	1.71434	10.4014	2.11369	12.8215
1.82783	2.44149	1.79744	2.4056	1.83006	2.4406	1.77086	2.47051	1.17859	7.42919	1.39789	8.346	2.01718	3.13743	0.48061	3.0927	0.92087	5.90159	1.06798	6.8634	1.84985	2.81816	1.71711	10.2743	2.11494	12.652
1.8235	2.44324	1.79179	2.40546	1.82573	2.44233	1.76688	2.47292	1.1798	7.39837	1.40197	8.25662	2.01657	3.14778	0.481324	3.05198	0.925118	5.84242	1.07224	6.79008	1.84753	2.82457	1.72013	10.1523	2.11603	12.4861
1.81918	2.445	1.78616	2.40535	1.8214	2.44409	1.76293	2.47538	1.18138	7.35659	1.40638	8.17156	2.01599	3.15825	0.48212	3.01295	0.928834	5.78164	1.07708	6.7225	1.84529	2.83112	1.7234	10.0349	2.11696	12.3238
1.81483	2.44676	1.78055	2.40527	1.81708	2.44586	1.759	2.47789	1.18328	7.30397	1.41111	8.09061	2.01544	3.16885	0.483	2.97554	0.932026	5.71937	1.08249	6.66035	1.84311	2.83782	1.72694	9.92219	2.11774	12.165
1.81038	2.44836	1.77497	2.40522	1.8127	2.44757	1.75508	2.48044	1.18544	7.24065	1.41616	8.01352	2.01493	3.17958	0.483966	2.93971	0.934716	5.65579	1.08846	6.60331	1.84099	2.84466	1.73071	9.8138	2.11837	12.0094
1.80543	2.44932	1.7694	2.4052	1.80808	2.44896	1.75119	2.48303	1.18775	7.16677	1.4215	7.94007	2.01446	3.19044	0.485021	2.9054	0.936934	5.59114	1.09495	6.55098	1.83893	2.85165	1.73473	9.70954	2.11886	11.8571
1.79966	2.44916	1.76386	2.40521	1.80272	2.44935	1.74732	2.48567	1.19013	7.08252	1.42712	7.87003	2.01401	3.20144	0.486167	2.87255	0.938716	5.5257	1.10192	6.50295	1.83693	2.85878	1.73898	9.60921	2.1192	11.7078
1.79353	2.4485	1.75834	2.40525	1.79671	2.44887	1.74346	2.48835	1.19221	6.99882	1.43223	7.8116	2.0136	3.21257	0.487406	2.84114	0.940104	5.45971	1.10935	6.45881	1.83499	2.86605	1.74345	9.51262	2.11942	11.5616
1.78729	2.4477	1.75284	2.40533	1.79051	2.44812	1.73961	2.49107	1.19401	6.91568	1.43674	7.76361	2.01322	3.22383	0.488739	2.8111	0.941141	5.39346	1.11717	6.41816	1.83311	2.87347	1.74813	9.41956	2.11951	11.4184
