Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.82086	2.44032	0.564329	0.219125	1.81809	2.4362	0.845312	0.106274	1.21464	1.9667	1.5611	0.552776	1.91732	0.982362	0.56257	0.250393	0.905224	3.41844	1.19294	0.508605	1.5721	1.4469	1.92958	0.597821
1.81523	2.43184	0.564445	0.21864	1.81248	2.42761	0.845505	0.0619323	1.21864	2.00939	1.56236	0.546392	1.91964	1.02854	0.563128	0.236249	0.913153	3.44995	1.19394	0.493045	1.57548	1.48146	1.93094	0.575047
1.80963	2.42314	0.56461	0.218065	1.80689	2.41885	0.845598	0.0207917	1.22333	2.05345	1.56362	0.544829	1.92207	1.07144	0.56366	0.226431	0.921145	3.47332	1.19506	0.480392	1.57893	1.51175	1.93224	0.555719
1.80405	2.41432	0.56479	0.218046	1.80132	2.4099	0.845601	-0.0171369	1.22812	2.09218	1.56488	0.548296	1.92459	1.11097	0.564173	0.220643	0.929182	3.48837	1.19616	0.473845	1.58245	1.53776	1.9335	0.539989
1.79849	2.40525	0.565034	0.218811	1.79577	2.40073	0.845519	-0.0518745	1.23299	2.12528	1.56615	0.55684	1.92719	1.14703	0.564678	0.218518	0.937243	3.49484	1.19725	0.474014	1.58603	1.55938	1.93473	0.527938
1.79295	2.39597	0.565345	0.220698	1.79024	2.39139	0.845361	-0.0834785	1.23792	2.15266	1.56728	0.568557	1.92988	1.17952	0.565182	0.219872	0.94531	3.49243	1.19835	0.481496	1.58965	1.5767	1.93594	0.519728
1.78744	2.38657	0.565726	0.224597	1.78473	2.38186	0.845134	-0.112025	1.24292	2.17434	1.56826	0.581875	1.93264	1.20847	0.565693	0.224395	0.95336	3.48086	1.19947	0.496993	1.59283	1.58836	1.93713	0.515468
1.78194	2.37699	0.566184	0.231177	1.77925	2.37217	0.844844	-0.13754	1.24796	2.1902	1.5691	0.595143	1.93546	1.23385	0.566217	0.231783	0.961373	3.45974	1.20064	0.521074	1.59556	1.59563	1.93831	0.515223
1.77647	2.3672	0.566727	0.241171	1.77379	2.36232	0.844499	-0.160149	1.25303	2.2001	1.56977	0.607187	1.93833	1.2556	0.566762	0.241886	0.969326	3.42848	1.20187	0.554428	1.59783	1.59975	1.93951	0.519128
1.77102	2.35722	0.567296	0.253565	1.76835	2.35229	0.844105	-0.180023	1.25811	2.20407	1.57027	0.616866	1.94125	1.27369	0.567334	0.254444	0.977195	3.38663	1.2032	0.597802	1.59962	1.60186	1.94071	0.527231
1.76559	2.34714	0.567897	0.268222	1.76293	2.34213	0.843668	-0.197138	1.2632	2.20202	1.5706	0.623556	1.94421	1.28819	0.567936	0.26922	0.984955	3.33367	1.20463	0.651862	1.60094	1.60276	1.94194	0.539482
1.76018	2.33688	0.568534	0.284962	1.75754	2.33182	0.843195	-0.211628	1.26827	2.19386	1.57108	0.633734	1.9472	1.2991	0.568576	0.286092	0.992579	3.26899	1.20621	0.717307	1.60179	1.60299	1.9432	0.555928
