Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.200847	6.43507	0.0736858	4.36095	0.436525	0.239711	0.739366	2.88969	0.407462	3.62987	0.862171	-1.18824	0.200847	6.43507	0.0736858	4.36095	0.436525	0.239711	0.739366	2.88969	0.407462	3.62987	0.862171	-1.18824
0.204871	6.37341	0.0764397	4.40655	0.436698	0.313091	0.741191	2.92102	0.409751	3.65669	0.861431	-1.16813	0.204871	6.37341	0.0764397	4.40655	0.436698	0.313091	0.741191	2.92102	0.409751	3.65669	0.861431	-1.16813
0.208854	6.30896	0.0792217	4.45058	0.436919	0.39054	0.743035	2.9511	0.412056	3.68144	0.860703	-1.14639	0.208854	6.30896	0.0792217	4.45058	0.436919	0.39054	0.743035	2.9511	0.412056	3.68144	0.860703	-1.14639
0.212797	6.24157	0.082031	4.49314	0.437189	0.472111	0.744898	2.97987	0.414376	3.70411	0.85999	-1.12309	0.212797	6.24157	0.082031	4.49314	0.437189	0.472111	0.744898	2.97987	0.414376	3.70411	0.85999	-1.12309
0.216696	6.1713	0.0848665	4.53427	0.437512	0.557794	0.746779	3.00732	0.416709	3.72479	0.859292	-1.09835	0.216696	6.1713	0.0848665	4.53427	0.437512	0.557794	0.746779	3.00732	0.416709	3.72479	0.859292	-1.09835
0.22055	6.09802	0.0877274	4.57392	0.43789	0.647684	0.748677	3.03353	0.419055	3.74355	0.85861	-1.0721	0.22055	6.09802	0.0877274	4.57392	0.43789	0.647684	0.748677	3.03353	0.419055	3.74355	0.85861	-1.0721
0.224357	6.02164	0.0906127	4.61218	0.438325	0.741858	0.75059	3.05846	0.421412	3.76042	0.857946	-1.04437	0.224357	6.02164	0.0906127	4.61218	0.438325	0.741858	0.75059	3.05846	0.421412	3.76042	0.857946	-1.04437
0.228115	5.94221	0.0935216	4.64914	0.438822	0.840149	0.752519	3.08215	0.423779	3.77538	0.857298	-1.01532	0.228115	5.94221	0.0935216	4.64914	0.438822	0.840149	0.752519	3.08215	0.423779	3.77538	0.857298	-1.01532
0.231822	5.8597	0.0964534	4.68482	0.439381	0.942651	0.754462	3.10465	0.426155	3.78856	0.85667	-0.984808	0.231822	5.8597	0.0964534	4.68482	0.439381	0.942651	0.754462	3.10465	0.426155	3.78856	0.85667	-0.984808
0.235476	5.77411	0.0994071	4.71925	0.440006	1.04934	0.756419	3.12596	0.428539	3.79994	0.856061	-0.952898	0.235476	5.77411	0.0994071	4.71925	0.440006	1.04934	0.756419	3.12596	0.428539	3.79994	0.856061	-0.952898
0.239076	5.68539	0.102382	4.75248	0.440699	1.16017	0.758389	3.1461	0.430929	3.80954	0.855473	-0.919712	0.239076	5.68539	0.102382	4.75248	0.440699	1.16017	0.758389	3.1461	0.430929	3.80954	0.855473	-0.919712
0.242619	5.59376	0.105378	4.78461	0.441463	1.27503	0.760372	3.16509	0.433325	3.81745	0.854906	-0.885171	0.242619	5.59376	0.105378	4.78461	0.441463	1.27503	0.760372	3.16509	0.433325	3.81745	0.854906	-0.885171
0.246103	5.49915	0.108393	4.81562	0.442301	1.39373	0.762366	3.18297	0.435725	3.82361	0.854361	-0.849333	0.246103	5.49915	0.108393	4.81562	0.442301	1.39373	0.762366	3.18297	0.435725	3.82361	0.854361	-0.849333
0.249527	5.40162	0.111428	4.84548	0.443214	1.5163	0.76437	3.19983	0.438128	3.8282	0.853839	-0.812201	0.249527	5.40162	0.111428	4.84548	0.443214	1.5163	0.76437	3.19983	0.438128	3.8282	0.853839	-0.812201
0.252889	5.30152	0.11448	4.87436	0.444206	1.6426	0.766386	3.21552	0.440534	3.8312	0.85334	-0.773896	0.252889	5.30152	0.11448	4.87436	0.444206	1.6426	0.766386	3.21552	0.440534	3.8312	0.85334	-0.773896
0.256187	5.19874	0.117551	4.90224	0.445278	1.77232	0.76841	3.23016	0.442942	3.83253	0.852867	-0.734332	0.256187	5.19874	0.117551	4.90224	0.445278	1.77232	0.76841	3.23016	0.442942	3.83253	0.852867	-0.734332
0.25942	5.09358	0.120639	4.92911	0.446433	1.90522	0.770444	3.2438	0.445349	3.83236	0.852418	-0.693551	0.25942	5.09358	0.120639	4.92911	0.446433	1.90522	0.770444	3.2438	0.445349	3.83236	0.852418	-0.693551
0.262587	4.98634	0.123744	4.95503	0.447672	2.04118	0.772485	3.25642	0.447756	3.83071	0.851995	-0.651641	0.262587	4.98634	0.123744	4.95503	0.447672	2.04118	0.772485	3.25642	0.447756	3.83071	0.851995	-0.651641
0.265685	4.87714	0.126864	4.98004	0.448997	2.17982	0.774535	3.26807	0.450162	3.82753	0.851599	-0.608452	0.265685	4.87714	0.126864	4.98004	0.448997	2.17982	0.774535	3.26807	0.450162	3.82753	0.851599	-0.608452
0.268714	4.76639	0.13	5.00421	0.45041	2.32087	0.776591	3.27866	0.452565	3.8229	0.851231	-0.564224	0.268714	4.76639	0.13	5.00421	0.45041	2.32087	0.776591	3.27866	0.452565	3.8229	0.851231	-0.564224
0.271673	4.65428	0.133151	5.02757	0.451913	2.46401	0.778654	3.28832	0.454964	3.8169	0.85089	-0.518897	0.271673	4.65428	0.133151	5.02757	0.451913	2.46401	0.778654	3.28832	0.454964	3.8169	0.85089	-0.518897
