Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.328522	1.25721	0.121045	2.24544	0.322301	1.36123	0.556375	7.09178	0.638316	7.32878	0.474763	5.59259	0.628417	5.44632
				0.329687	1.2436	0.123137	2.24498	0.323557	1.33558	0.562967	7.05884	0.645162	7.36707	0.479927	5.49171	0.63352	5.50798
				0.33084	1.23169	0.125228	2.24457	0.32479	1.31283	0.568686	7.02785	0.652044	7.40351	0.484996	5.38788	0.638681	5.56941
				0.331982	1.22135	0.127319	2.24411	0.326003	1.29263	0.573541	6.99982	0.658958	7.43809	0.489967	5.28136	0.643898	5.63031
				0.333115	1.21246	0.12941	2.24369	0.327199	1.27473	0.57754	6.97554	0.665904	7.47069	0.494837	5.17251	0.649172	5.69037
				0.334241	1.20487	0.1315	2.2433	0.328379	1.25897	0.580692	6.9558	0.672879	7.50132	0.499605	5.06165	0.654501	5.74941
				0.335361	1.19846	0.13359	2.24289	0.329545	1.24516	0.583005	6.94079	0.679881	7.52984	0.504269	4.94924	0.659885	5.80705
				0.336474	1.19313	0.135679	2.24253	0.330699	1.23309	0.584482	6.93095	0.68691	7.55627	0.508828	4.83572	0.665322	5.86301
				0.337584	1.18876	0.137769	2.24221	0.331842	1.22258	0.586601	6.91681	0.693962	7.58048	0.51328	4.72139	0.67081	5.91715
				0.33869	1.18529	0.139858	2.24186	0.332977	1.21349	0.5889	6.90104	0.701035	7.60233	0.517625	4.6067	0.676348	5.9691
				0.339793	1.18268	0.141946	2.24155	0.334104	1.20571	0.592018	6.879	0.708128	7.62185	0.521864	4.49211	0.681933	6.01873
				0.340893	1.18082	0.144034	2.24124	0.335224	1.19916	0.595947	6.8505	0.715238	7.63884	0.525996	4.37802	0.687563	6.06585
				0.341993	1.17967	0.146122	2.24094	0.336338	1.19372	0.600676	6.81484	0.722362	7.6532	0.530022	4.26476	0.693236	6.11027
				0.343092	1.17913	0.14821	2.24068	0.337448	1.18924	0.606192	6.77156	0.729499	7.66486	0.533943	4.15268	0.698949	6.15195
				0.34419	1.17915	0.150298	2.2404	0.338554	1.18568	0.612478	6.71996	0.736645	7.67367	0.53776	4.04216	0.7047	6.1907
				0.345289	1.17977	0.152385	2.24012	0.339657	1.18299	0.618714	6.66639	0.743798	7.67951	0.541475	3.93342	0.710485	6.22646
				0.346388	1.18087	0.154472	2.23987	0.340759	1.18102	0.6249	6.61087	0.750955	7.68224	0.54509	3.82676	0.716302	6.25916
				0.347489	1.1824	0.156559	2.23963	0.341858	1.17978	0.631033	6.55344	0.758113	7.68177	0.548606	3.72242	0.722148	6.28881
				0.348592	1.18437	0.158645	2.2394	0.342957	1.17916	0.637111	6.49422	0.765269	7.6779	0.552026	3.62059	0.728021	6.31538
				0.349696	1.1867	0.160732	2.23918	0.344055	1.17914	0.643134	6.43323	0.77242	7.67053	0.555352	3.52148	0.733916	6.33886
				0.350803	1.18937	0.162818	2.23896	0.345154	1.17968	0.649099	6.37058	0.779562	7.65952	0.558588	3.42513	0.739071	6.35688
				0.351912	1.19237	0.164904	2.23874	0.346254	1.18068	0.655005	6.30622	0.786692	7.64483	0.561735	3.33161	0.743475	6.37042
				0.353025	1.19567	0.166989	2.23855	0.347354	1.18217	0.66085	6.24028	0.793807	7.62637	0.564796	3.24113	0.747124	6.38036
				0.35414	1.19926	0.169075	2.23835	0.348456	1.18409	0.666633	6.17288	0.800903	7.60402	0.567774	3.15366	0.750013	6.3875
				0.355115	1.20262	0.17116	2.23818	0.349561	1.1864	0.672352	6.10406	0.807976	7.57784	0.570672	3.06917	0.752139	6.39211
				0.355949	1.20559	0.173245	2.23798	0.350667	1.18906	0.678007	6.0338	0.815024	7.5479	0.573493	2.9877	0.753501	6.39483
				0.35664	1.20804	0.17533	2.23781	0.351776	1.192	0.683596	5.96227	0.822041	7.51423	0.57624	2.90929	0.755459	6.39861
				0.357187	1.21019	0.177415	2.23765	0.352888	1.19527	0.689117	5.88959	0.829026	7.477	0.578914	2.8339	0.757589	6.40233
				0.35759	1.21179	0.1795	2.2375	0.354004	1.19884	0.69457	5.81571	0.835974	7.43653	0.58152	2.76137	0.760487	6.40672
				0.357848	1.2127	0.181585	2.23735	0.355122	1.2026	0.699954	5.7408	0.842883	7.39317	0.58406	2.69172	0.764156	6.41126
				0.358219	1.21419	0.183669	2.23716	0.356244	1.20665	0.705268	5.665	0.84975	7.34723	0.586536	2.62495	0.768595	6.41534
