Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
459  Points		492  Points		459  Points		141  Points		111  Points		103  Points		323  Points		121  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.400202	5.38038	0.144232	2.07663	0.393422	5.68166	0.665761	9.58224	0.818346	11.0343	0.863013	11.7133	0.598244	8.59655	0.726227	10.4969
0.401388	5.32956	0.14632	2.0788	0.394689	5.62427	0.673015	9.55847	0.825074	11.0046	0.869873	11.659	0.603391	8.55597	0.731934	10.4567
0.402562	5.27984	0.148407	2.08091	0.395937	5.56813	0.680233	9.53482	0.830782	10.9793	0.876841	11.6074	0.60843	8.51492	0.73852	10.4122
0.403727	5.23119	0.150495	2.08297	0.397169	5.51321	0.687413	9.51125	0.835481	10.9586	0.883921	11.5586	0.613359	8.47343	0.745145	10.3694
0.404884	5.1836	0.152582	2.08497	0.398385	5.45949	0.694553	9.48773	0.839182	10.9422	0.891113	11.5124	0.61818	8.4315	0.751808	10.3282
0.406033	5.13704	0.154669	2.08692	0.399589	5.40695	0.701651	9.46425	0.841896	10.9301	0.898422	11.4688	0.622893	8.38917	0.758506	10.2886
0.407175	5.09147	0.156756	2.08882	0.40078	5.35555	0.708707	9.44077	0.843629	10.9224	0.905846	11.4276	0.627499	8.34647	0.765238	10.2503
0.408311	5.04688	0.158842	2.09066	0.401959	5.30526	0.715717	9.41728	0.846114	10.9114	0.913385	11.3889	0.631998	8.30342	0.772002	10.2135
0.409442	5.00324	0.160929	2.09247	0.403129	5.25607	0.722681	9.39375	0.848809	10.8993	0.921039	11.3524	0.636394	8.26006	0.778795	10.1779
0.410569	4.96053	0.163015	2.09422	0.40429	5.20794	0.729597	9.37016	0.852462	10.883	0.928804	11.3182	0.640686	8.21641	0.785616	10.1435
0.411691	4.91873	0.165101	2.09594	0.405443	5.16085	0.736463	9.3465	0.857062	10.8624	0.936676	11.286	0.644877	8.1725	0.792463	10.1103
0.41281	4.8778	0.167187	2.09761	0.406589	5.11477	0.743277	9.32275	0.862595	10.8374	0.943621	11.2595	0.648968	8.12837	0.799332	10.0781
0.413927	4.83773	0.169273	2.09924	0.407728	5.06969	0.750039	9.29889	0.869043	10.8082	0.949601	11.238	0.652961	8.08405	0.806222	10.047
0.414898	4.8035	0.171359	2.10083	0.408861	5.02556	0.756746	9.27491	0.876386	10.7747	0.954586	11.221	0.656858	8.03957	0.813131	10.0168
0.415724	4.77481	0.173445	2.10239	0.40999	4.98238	0.763397	9.2508	0.883671	10.7412	0.958552	11.208	0.660662	7.99495	0.820056	9.98746
0.416407	4.75142	0.17553	2.10391	0.411115	4.94011	0.769991	9.22653	0.8909	10.7078	0.961481	11.1987	0.664374	7.95023	0.826995	9.95897
0.416947	4.73314	0.177616	2.10539	0.412235	4.89873	0.776526	9.20211	0.898077	10.6745	0.963362	11.1928	0.667996	7.90544	0.833946	9.93124
0.417343	4.71981	0.179701	2.10684	0.413353	4.85823	0.783002	9.17752	0.905205	10.6414	0.966073	11.1846	0.671532	7.86061	0.840906	9.90424
0.417597	4.71133	0.181786	2.10826	0.414468	4.81857	0.789416	9.15275	0.912289	10.6085	0.969031	11.1758	0.674982	7.81576	0.847873	9.8779
0.417962	4.69922	0.183871	2.10965	0.415581	4.77974	0.795768	9.12779	0.919332	10.5758	0.973069	11.1641	0.67835	7.77093	0.854845	9.85218
0.418358	4.68614	0.185956	2.11101	0.416693	4.74171	0.802056	9.10264	0.92634	10.5434	0.978204	11.1498	0.681638	7.72613	0.861819	9.82704
0.418897	4.66851	0.188041	2.11233	0.417803	4.70447	0.808279	9.07728	0.933317	10.5114	0.984451	11.1331	0.684848	7.68139	0.868794	9.80243
0.419579	4.64647	0.190126	2.11363	0.418913	4.66799	0.814437	9.05173	0.940268	10.4797	0.991829	11.1145	0.687982	7.63674	0.875767	9.77831
0.420403	4.62018	0.192211	2.1149	0.420022	4.63226	0.820528	9.02596	0.947195	10.4484	1.00036	11.0943	0.691042	7.59219	0.882736	9.75465
0.421369	4.58985	0.194295	2.11615	0.421132	4.59726	0.826552	8.99998	0.954104	10.4175			0.694032	7.54778	0.889699	9.73141
0.422479	4.55571	0.19638	2.11736	0.422241	4.56296	0.832507	8.97379	0.960996	10.3871			0.696952	7.50351	0.896654	9.70855
0.423589	4.52225	0.198464	2.11856	0.423352	4.52935	0.838394	8.94738	0.967877	10.3572			0.699806	7.45941	0.9036	9.68603
0.424701	4.48946	0.200549	2.11973	0.424463	4.49642	0.84421	8.92076	0.974747	10.3277			0.702595	7.4155	0.910533	9.66384
0.425813	4.45732	0.202633	2.12087	0.425575	4.46415	0.849957	8.89393	0.981609	10.2988			0.705322	7.37178	0.917453	9.64194
0.426927	4.42582	0.204718	2.12199	0.426689	4.43251	0.855633	8.86688	0.988466	10.2703			0.707988	7.32829	0.924357	9.6203
