Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.13645	2.71294	1.13499	2.71251	0.590364	1.27326	0.826096	0.40725	1.1067	0.948335	1.29182	0.449618	0.399008	1.40662	1.10894	2.64556	0.829691	1.26858	1.06099	0.386745	1.38447	0.479706
1.13254	2.71179	1.13108	2.71135	0.592186	1.25095	0.82671	0.443877	1.10805	0.92929	1.29249	0.476566	0.401018	1.37978	1.10512	2.64365	0.831509	1.2499	1.06157	0.416031	1.38515	0.461191
1.12862	2.71059	1.12716	2.71014	0.593975	1.22852	0.827377	0.480574	1.10938	0.910243	1.2932	0.503728	0.402991	1.35343	1.10131	2.64152	0.833299	1.23108	1.06219	0.445527	1.38581	0.442911
1.12471	2.70936	1.12325	2.70889	0.595732	1.20599	0.828098	0.51727	1.11068	0.891118	1.29394	0.531098	0.404925	1.32766	1.0975	2.63909	0.835063	1.21207	1.06285	0.475074	1.38643	0.424881
1.1208	2.70807	1.11934	2.70755	0.597456	1.18341	0.828871	0.554002	1.11195	0.871985	1.29473	0.55852	0.406823	1.30257	1.09369	2.63636	0.836798	1.19294	1.06356	0.504725	1.38703	0.407204
1.1169	2.70673	1.11544	2.70619	0.599148	1.16084	0.829697	0.590678	1.1132	0.852981	1.29556	0.585971	0.408686	1.27821	1.08989	2.63332	0.838506	1.1737	1.06431	0.534438	1.38761	0.389941
1.11299	2.70531	1.11153	2.7048	0.600807	1.13831	0.830576	0.627253	1.11441	0.834089	1.29642	0.61348	0.410513	1.25463	1.08609	2.62988	0.840187	1.15441	1.0651	0.564127	1.38816	0.373067
1.10909	2.70386	1.10763	2.70333	0.602434	1.11588	0.831507	0.663632	1.1156	0.815348	1.29733	0.640959	0.412308	1.23189	1.0823	2.62606	0.841839	1.13514	1.06594	0.59377	1.38868	0.356678
1.10518	2.70234	1.10373	2.70179	0.604029	1.0936	0.832492	0.699876	1.11677	0.796837	1.29827	0.668378	0.414069	1.21013	1.07851	2.62186	0.843463	1.11587	1.0667	0.619515	1.38919	0.340818
1.10128	2.70077	1.09983	2.70017	0.605591	1.07151	0.833528	0.735832	1.1179	0.778565	1.29926	0.695676	0.415801	1.18932	1.07473	2.61714	0.84506	1.09668	1.06738	0.641378	1.38967	0.325431
1.09739	2.69917	1.09593	2.69853	0.607122	1.04963	0.834616	0.771461	1.11901	0.760624	1.30028	0.722808	0.417503	1.16946	1.07095	2.61194	0.846629	1.07764	1.06796	0.659436	1.39013	0.310624
1.09349	2.6975	1.09204	2.69688	0.608621	1.02803	0.835755	0.806781	1.11996	0.745237	1.30134	0.749752	0.419177	1.15075	1.06719	2.60623	0.848171	1.0587	1.06842	0.673706	1.39057	0.296464
1.0896	2.69577	1.08815	2.6951	0.61009	1.00676	0.836945	0.841689	1.12075	0.732284	1.30244	0.776394	0.420825	1.13308	1.06343	2.59986	0.849685	1.03997	1.06877	0.68406	1.39098	0.282865
1.08571	2.69393	1.08426	2.69324	0.611527	0.985832	0.838185	0.876172	1.1214	0.721808	1.30358	0.802798	0.422448	1.11648	1.05968	2.59284	0.851173	1.02148	1.069	0.690676	1.39138	0.269876
1.08182	2.69209	1.08037	2.69135	0.612935	0.965334	0.839474	0.910113	1.1219	0.713758	1.30476	0.828946	0.424048	1.10108	1.05595	2.58509	0.852634	1.00327	1.06933	0.7003	1.39176	0.257595
1.07794	2.69015	1.07649	2.6894	0.614314	0.945271	0.840812	0.943526	1.12227	0.707701	1.30598	0.854655	0.425626	1.08682	1.05222	2.57656	0.854069	0.985374	1.06969	0.710647	1.39213	0.245997
1.07406	2.68812	1.07261	2.6874	0.615664	0.925681	0.842198	0.976346	1.1225	0.703905	1.30723	0.879926	0.427185	1.07365	1.04851	2.56718	0.855479	0.967893	1.0702	0.724601	1.39247	0.235033
1.07018	2.6861	1.06873	2.68531	0.616986	0.906621	0.84363	1.00858	1.12283	0.698596	1.30852	0.904832	0.428726	1.06164	1.04481	2.55677	0.856863	0.950803	1.07085	0.742215	1.3928	0.224749
1.0663	2.68396	1.06486	2.68311	0.618281	0.888119	0.845109	1.04015	1.12319	0.692759	1.30984	0.929229	0.43025	1.05084	1.04113	2.54532	0.858223	0.934201	1.07165	0.76336	1.39312	0.215241
1.06243	2.68174	1.06099	2.6809	0.61955	0.870189	0.846633	1.07098	1.12367	0.685048	1.3112	0.953122	0.431759	1.04116	1.03746	2.53274	0.85956	0.9181	1.07263	0.787969	1.39343	0.206406
1.05856	2.67949	1.05712	2.6786	0.620793	0.852874	0.848201	1.10112	1.12428	0.675453	1.31259	0.976517	0.433255	1.03258	1.03382	2.51888	0.860874	0.902505	1.07379	0.815828	1.39372	0.198257
1.0547	2.67711	1.05325	2.67619	0.622012	0.83616	0.849812	1.13051	1.125	0.664139	1.31402	0.999358	0.43474	1.02514	1.03019	2.5036	0.862165	0.887567	1.07498	0.843308	1.394	0.190895
1.05083	2.67462	1.04939	2.67373	0.623207	0.820113	0.851464	1.15905	1.12582	0.651257	1.31548	1.0216	0.436215	1.01882	1.02659	2.48682	0.863436	0.87325	1.07622	0.870341	1.39427	0.184227
1.04698	2.67214	1.04554	2.67115	0.62438	0.804801	0.853158	1.18679	1.12675	0.636974	1.31697	1.04324	0.437681	1.01354	1.02301	2.46841	0.864686	0.859573	1.0775	0.896894	1.39453	0.178216
1.04312	2.66952	1.04168	2.66849	0.62553	0.790114	0.85489	1.2137	1.12766	0.62335	1.31849	1.06425	0.43914	1.00932	1.01946	2.44821	0.865917	0.846618	1.07881	0.922952	1.39478	0.173005
1.03927	2.66677	1.03783	2.66579	0.62666	0.776142	0.856661	1.23972	1.12855	0.61046	1.32004	1.08466	0.440595	1.00619	1.01594	2.42613	0.86713	0.834465	1.08016	0.948469	1.39503	0.168515
1.03542	2.66398	1.03399	2.66295	0.627771	0.762968	0.858469	1.26485	1.12942	0.598191	1.32142	1.1019	0.442045	1.004	1.01246	2.40204	0.868326	0.823078	1.08155	0.973422	1.39527	0.164663
1.03158	2.66112	1.03015	2.65999	0.628863	0.750484	0.860312	1.28906	1.13028	0.586637	1.3226	1.11616	0.443493	1.00279	1.00901	2.37584	0.869506	0.812477	1.08297	0.997727	1.3955	0.161574
1.02774	2.6581	1.02631	2.65693	0.629937	0.738713	0.86219	1.31241	1.13112	0.575917	1.3236	1.12767	0.44494	1.00259	1.0056	2.34745	0.870672	0.802746	1.08443	1.02145	1.39574	0.159203
1.02391	2.65499	1.02248	2.65381	0.630995	0.727773	0.864101	1.33474	1.13194	0.565905	1.32439	1.13663	0.446387	1.0033	1.00223	2.31689	0.871824	0.793925	1.08592	1.04459	1.39596	0.157465
