Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
395  Points		395  Points		377  Points		361  Points		231  Points		110  Points		400  Points		379  Points		295  Points		239  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.982728	2.11211	0.981494	2.10822	0.689753	1.13681	0.914298	1.30632	1.24183	0.244333			0.498703	1.36001	1.05579	1.34923	0.958977	0.843798	1.14808	1.30645
0.979687	2.10252	0.978458	2.09868	0.691384	1.12332	0.916199	1.32837	1.24218	0.24833			0.500659	1.35065	1.05385	1.34342	0.96019	0.836733	1.14997	1.3236
0.976659	2.09306	0.975436	2.08927	0.692996	1.11023	0.918132	1.34999	1.24255	0.252598			0.502602	1.34205	1.05191	1.33781	0.961393	0.830198	1.1519	1.34027
0.973644	2.08374	0.972427	2.07997	0.694589	1.0975	0.920096	1.37112	1.24291	0.257113			0.504534	1.33419	1.04998	1.33229	0.962586	0.824184	1.15384	1.35651
0.970643	2.07454	0.969432	2.07082	0.696164	1.08521	0.922091	1.39176	1.24329	0.261934			0.506454	1.32708	1.04806	1.32689	0.963772	0.818687	1.15581	1.37229
0.967656	2.06545	0.966449	2.06182	0.697722	1.07334	0.924114	1.41185	1.24367	0.267018			0.508365	1.32071	1.04615	1.32167	0.96495	0.813704	1.15781	1.38761
0.964681	2.05651	0.96348	2.05298	0.699262	1.06192	0.926166	1.43146	1.24406	0.27238			0.510266	1.31507	1.04425	1.31649	0.966121	0.809272	1.15982	1.40248
0.961719	2.04777	0.960523	2.0443	0.700787	1.05097	0.928246	1.45053	1.24446	0.278027			0.512161	1.31012	1.04235	1.31149	0.967286	0.805444	1.16185	1.41684
0.95877	2.03924	0.957578	2.03581	0.702296	1.04044	0.930354	1.46907	1.24486	0.283963			0.514048	1.30585	1.04046	1.30668	0.968446	0.802139	1.16391	1.43076
0.955832	2.03088	0.954646	2.02754	0.703791	1.03034	0.932487	1.48706	1.24528	0.290191			0.51593	1.30233	1.03858	1.30197	0.969602	0.799425	1.16598	1.4442
0.952907	2.02274	0.951725	2.01949	0.705271	1.02075	0.934646	1.50444	1.2457	0.296674			0.517808	1.29947	1.03671	1.29738	0.970754	0.797298	1.16808	1.45718
0.949993	2.0148	0.948816	2.01168	0.706737	1.01167	0.93683	1.52126	1.24613	0.303394			0.519682	1.29727	1.03484	1.29297	0.971903	0.795759	1.17019	1.46965
