Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.17568	2.45691	1.17421	2.45661	0.570449	5.76496	0.823782	7.81312	1.09168	10.2294	1.28719	12.1982	0.376707	3.842	1.1472	2.60072	0.82004	7.78814	1.05745	10.0338	1.37619	12.8963
1.17175	2.45611	1.17028	2.45582	0.572572	5.70322	0.823991	7.74992	1.0933	10.1078	1.2875	12.0364	0.379117	3.81049	1.14337	2.60055	0.821241	7.73441	1.05763	9.89986	1.37714	12.7329
1.16782	2.45531	1.16636	2.45501	0.574667	5.64296	0.824169	7.70082	1.09489	9.98925	1.28783	11.8793	0.381487	3.77948	1.13954	2.60038	0.822184	7.6925	1.05784	9.76988	1.37806	12.5737
1.1639	2.45451	1.16243	2.45421	0.576734	5.58411	0.824308	7.6652	1.09646	9.87352	1.2882	11.7266	0.383818	3.74896	1.13572	2.60021	0.822873	7.662	1.05809	9.64366	1.37896	12.4183
1.15997	2.4537	1.15851	2.4534	0.578772	5.52661	0.824401	7.64261	1.098	9.76053	1.28861	11.5781	0.386109	3.71891	1.13189	2.60003	0.823313	7.64261	1.05839	9.52107	1.37983	12.2667
1.15605	2.45289	1.15459	2.45259	0.580781	5.4704	0.824538	7.61043	1.09951	9.65019	1.28905	11.4338	0.388359	3.6893	1.12806	2.59986	0.823943	7.61493	1.05872	9.40198	1.38067	12.1187
1.15213	2.45208	1.15066	2.45178	0.582759	5.41541	0.824694	7.57582	1.101	9.54238	1.28953	11.2935	0.39057	3.6601	1.12423	2.59969	0.824624	7.58509	1.05909	9.28626	1.38149	11.9741
1.14821	2.45126	1.14674	2.45096	0.584707	5.3616	0.824917	7.52937	1.10247	9.43701	1.29005	11.157	0.392739	3.63132	1.12041	2.59952	0.825545	7.54491	1.0595	9.17377	1.38228	11.8329
1.14429	2.45045	1.14282	2.45014	0.586624	5.30891	0.825216	7.47164	1.1039	9.33399	1.2906	11.0241	0.394869	3.60292	1.11658	2.59935	0.826701	7.49474	1.05996	9.06442	1.38304	11.6949
1.14037	2.44963	1.13891	2.44932	0.58851	5.2573	0.825604	7.40328	1.10531	9.23322	1.29119	10.8949	0.396958	3.57491	1.11276	2.59919	0.828085	7.43502	1.06045	8.95808	1.38377	11.5601
1.13645	2.44881	1.13499	2.4485	0.590364	5.20673	0.826096	7.32508	1.1067	9.13463	1.29182	10.769	0.399008	3.54726	1.10894	2.59903	0.829691	7.36625	1.06099	8.85466	1.38447	11.4281
1.13254	2.44799	1.13108	2.44768	0.592186	5.15715	0.82671	7.23789	1.10805	9.03814	1.29249	10.6465	0.401018	3.51997	1.10512	2.59888	0.831509	7.28898	1.06157	8.75404	1.38515	11.2991
1.12862	2.44716	1.12716	2.44685	0.593975	5.10852	0.827377	7.15333	1.10938	8.94367	1.2932	10.5271	0.402991	3.49302	1.10131	2.59873	0.833299	7.21341	1.06219	8.65614	1.38581	11.1729
1.12471	2.44634	1.12325	2.44603	0.595732	5.0608	0.828098	7.07132	1.11068	8.85116	1.29394	10.4109	0.404925	3.46643	1.0975	2.59858	0.835063	7.13947	1.06285	8.56085	1.38643	11.0494
1.1208	2.44551	1.11934	2.4452	0.597456	5.01397	0.828871	6.99174	1.11195	8.76053	1.29473	10.2976	0.406823	3.44017	1.09369	2.59845	0.836798	7.0671	1.06356	8.4681	1.38703	10.9284
1.1169	2.44468	1.11544	2.44437	0.599148	4.96799	0.829697	6.91452	1.1132	8.67173	1.29556	10.1873	0.408686	3.41424	1.08989	2.59832	0.838506	6.99624	1.06431	8.37779	1.38761	10.81
