Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.09477	2.44866	1.09272	2.44841	0.602574	5.53474	0.852074	7.89713	1.17294	10.0501	1.32143	11.3381	0.405832	3.73592	1.10311	2.61212	0.865035	7.97176	1.08638	9.32535
1.09104	2.4482	1.08899	2.44796	0.604835	5.48282	0.85254	7.79714	1.17395	9.93587	1.32255	11.209	0.408417	3.71041	1.09996	2.61359	0.866982	7.88482	1.08709	9.21722
1.08731	2.44776	1.08526	2.44752	0.607072	5.43202	0.853045	7.70012	1.17494	9.82423	1.32371	11.0832	0.410967	3.68525	1.09686	2.61518	0.868909	7.79996	1.08783	9.11199
1.08358	2.44733	1.08154	2.4471	0.609284	5.3823	0.853591	7.60595	1.17591	9.71509	1.3249	10.9607	0.413483	3.66044	1.0938	2.61691	0.870817	7.71709	1.0886	9.00955
1.07986	2.44691	1.07783	2.44669	0.611471	5.33361	0.854177	7.51452	1.17686	9.60835	1.32612	10.8414	0.415965	3.63595	1.0908	2.61877	0.872703	7.63614	1.0893	8.92249
1.07615	2.4465	1.07412	2.44629	0.613631	5.2859	0.854804	7.42575	1.17778	9.50394	1.32738	10.7251	0.418412	3.61177	1.08785	2.62076	0.874569	7.55702	1.08993	8.84985
1.07245	2.44611	1.07042	2.4459	0.615765	5.23915	0.855473	7.33953	1.17869	9.40177	1.32868	10.6118	0.420823	3.58788	1.08495	2.62289	0.876414	7.47967	1.09045	8.79085
1.06875	2.44573	1.06673	2.44553	0.617873	5.1933	0.856183	7.25577	1.17958	9.30177	1.33	10.5014	0.4232	3.56429	1.08209	2.62515	0.878237	7.40403	1.09088	8.74486
1.06506	2.44536	1.06304	2.44517	0.619953	5.14833	0.856937	7.1744	1.18045	9.20387	1.33136	10.3936	0.425542	3.54097	1.07929	2.62755	0.880038	7.33002	1.0912	8.71142
1.06138	2.44501	1.05937	2.44483	0.622006	5.1042	0.857732	7.09532	1.1813	9.108	1.33276	10.2886	0.42785	3.51792	1.07653	2.63008	0.881817	7.25758	1.0914	8.69018
1.05771	2.44468	1.0557	2.4445	0.624032	5.06088	0.858571	7.01846	1.18203	9.02606	1.33418	10.1861	0.430123	3.49512	1.07382	2.63275	0.883573	7.18666	1.0917	8.65987
1.05404	2.44436	1.05204	2.4442	0.62603	5.01834	0.859454	6.94375	1.18263	8.95736	1.33564	10.0861	0.432362	3.47259	1.07116	2.63554	0.885307	7.11721	1.09204	8.62721
1.05039	2.44406	1.04839	2.44391	0.627999	4.97655	0.86038	6.8711	1.18313	8.90132	1.33713	9.98847	0.434567	3.4503	1.06854	2.63846	0.887018	7.04917	1.09249	8.58328
1.04674	2.44378	1.04474	2.44364	0.629941	4.93548	0.861349	6.80045	1.18352	8.85751	1.33865	9.89317	0.43674	3.42826	1.06596	2.6415	0.888705	6.98249	1.09308	8.52851
1.0431	2.44352	1.04111	2.44338	0.631855	4.89512	0.862363	6.73174	1.1838	8.82557	1.3402	9.8001	0.43888	3.40647	1.06341	2.64466	0.89037	6.91712	1.09381	8.46341
1.03947	2.44328	1.03748	2.44315	0.63374	4.85543	0.86342	6.6649	1.18398	8.80524	1.34179	9.70919	0.440988	3.38491	1.06091	2.64793	0.892012	6.85303	1.0947	8.38861
1.03585	2.44306	1.03387	2.44294	0.635597	4.8164	0.864521	6.59987	1.18423	8.77619	1.3434	9.62038	0.443065	3.36359	1.05844	2.65132	0.89363	6.79017	1.09574	8.30477
