Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
343  Points		344  Points		201  Points		140  Points		289  Points		289  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.375379	2.20934	0.214649	4.82217	0.594931	7.7872	0.829589	5.30497	0.546906	4.97434	0.548324	4.95487	0.860241	2.51034
0.376871	2.20897	0.217908	4.82209	0.597491	7.80775	0.833178	5.31357	0.550253	4.9278	0.551657	4.90785	0.861969	2.6036
0.378365	2.21105	0.221167	4.8218	0.600738	7.83185	0.836772	5.32231	0.553568	4.88019	0.554958	4.85975	0.863761	2.69673
0.37986	2.21532	0.224426	4.8213	0.604678	7.8586	0.840373	5.33129	0.55685	4.8315	0.558227	4.81062	0.865615	2.78972
0.38136	2.22153	0.227685	4.82069	0.609315	7.88696	0.843979	5.34058	0.560099	4.78192	0.561461	4.76066	0.867532	2.88241
0.38267	2.22833	0.230943	4.82004	0.614657	7.91547	0.847592	5.35007	0.563314	4.73144	0.564662	4.70988	0.869511	2.97481
0.38379	2.23527	0.234201	4.81916	0.620016	7.93992	0.851212	5.35996	0.566495	4.68015	0.567828	4.6583	0.871553	3.06672
0.38472	2.24169	0.237458	4.81816	0.62539	7.96037	0.854838	5.37036	0.569641	4.6282	0.57096	4.60605	0.873657	3.15807
0.385457	2.24703	0.240714	4.81706	0.630777	7.97691	0.858472	5.38115	0.572752	4.57568	0.574055	4.55333	0.875823	3.2488
0.386	2.25149	0.24397	4.81585	0.636174	7.98977	0.862113	5.39255	0.575827	4.52266	0.577115	4.50011	0.878049	3.33869
0.386348	2.25423	0.247225	4.81459	0.641578	7.99898	0.865762	5.40464	0.578866	4.4692	0.580139	4.4465	0.880336	3.4278
0.386849	2.25826	0.250479	4.81315	0.646987	8.00464	0.869419	5.41742	0.581868	4.41541	0.583126	4.39264	0.882683	3.51598
0.387394	2.26308	0.253731	4.81162	0.652399	8.00702	0.873085	5.43097	0.584835	4.36141	0.586077	4.3386	0.885089	3.60308
0.388138	2.26964	0.256983	4.8101	0.657811	8.00599	0.876761	5.44544	0.587764	4.30735	0.588991	4.28447	0.887554	3.68906
0.389083	2.27855	0.260234	4.80843	0.663222	8.00168	0.880447	5.46085	0.590658	4.25322	0.591869	4.23035	0.890076	3.77378
0.39023	2.28972	0.263483	4.80669	0.668628	7.99428	0.884143	5.47724	0.593514	4.19909	0.59471	4.17634	0.892655	3.85721
0.391582	2.30365	0.266732	4.80491	0.674029	7.98367	0.887851	5.49476	0.596334	4.14523	0.597514	4.12252	0.89529	3.93926
0.393145	2.32056	0.269979	4.80306	0.679421	7.96993	0.891571	5.51346	0.599118	4.09159	0.600283	4.06901	0.897981	4.01977
0.394719	2.3383	0.273225	4.80113	0.684803	7.95322	0.895304	5.53339	0.601865	4.03827	0.603015	4.01591	0.900725	4.09871
0.396306	2.35686	0.276469	4.79915	0.690173	7.9335	0.899051	5.55468	0.604577	3.98546	0.605712	3.96326	0.903521	4.17603
0.397905	2.37608	0.279712	4.79715	0.695528	7.91072	0.902813	5.57736	0.607253	3.93316	0.608373	3.91119	0.90637	4.25162
0.399518	2.39589	0.282954	4.79504	0.700867	7.885	0.906591	5.60153	0.609894	3.88142	0.610999	3.85977	0.909269	4.32547
0.401144	2.4163	0.286195	4.79293	0.706187	7.85628	0.910386	5.62725	0.6125	3.83036	0.613591	3.80902	0.912217	4.39745
0.402784	2.43725	0.289434	4.79076	0.711487	7.82461	0.914198	5.65456	0.615072	3.7801	0.616148	3.75911	0.915214	4.46751
0.404439	2.45863	0.292671	4.78857	0.716765	7.7901	0.91803	5.68354	0.61761	3.73063	0.618672	3.71008	0.918257	4.53565
0.406108	2.48038	0.295907	4.78631	0.722018	7.75255	0.921882	5.71424	0.620115	3.68213	0.621164	3.66194	0.921345	4.60175
0.407792	2.50241	0.299141	4.78407	0.727245	7.71207	0.925755	5.74677	0.622588	3.6346	0.623623	3.61475	0.924477	4.66582
0.409491	2.52473	0.302374	4.78179	0.732444	7.66876	0.92965	5.78103	0.625029	3.58802	0.62605	3.56869	0.927653	4.72782
0.411205	2.5473	0.305606	4.77943	0.737612	7.62247	0.93357	5.81715	0.627438	3.54257	0.628447	3.5237	0.930869	4.78771
0.412935	2.57004	0.308835	4.7771	0.742748	7.57328	0.937514	5.85516	0.629818	3.49824	0.630814	3.47986	0.934125	4.84541
0.414679	2.59297	0.312063	4.77472	0.74785	7.52128	0.941485	5.89493	0.632167	3.45503	0.633151	3.43719	0.937419	4.90093
