Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.381971	2.3208	0.274827	5.46262	0.648971	8.11352	0.591497	3.83626	0.592277	3.82142
0.383433	2.33531	0.278259	5.46215	0.654071	8.1224	0.593892	3.79064	0.594663	3.77592
0.384905	2.35136	0.281689	5.46143	0.659175	8.12841	0.596259	3.74524	0.59702	3.73062
0.386387	2.36884	0.28512	5.46063	0.664283	8.13158	0.598598	3.70021	0.59935	3.68571
0.38788	2.38768	0.28855	5.45969	0.669391	8.13203	0.600908	3.65565	0.601651	3.6413
0.389386	2.4077	0.291979	5.45856	0.674499	8.12975	0.60319	3.61153	0.603924	3.59732
0.390905	2.42884	0.295407	5.4573	0.679604	8.12481	0.605445	3.56796	0.60617	3.55398
0.392438	2.45098	0.298835	5.45585	0.684706	8.11729	0.607673	3.52504	0.608389	3.51129
0.393984	2.474	0.302261	5.45426	0.689802	8.10717	0.609873	3.48284	0.610581	3.46925
0.395546	2.49795	0.305687	5.45259	0.694891	8.0944	0.612048	3.44136	0.612747	3.42803
0.397123	2.52258	0.309111	5.45078	0.699971	8.079	0.614197	3.40064	0.614888	3.38764
0.398715	2.54788	0.312535	5.44884	0.705041	8.06108	0.61632	3.36078	0.617003	3.34811
0.400323	2.57378	0.315957	5.44673	0.710098	8.04061	0.618419	3.32189	0.619094	3.30944
0.401948	2.6002	0.319377	5.44454	0.715142	8.01745	0.620494	3.28392	0.621161	3.27181
0.40359	2.6271	0.322797	5.44224	0.720171	7.99174	0.622545	3.2469	0.623204	3.23517
0.405249	2.6544	0.326215	5.43985	0.725182	7.96341	0.624573	3.21096	0.625225	3.19952
0.406925	2.68212	0.329631	5.43735	0.730175	7.93241	0.626579	3.17604	0.627224	3.16497
0.408618	2.7101	0.333045	5.43468	0.735148	7.89882	0.628563	3.14229	0.629201	3.13156
0.41033	2.73827	0.336458	5.43194	0.740098	7.86247	0.630526	3.10966	0.631158	3.09932
0.412058	2.76669	0.33987	5.4291	0.745025	7.82338	0.632469	3.07813	0.633095	3.06816
0.413805	2.79535	0.343279	5.42622	0.749927	7.78157	0.634393	3.04781	0.635013	3.03818
0.41557	2.82413	0.346687	5.4232	0.754801	7.73703	0.636298	3.01864	0.636912	3.0095
0.417353	2.85292	0.350092	5.42011	0.759647	7.68972	0.638186	2.99074	0.638794	2.98197
0.419154	2.88181	0.353496	5.41694	0.764462	7.63951	0.640056	2.96403	0.640658	2.95565
0.420974	2.91081	0.356897	5.41362	0.769244	7.58648	0.641909	2.93856	0.642507	2.9306
0.422811	2.93971	0.360297	5.41027	0.773993	7.53069	0.643747	2.91437	0.64434	2.90677
0.424667	2.96861	0.363694	5.40686	0.778705	7.47194	0.645571	2.89135	0.646159	2.88416
0.426541	2.9975	0.36709	5.40336	0.78338	7.4103	0.64738	2.86963	0.647963	2.8628
0.428433	3.02629	0.370483	5.39977	0.788015	7.34586	0.649176	2.8491	0.649755	2.84273
0.430343	3.05497	0.373873	5.39607	0.792608	7.2785	0.650959	2.82977	0.651535	2.82378
0.432271	3.08354	0.377262	5.39232	0.797158	7.20831	0.652731	2.81174	0.653303	2.80616
0.434216	3.11195	0.380648	5.38854	0.801664	7.13525	0.654491	2.7949	0.65506	2.78975
0.43618	3.14028	0.384031	5.3847	0.806122	7.05945	0.656242	2.77926	0.656807	2.77443
0.438162	3.1684	0.387412	5.38071	0.810533	6.98097	0.657983	2.76486	0.658545	2.76041
0.440161	3.19631	0.390791	5.37671	0.814893	6.8998	0.659715	2.75158	0.660275	2.74753
0.442177	3.22407	0.394167	5.37264	0.819201	6.81603	0.66144	2.73945	0.661997	2.73577
0.444211	3.25152	0.397541	5.36849	0.823456	6.72977	0.663157	2.72856	0.663712	2.72522
0.446262	3.27889	0.400912	5.3643	0.827655	6.64118	0.664868	2.71871	0.665421	2.71576
0.44833	3.30598	0.40428	5.36008	0.831799	6.55033	0.666572	2.70998	0.667124	2.7074
0.450415	3.33273	0.407645	5.35575	0.835885	6.45743	0.668272	2.70236	0.668822	2.70012
0.452517	3.35936	0.411008	5.35135	0.839911	6.36253	0.669967	2.69578	0.670516	2.69392
0.454636	3.38571	0.414368	5.34698	0.843878	6.26587	0.671659	2.69031	0.672207	2.68871
0.456771	3.4117	0.417726	5.34252	0.847783	6.16767	0.673347	2.68579	0.673894	2.68452
0.458922	3.43746	0.42108	5.33795	0.851626	6.06806	0.675033	2.68228	0.675579	2.6814
0.461089	3.463	0.424432	5.33338	0.855406	5.96736	0.676717	2.67976	0.677263	2.67919
0.463272	3.48821	0.42778	5.32876	0.859123	5.86568	0.6784	2.67818	0.678945	2.67786
0.465471	3.51314	0.431126	5.32407	0.862775	5.76329	0.680082	2.6776	0.680627	2.67753
0.467686	3.53778	0.434469	5.31933	0.866363	5.66049	0.681763	2.67786	0.682309	2.67812
0.469916	3.5621	0.437809	5.31457	0.869887	5.55738	0.683446	2.67891	0.683991	2.6795
0.472161	3.58615	0.441146	5.30974	0.873345	5.45433	0.685129	2.68096	0.685675	2.68177
0.474421	3.60991	0.444479	5.30489	0.876739	5.35153	0.686814	2.68377	0.68736	2.68486
0.476696	3.63331	0.44781	5.29996	0.880068	5.24918	0.688501	2.68735	0.689048	2.68874
0.478986	3.65641	0.451138	5.295	0.883334	5.14766	0.69019	2.69181	0.690738	2.69339
0.48129	3.67927	0.454462	5.29002	0.886535	5.04698	0.691882	2.69696	0.692432	2.69882
0.483608	3.70177	0.457784	5.28497	0.889674	4.94742	0.693578	2.70291	0.694129	2.70495
0.48594	3.724	0.461102	5.2799	0.892751	4.8493	0.695278	2.70947	0.69583	2.71177
0.488286	3.74586	0.464417	5.27476	0.895766	4.75266	0.696982	2.71672	0.697536	2.71925
0.490646	3.76744	0.467728	5.26963	0.898721	4.65768	0.698691	2.72474	0.699246	2.72739
0.493019	3.78872	0.471037	5.26446	0.901618	4.56462	0.700405	2.73331	0.700962	2.73624
0.495406	3.80967	0.474342	5.25921	0.904456	4.4736	0.702125	2.74249	0.702684	2.74561
0.497805	3.83031	0.477644	5.25393	0.907238	4.38464	0.703851	2.75229	0.704411	2.75556
0.500218	3.85068	0.480943	5.24868	0.909964	4.2979	0.705583	2.76268	0.706145	2.76618
0.502643	3.87075	0.484238	5.24334	0.912637	4.21352	0.707321	2.77363	0.707886	2.77726
0.505081	3.89045	0.48753	5.23795	0.915258	4.13151	0.709067	2.78508	0.709634	2.78887
0.50753	3.90986	0.490818	5.23254	0.917828	4.052	0.71082	2.797	0.71139	2.80104
0.509992	3.92902	0.494104	5.22712	0.920348	3.97498	0.712581	2.80947	0.713153	2.81364
0.512466	3.94789	0.497385	5.2217	0.922821	3.90046	0.71435	2.82239	0.714925	2.82667
0.514952	3.96639	0.500664	5.21621	0.925248	3.82854	0.716127	2.8358	0.716705	2.8402
0.517449	3.9846	0.503938	5.2107	0.927631	3.75918	0.717912	2.84963	0.718493	2.85419
0.519958	4.00257	0.50721	5.20512	0.929971	3.69234	0.719707	2.86382	0.72029	2.86851
0.522478	4.02018	0.510478	5.19956	0.93227	3.62812	0.72151	2.87846	0.722097	2.88328
0.525009	4.03757	0.513742	5.19401	0.934529	3.56641	0.723323	2.89344	0.723912	2.89843
0.52755	4.05469	0.517003	5.18836	0.93675	3.50714	0.725145	2.90886	0.725738	2.91388
0.530102	4.07139	0.52026	5.1827	0.938935	3.45041	0.726977	2.92456	0.727573	2.9297
0.532665	4.08795	0.523514	5.17711	0.941085	3.39613	0.728819	2.94055	0.729419	2.94587
0.535238	4.10421	0.526764	5.17143	0.943202	3.34417	0.730671	2.95697	0.731274	2.96232
0.537821	4.12011	0.530011	5.16571	0.945286	3.29456	0.732534	2.9736	0.73314	2.97907
0.540414	4.13577	0.533254	5.15998	0.947341	3.24721	0.734407	2.99049	0.735017	2.99608
0.543017	4.15121	0.536493	5.15428	0.949366	3.20208	0.736291	3.00774	0.736904	3.01333
0.545629	4.16637	0.539729	5.14856	0.951363	3.1592	0.738186	3.02522	0.738802	3.03092
0.548251	4.18122	0.542961	5.14276	0.953335	3.11837	0.740092	3.04292	0.740712	3.04873
0.550882	4.19588	0.54619	5.13699	0.955281	3.0796	0.742009	3.06079	0.742632	3.06665
0.553522	4.21021	0.549415	5.13122	0.957204	3.04283	0.743937	3.07896	0.744564	3.08485
0.556172	4.22428	0.552636	5.1254	0.959104	3.00799	0.745877	3.09733	0.746508	3.10329
0.558829	4.23815	0.555854	5.11956	0.960983	2.97497	0.747828	3.1158	0.748463	3.12191
0.561496	4.25177	0.559068	5.11381	0.962841	2.94375	0.749791	3.13455	0.75043	3.14067
0.564171	4.2651	0.562278	5.10801	0.964681	2.91434	0.751766	3.15342	0.752409	3.15955
0.566854	4.27823	0.565485	5.10212	0.966502	2.8866	0.753753	3.17242	0.754399	3.17861
0.569546	4.29109	0.568688	5.09629	0.968307	2.86045	0.755751	3.19159	0.756402	3.19781
0.572245	4.30372	0.571887	5.0905	0.970096	2.83592	0.757762	3.2109	0.758417	3.21718
0.574952	4.31611	0.575083	5.08462	0.97187	2.8129	0.759785	3.23033	0.760444	3.23665
0.577667	4.32829	0.578275	5.0788	0.97363	2.79134	0.761821	3.24982	0.762483	3.25616
0.58039	4.34024	0.581464	5.07296	0.975377	2.77116	0.763868	3.26945	0.764534	3.27585
0.58312	4.35192	0.584648	5.0671	0.977111	2.75238	0.765928	3.28915	0.766598	3.29558
0.585857	4.36346	0.58783	5.06135	0.978834	2.7349	0.768	3.30894	0.768675	3.31539
0.588602	4.37472	0.591007	5.05549	0.980547	2.71866	0.770085	3.32889	0.770763	3.33529
0.591353	4.38573	0.594181	5.04968	0.98225	2.7037	0.772182	3.3488	0.772865	3.35523
0.594112	4.39661	0.597351	5.04389	0.983944	2.68986	0.774292	3.36875	0.774979	3.37525
0.596877	4.40726	0.600517	5.03807	0.985629	2.67718	0.776414	3.38878	0.777105	3.39531
0.599648	4.41769	0.60368	5.03228	0.987307	2.66552	0.778549	3.40884	0.779244	3.41539
0.602427	4.42791	0.606839	5.0265	0.988978	2.65491	0.780697	3.42897	0.781396	3.43548
0.605211	4.4379	0.609995	5.02079	0.990642	2.64543	0.782857	3.44909	0.78356	3.45563
0.608002	4.44774	0.613147	5.01505	0.992301	2.63682	0.78503	3.46919	0.785737	3.47575
0.610799	4.45738	0.616295	5.00931	0.993955	2.6291	0.787215	3.48935	0.787927	3.49586
0.613602	4.46682	0.61944	5.00361	0.995604	2.62231	0.789414	3.50948	0.790129	3.51602
0.616411	4.47604	0.622581	4.99794	0.997249	2.61641	0.791624	3.52964	0.792344	3.53614
0.619225	4.48511	0.625719	4.99233	0.998891	2.61135	0.793848	3.54977	0.794571	3.5562
0.622045	4.49404	0.628853	4.9867	1.00053	2.60901	0.796084	3.56978	0.796811	3.57633
0.624871	4.50275	0.631984	4.98101			0.798333	3.58989	0.799064	3.5964
0.627702	4.51123	0.635111	4.97545			0.800594	3.60993	0.80133	3.61642
0.630538	4.51954	0.638234	4.96995			0.802868	3.6299	0.803608	3.63643
0.63338	4.52772	0.641355	4.96443			0.805154	3.64987	0.805898	3.65632
0.636226	4.53577	0.644471	4.95896			0.807453	3.66975	0.808201	3.6762
0.639078	4.5436	0.647585	4.9535			0.809764	3.68957	0.810516	3.69597
0.641935	4.55126	0.650694	4.94811			0.812088	3.70937	0.812844	3.71575
0.644796	4.55879	0.653801	4.94276			0.814425	3.7291	0.815185	3.73547
0.647662	4.56608	0.656904	4.93742			0.816773	3.74874	0.817537	3.75505
0.650532	4.57326	0.660004	4.93209			0.819134	3.76829	0.819902	3.77462
0.653407	4.58032	0.6631	4.92681			0.821507	3.78778	0.822279	3.79407
0.656286	4.58722	0.666193	4.92168			0.823893	3.80714	0.824668	3.81341
0.65917	4.59393	0.669283	4.91651			0.82629	3.82644	0.82707	3.83269
0.662058	4.60055	0.67237	4.91136			0.8287	3.84564	0.829483	3.85184
0.66495	4.607	0.675453	4.90635			0.831121	3.86475	0.831909	3.87092
0.667846	4.61322	0.678534	4.90129			0.833555	3.88376	0.834347	3.88991
0.670745	4.61942	0.681611	4.89632			0.836001	3.90261	0.836796	3.90875
