Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.579825	4.15148	0.563023	4.91234	0.97713	2.84116	0.766766	3.14334	0.766304	3.13976		
0.582497	4.16219	0.56618	4.9084	0.97895	2.82302	0.768792	3.15909	0.768328	3.15544		
0.585177	4.17259	0.569334	4.90457	0.98076	2.80609	0.770828	3.17493	0.770362	3.1713		
0.587863	4.18294	0.572486	4.9007	0.982559	2.79031	0.772875	3.19086	0.772406	3.18719		
0.590555	4.19305	0.575636	4.89679	0.984348	2.77562	0.774931	3.20684	0.77446	3.20314		
0.593254	4.20294	0.578783	4.89293	0.986128	2.76196	0.776998	3.22284	0.776525	3.21919		
0.59596	4.21271	0.581928	4.88909	0.987899	2.74929	0.779075	3.23891	0.7786	3.23528		
0.598671	4.22226	0.58507	4.88526	0.989663	2.7376	0.781163	3.25506	0.780685	3.25144		
0.601389	4.23166	0.588209	4.88144	0.991419	2.72682	0.783261	3.27131	0.782781	3.26759		
0.604113	4.24081	0.591347	4.87766	0.993169	2.71697	0.78537	3.2875	0.784887	3.28373		
0.606842	4.24985	0.594481	4.87387	0.994913	2.70807	0.787488	3.30367	0.787003	3.29997		
0.609577	4.25872	0.597614	4.87006	0.996651	2.6999	0.789618	3.31992	0.78913	3.31627		
0.612318	4.2674	0.600744	4.86635	0.998385	2.69252	0.791757	3.33622	0.791267	3.33248		
0.615065	4.27593	0.603871	4.86259	1.00011	2.68911	0.793907	3.35249	0.793415	3.34876		
0.617816	4.28428	0.606996	4.85885			0.796068	3.36874	0.795573	3.36502		
0.620574	4.29249	0.610119	4.85517			0.798239	3.38499	0.797742	3.38127		
0.623336	4.30052	0.613239	4.85143			0.800421	3.40123	0.799921	3.39757		
0.626104	4.30841	0.616357	4.84775			0.802613	3.41747	0.802111	3.41378		
0.628876	4.31613	0.619473	4.84416			0.804815	3.43371	0.804311	3.42995		
0.631653	4.3237	0.622586	4.8405			0.807028	3.4499	0.806521	3.44616		
0.634436	4.33115	0.625697	4.83687			0.809251	3.46606	0.808742	3.46238		
0.637223	4.33848	0.628806	4.83325			0.811485	3.48221	0.810973	3.47851		
0.640014	4.34559	0.631912	4.82964			0.813729	3.49824	0.813215	3.49458		
0.642811	4.3526	0.635016	4.82613			0.815983	3.51432	0.815467	3.51064		
0.645611	4.3595	0.638118	4.82263			0.818248	3.53032	0.817729	3.52668		
0.648416	4.36619	0.641217	4.81907			0.820523	3.54623	0.820002	3.54265		
0.651226	4.37282	0.644314	4.8156			0.822808	3.56215	0.822284	3.55855		
0.654039	4.37932	0.647409	4.81216			0.825103	3.57801	0.824578	3.57436		
0.656857	4.3856	0.650502	4.80869			0.827409	3.5938	0.826881	3.59016		
0.659678	4.39181	0.653593	4.80526			0.829724	3.60949	0.829194	3.60592		
0.662504	4.39795	0.656681	4.8019			0.83205	3.62514	0.831517	3.6216		
0.665334	4.40388	0.659767	4.79857			0.834386	3.64077	0.833851	3.63719		
0.668167	4.40976	0.662851	4.79521			0.836731	3.65627	0.836194	3.65268		
0.671004	4.41547	0.665933	4.79183			0.839087	3.67167	0.838548	3.66817		
0.673844	4.42108	0.669013	4.78855			0.841453	3.68706	0.840911	3.68356		
0.676689	4.42659	0.672091	4.78532			0.843828	3.70235	0.843284	3.69884		
0.679536	4.43194	0.675166	4.78211			0.846213	3.71753	0.845667	3.71402		
0.682388	4.43722	0.67824	4.77891			0.848608	3.7326	0.84806	3.7292		
0.685242	4.44241	0.681311	4.77572			0.851013	3.74762	0.850462	3.74427		
0.6881	4.4475	0.684381	4.77259			0.853427	3.76261	0.852875	3.75918		
