Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
393  Points		393  Points		374  Points		205  Points		400  Points		301  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.623532	2.66267	0.623425	2.66269	0.706321	4.82912	0.924632	6.29194	0.500061	3.41449	0.697349	4.77036		
0.620964	2.66304	0.620857	2.66305	0.707784	4.80639	0.925788	6.25739	0.501905	3.40392	0.698736	4.7475		
0.618398	2.6634	0.61829	2.66342	0.709238	4.78391	0.926957	6.2234	0.503737	3.39342	0.700145	4.72509		
0.615832	2.66378	0.615724	2.6638	0.710683	4.76167	0.928141	6.18996	0.505557	3.38299	0.701575	4.70313		
0.613266	2.66416	0.613159	2.66418	0.71212	4.73967	0.929339	6.15705	0.507366	3.37262	0.703027	4.6816		
0.610702	2.66455	0.610595	2.66457	0.713548	4.7179	0.930551	6.12466	0.509164	3.36231	0.704499	4.6605		
0.608139	2.66495	0.608032	2.66497	0.714968	4.69635	0.931777	6.09279	0.510951	3.35206	0.705993	4.63981		
0.605577	2.66536	0.60547	2.66538	0.716378	4.67503	0.933018	6.06142	0.512727	3.34187	0.707508	4.61953		
0.603016	2.66577	0.602909	2.66579	0.71778	4.65393	0.934272	6.03055	0.514492	3.33175	0.709044	4.59964		
0.600457	2.6662	0.60035	2.66621	0.719174	4.63305	0.93554	6.00016	0.516246	3.32168	0.710601	4.58015		
0.597898	2.66663	0.597791	2.66665	0.720559	4.61238	0.936822	5.97024	0.517989	3.31167	0.712178	4.56103		
0.595341	2.66707	0.595234	2.66709	0.721936	4.59192	0.938117	5.94079	0.519722	3.30173	0.713775	4.54229		
0.592785	2.66752	0.592678	2.66754	0.723305	4.57166	0.939426	5.91179	0.521445	3.29184	0.715393	4.5239		
0.59023	2.66799	0.590123	2.66801	0.724665	4.5516	0.940749	5.88324	0.523157	3.28201	0.71703	4.50588		
0.587677	2.66846	0.58757	2.66848	0.726017	4.53174	0.942085	5.85512	0.524859	3.27225	0.718688	4.4882		
0.585125	2.66894	0.585019	2.66896	0.727361	4.51208	0.943435	5.82743	0.526552	3.26254	0.720364	4.47086		
0.582575	2.66944	0.582469	2.66946	0.728697	4.49261	0.944797	5.80017	0.528235	3.25289	0.722061	4.45386		
0.580027	2.66995	0.57992	2.66997	0.730025	4.47332	0.946173	5.77331	0.529908	3.2433	0.723776	4.43718		
0.57748	2.67047	0.577374	2.67049	0.731345	4.45423	0.947562	5.74686	0.531572	3.23378	0.72551	4.42082		
0.574935	2.671	0.574829	2.67102	0.732657	4.43532	0.948964	5.7208	0.533227	3.22431	0.727263	4.40476		
0.572392	2.67155	0.572286	2.67157	0.733962	4.41658	0.950378	5.69513	0.534874	3.2149	0.729034	4.38901		
0.569851	2.67211	0.569745	2.67214	0.735259	4.39803	0.951805	5.66984	0.536511	3.20555	0.730823	4.37356		
0.567312	2.67269	0.567206	2.67271	0.736549	4.37965	0.953245	5.64493	0.53814	3.19626	0.73263	4.35839		
0.564775	2.67328	0.564669	2.67331	0.737831	4.36144	0.954697	5.62038	0.539761	3.18704	0.734455	4.34351		
0.562241	2.67389	0.562135	2.67392	0.739106	4.34341	0.956161	5.59618	0.541374	3.17787	0.736297	4.32891		
0.559708	2.67452	0.559603	2.67454	0.740374	4.32554	0.957637	5.57234	0.542979	3.16877	0.738156	4.31457		
0.557179	2.67516	0.557073	2.67519	0.741634	4.30784	0.959126	5.54884	0.544577	3.15973	0.740031	4.30049		
0.554652	2.67582	0.554546	2.67585	0.742889	4.2903	0.960625	5.52567	0.546168	3.15074	0.741923	4.28668		
0.552127	2.67651	0.552022	2.67654	0.744136	4.27292	0.962137	5.50284	0.547751	3.14183	0.743831	4.27311		
0.549606	2.67721	0.5495	2.67724	0.745376	4.25571	0.96366	5.48033	0.549328	3.13297	0.745755	4.25979		
0.547087	2.67793	0.546982	2.67796	0.74661	4.23865	0.965194	5.45814	0.550898	3.12418	0.747694	4.2467		
0.544571	2.67868	0.544466	2.67871	0.747838	4.22175	0.966739	5.43626	0.552462	3.11545	0.749649	4.23385		
0.542059	2.67945	0.541954	2.67948	0.74906	4.205	0.968296	5.41468	0.554019	3.10678	0.751618	4.22123		
0.53955	2.68024	0.539445	2.68028	0.750275	4.1884	0.969862	5.3934	0.555571	3.09818	0.753602	4.20883		
0.537045	2.68106	0.53694	2.6811	0.751485	4.17196	0.97144	5.37242	0.557118	3.08964	0.7556	4.19664		
0.534543	2.68191	0.534439	2.68195	0.752688	4.15566	0.973028	5.35172	0.558659	3.08117	0.757612	4.18467		
0.532046	2.68279	0.531942	2.68282	0.753887	4.13951	0.974626	5.33131	0.560195	3.07276	0.759637	4.1729		
0.529552	2.68369	0.529448	2.68373	0.755079	4.12351	0.976234	5.31116	0.561726	3.06442	0.761676	4.16133		
0.527063	2.68463	0.526959	2.68467	0.756266	4.10765	0.977852	5.29129	0.563253	3.05614	0.763728	4.14996		
0.524579	2.6856	0.524475	2.68564	0.757448	4.09193	0.97948	5.27169	0.564775	3.04793	0.765792	4.13877		
0.522099	2.6866	0.521995	2.68665	0.758625	4.07636	0.981117	5.25234	0.566293	3.03978	0.767869	4.12778		
0.519624	2.68764	0.519521	2.68769	0.759797	4.06092	0.982763	5.23325	0.567807	3.0317	0.769957	4.11696		
0.517155	2.68872	0.517051	2.68877	0.760965	4.04562	0.984419	5.21441	0.569318	3.02369	0.772058	4.10632		
0.514691	2.68984	0.514588	2.68989	0.762127	4.03046	0.986083	5.19582	0.570826	3.01574	0.774169	4.09585		
0.512232	2.691	0.51213	2.69105	0.763286	4.01544	0.987756	5.17746	0.57233	3.00786	0.776291	4.08555		
0.50978	2.69221	0.509678	2.69226	0.764439	4.00054	0.989437	5.15934	0.573832	3.00005	0.778425	4.07542		
