Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.548924	2.49438	0.549737	2.49584	0.75565	1.30941	0.968441	1.52682	0.554323	1.71133	0.747187	1.83884
0.546442	2.48967	0.547253	2.49122	0.756951	1.30322	0.969967	1.53799	0.556024	1.70345	0.749027	1.8554
0.543965	2.48475	0.544774	2.48641	0.758246	1.29713	0.971504	1.54904	0.557716	1.69574	0.750883	1.87165
0.541492	2.47959	0.5423	2.4813	0.759535	1.29109	0.973053	1.55993	0.559402	1.6882	0.752755	1.88762
0.539025	2.47413	0.539831	2.47593	0.760818	1.28522	0.974612	1.57062	0.561079	1.68088	0.754643	1.9034
0.536564	2.46841	0.537368	2.47029	0.762095	1.27946	0.976181	1.58121	0.56275	1.67375	0.756547	1.91897
0.534108	2.46242	0.53491	2.4644	0.763367	1.27377	0.977762	1.59166	0.564414	1.66685	0.758466	1.9342
0.531658	2.45617	0.532459	2.45825	0.764633	1.26823	0.979352	1.60192	0.56607	1.6602	0.7604	1.94918
0.529215	2.44957	0.530013	2.45176	0.765893	1.26282	0.980953	1.61202	0.567721	1.65371	0.762349	1.96395
0.526779	2.44259	0.527575	2.44492	0.767149	1.25752	0.982563	1.62197	0.569365	1.64738	0.764312	1.9784
0.524349	2.43531	0.525143	2.43774	0.768398	1.25235	0.984184	1.6318	0.571003	1.64132	0.76629	1.99256
0.521927	2.42769	0.522719	2.43024	0.769643	1.2473	0.985814	1.64148	0.572634	1.63547	0.768281	2.00648
0.519513	2.41964	0.520302	2.42234	0.770883	1.24235	0.987454	1.65096	0.57426	1.62986	0.770287	2.02012
0.517107	2.41117	0.517893	2.41398	0.772118	1.23753	0.989103	1.66021	0.575881	1.62446	0.772305	2.03344
0.51471	2.40228	0.515493	2.40525	0.773348	1.23287	0.990761	1.66933	0.577496	1.61924	0.774337	2.04651
