Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4		Asym5	
488  Points		495  Points		330  Points		181  Points		160  Points		431  Points		220  Points		163  Points		137  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.293346	1.29047	0.149491	2.24418	0.47389	5.22171	0.567908	5.07552	0.692011	3.13329	0.422354	3.73278	0.557775	3.54276	0.757847	2.75199	0.831136	3.11266
0.294239	1.2903	0.151582	2.2436	0.478747	5.2029	0.569599	5.08487	0.694946	3.1666	0.425804	3.67239	0.559811	3.57256	0.760426	2.78423	0.834051	3.14413
0.294978	1.29048	0.153672	2.24309	0.483585	5.18203	0.571903	5.09734	0.697912	3.20041	0.429197	3.6114	0.562296	3.60851	0.763035	2.8159	0.836995	3.17563
0.295562	1.29077	0.155762	2.24254	0.488403	5.15915	0.574824	5.11293	0.700909	3.2347	0.432534	3.54996	0.565243	3.65042	0.765673	2.84695	0.839969	3.20715
0.295991	1.29091	0.157851	2.24205	0.493199	5.1343	0.57837	5.13152	0.703939	3.26953	0.435812	3.48818	0.568666	3.69816	0.76834	2.87739	0.842971	3.23876
0.296266	1.29116	0.159939	2.24158	0.49797	5.1077	0.582545	5.15289	0.707002	3.30497	0.439033	3.42627	0.572134	3.74532	0.771035	2.90723	0.846004	3.27042
0.296662	1.29167	0.162028	2.24109	0.502717	5.07936	0.587357	5.17684	0.710098	3.34099	0.442197	3.36441	0.575645	3.79186	0.773758	2.93644	0.849065	3.3021
0.297091	1.29214	0.164115	2.24066	0.507435	5.04936	0.592191	5.20017	0.713227	3.37767	0.445303	3.30272	0.5792	3.83758	0.776507	2.96504	0.852157	3.33389
0.297676	1.29287	0.166203	2.24019	0.512125	5.01777	0.597047	5.22278	0.716392	3.41498	0.448351	3.2413	0.582796	3.88238	0.779283	2.99302	0.855278	3.36569
0.298416	1.29398	0.16829	2.23974	0.516785	4.9847	0.601923	5.24464	0.719591	3.45299	0.451342	3.18037	0.586434	3.92616	0.782084	3.02042	0.858428	3.39749
0.299313	1.29561	0.170376	2.23933	0.521414	4.95018	0.60682	5.26567	0.722826	3.4918	0.454277	3.1201	0.590112	3.96871	0.784911	3.04717	0.861609	3.42938
0.300365	1.29775	0.172462	2.23894	0.526009	4.91431	0.611735	5.28597	0.726097	3.53133	0.457156	3.06056	0.593829	4.00998	0.787762	3.07335	0.864819	3.4613
0.301576	1.3006	0.174548	2.23856	0.530571	4.87719	0.61667	5.30538	0.729406	3.57164	0.45998	3.00185	0.597584	4.04987	0.790638	3.09897	0.868058	3.4932
0.302789	1.30379	0.176634	2.23815	0.535098	4.83878	0.621621	5.32384	0.732753	3.61278	0.46275	2.94412	0.601376	4.08828	0.793537	3.12399	0.871328	3.52515
