Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4	
470  Points		492  Points		196  Points		137  Points		119  Points		365  Points		151  Points		119  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.396827	3.87588	0.219233	2.10687	0.754301	7.35322	0.892367	8.69595	0.979477	9.50624	0.630633	6.12955	0.824841	8.03522	0.987937	9.58006
0.398064	3.8529	0.221317	2.10802	0.758922	7.33168	0.897685	8.66907	0.986886	9.49232	0.633117	6.09846	0.830293	8.01559	0.992415	9.53732
0.399302	3.83035	0.223401	2.10915	0.763496	7.31006	0.903004	8.64268	0.994319	9.47887	0.63556	6.06754	0.835735	7.9962	0.996915	9.49555
0.400543	3.80821	0.225484	2.11026	0.76802	7.28837	0.908327	8.61678	1.00177	9.46586	0.637965	6.0368	0.841165	7.97705	1.00144	9.45471
0.401786	3.78649	0.227567	2.11135	0.772497	7.26661	0.913652	8.59136			0.640331	6.00624	0.846582	7.9581		
0.403032	3.76517	0.229651	2.11241	0.776926	7.24477	0.918981	8.56642			0.642661	5.97587	0.851985	7.93936		
0.40428	3.74424	0.231734	2.11346	0.781306	7.22287	0.924313	8.54194			0.644955	5.94569	0.857373	7.92079		
0.405531	3.7237	0.233817	2.11449	0.785639	7.2009	0.92965	8.51791			0.647214	5.9157	0.862744	7.90239		
0.406785	3.70352	0.2359	2.11551	0.789923	7.17886	0.934989	8.49433			0.649439	5.88592	0.868097	7.88414		
0.408041	3.68372	0.237983	2.1165	0.79416	7.15677	0.940333	8.47117			0.651632	5.85634	0.873431	7.86603		
0.409301	3.66427	0.240066	2.11748	0.79835	7.13462	0.94568	8.44843			0.653793	5.82698	0.878746	7.84805		
0.410564	3.64517	0.242149	2.11844	0.802492	7.11242	0.951031	8.4261			0.655924	5.79782	0.884041	7.83017		
0.411831	3.62642	0.244231	2.11939	0.806587	7.09016	0.956385	8.40416			0.658025	5.76888	0.889313	7.81241		
0.4131	3.608	0.246314	2.12032	0.810635	7.06787	0.961742	8.3826			0.660097	5.74016	0.894563	7.79473		
0.414373	3.58991	0.248397	2.12123	0.814637	7.04553	0.9671	8.36141			0.662141	5.71166	0.89979	7.77713		
0.41565	3.57213	0.250479	2.12213	0.818593	7.02315	0.972461	8.34057			0.664159	5.68339	0.904992	7.75961		
0.41693	3.55467	0.252562	2.12302	0.822504	7.00074	0.977823	8.32008			0.66615	5.65534	0.91017	7.74215		
0.418214	3.53752	0.254644	2.12389	0.826369	6.9783	0.983186	8.29991			0.668115	5.62751	0.915321	7.72475		
0.419502	3.52066	0.256726	2.12474	0.830189	6.95583	0.98855	8.28006			0.670056	5.59992	0.920446	7.7074		
0.420793	3.5041	0.258808	2.12559	0.833965	6.93335	0.993913	8.26052			0.671974	5.57255	0.925543	7.69009		
