Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		474  Points		213  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.446197	1.60166	0.331824	2.23302	0.445307	1.59873	0.947584	1.45762	0.692118	1.1714
0.447691	1.60648	0.333904	2.23298	0.446799	1.6036	0.948936	1.44497	0.693211	1.17319
0.44919	1.61131	0.335985	2.23295	0.448295	1.60846	0.950276	1.43282	0.694304	1.17503
0.450694	1.61611	0.338065	2.23294	0.449796	1.61327	0.951606	1.4211	0.6954	1.17702
0.452202	1.62081	0.340145	2.23294	0.451301	1.61801	0.952924	1.40986	0.696498	1.17903
0.453714	1.62547	0.342226	2.2329	0.452811	1.6227	0.954233	1.39904	0.697597	1.18111
0.455231	1.63011	0.344306	2.23288	0.454325	1.62734	0.955531	1.38865	0.698699	1.18324
0.456752	1.63474	0.346387	2.23287	0.455843	1.63197	0.95682	1.37866	0.699802	1.18544
0.458277	1.63928	0.348467	2.23283	0.457366	1.63656	0.9581	1.36905	0.700907	1.18772
0.459806	1.64379	0.350547	2.23285	0.458893	1.64112	0.959371	1.35988	0.702015	1.19002
0.46134	1.64828	0.352628	2.23282	0.460424	1.6456	0.960634	1.35105	0.703125	1.19239
0.462878	1.65272	0.354708	2.23277	0.461959	1.65004	0.961889	1.34254	0.704237	1.19485
0.46442	1.6571	0.356788	2.23278	0.463498	1.65449	0.963136	1.3344	0.705351	1.19733
0.465966	1.66141	0.358868	2.23278	0.465042	1.65884	0.964376	1.32659	0.706468	1.19981
0.467515	1.66573	0.360949	2.23275	0.46659	1.66318	0.965608	1.3191	0.707587	1.20241
0.469069	1.67002	0.363029	2.2327	0.468141	1.66747	0.966834	1.31191	0.708709	1.20502
0.470627	1.67421	0.365109	2.23271	0.469697	1.6717	0.968053	1.30499	0.709833	1.20765
0.472189	1.67839	0.367189	2.23271	0.471256	1.67594	0.969265	1.29841	0.710959	1.21035
0.473755	1.68257	0.369269	2.23268	0.47282	1.68008	0.970472	1.29208	0.712088	1.21306
0.475324	1.68671	0.37135	2.23266	0.474387	1.68423	0.971673	1.28603	0.713219	1.21581
0.476898	1.69076	0.37343	2.23265	0.475958	1.68832	0.972868	1.28025	0.714353	1.21861
0.478475	1.69476	0.37551	2.23261	0.477533	1.69235	0.974058	1.27465	0.71549	1.2214
0.480056	1.69877	0.37759	2.23259	0.479111	1.69641	0.975244	1.26936	0.716629	1.22426
0.48164	1.70276	0.37967	2.23262	0.480694	1.70038	0.976424	1.2643	0.717771	1.22716
0.483229	1.70666	0.38175	2.23259	0.48228	1.70435	0.977599	1.25946	0.718916	1.23007
0.484821	1.71055	0.38383	2.23258	0.48387	1.70823	0.978771	1.25485	0.720064	1.23299
0.486416	1.71443	0.38591	2.23257	0.485463	1.71208	0.979938	1.25042	0.721214	1.23592
0.488015	1.71821	0.38799	2.23253	0.48706	1.71594	0.981101	1.24622	0.722366	1.23892
0.489618	1.72196	0.39007	2.23251	0.488661	1.71974	0.98226	1.24222	0.723522	1.24192
0.491224	1.72574	0.39215	2.23251	0.490265	1.72351	0.983415	1.23835	0.724681	1.24492
0.492834	1.72946	0.39423	2.2325	0.491872	1.72723	0.984567	1.23473	0.725842	1.24796
0.494447	1.73312	0.39631	2.2325	0.493483	1.73091	0.985716	1.23131	0.727006	1.25102
0.496063	1.73674	0.39839	2.23246	0.495097	1.73459	0.986862	1.22799	0.728173	1.25408
0.497683	1.74035	0.40047	2.23244	0.496715	1.73822	0.988004	1.2249	0.729343	1.25716
0.499306	1.74394	0.40255	2.23247	0.498336	1.7418	0.989144	1.22197	0.730516	1.26027
0.500932	1.74746	0.40463	2.23245	0.499961	1.74534	0.990281	1.21914	0.731691	1.26336
0.502562	1.75094	0.40671	2.2324	0.501589	1.74887	0.991416	1.21652	0.73287	1.26648
0.504195	1.75444	0.40879	2.23241	0.50322	1.75239	0.992548	1.21401	0.734051	1.26965
0.505831	1.75788	0.41087	2.23242	0.504854	1.75584	0.993678	1.21165	0.735236	1.27278
0.507471	1.76128	0.41295	2.23238	0.506492	1.75925	0.994806	1.20948	0.736423	1.27595
0.509113	1.76466	0.41503	2.23237	0.508132	1.76267	0.995932	1.20741	0.737613	1.27911
0.510759	1.768	0.41711	2.23236	0.509776	1.76603	0.997056	1.20546	0.738806	1.28227
0.512408	1.77132	0.41919	2.23235	0.511423	1.76932	0.998178	1.2036	0.740003	1.28549
0.51406	1.77463	0.42127	2.23231	0.513073	1.77262	0.999299	1.2019	0.741202	1.28868
0.515715	1.77786	0.423349	2.23229	0.514726	1.77591	1.00042	1.20112	0.742404	1.29185
0.517373	1.78105	0.425429	2.23232	0.516382	1.77917			0.743609	1.29504
0.519033	1.78429	0.427509	2.2323	0.518041	1.78238			0.744817	1.29825
0.520697	1.78745	0.429589	2.23229	0.519704	1.78555			0.746028	1.30147
0.522364	1.79057	0.431669	2.23228	0.521369	1.78872			0.747242	1.30469
0.524034	1.79366	0.433748	2.23228	0.523037	1.7918			0.748459	1.30791
0.525706	1.79675	0.435828	2.23228	0.524707	1.79491			0.749679	1.31113
0.527382	1.79979	0.437908	2.23224	0.526381	1.79797			0.750902	1.31435
0.52906	1.80278	0.439988	2.23222	0.528058	1.80101			0.752129	1.31758
0.530741	1.80581	0.442068	2.23221	0.529737	1.80402			0.753358	1.3208
0.532425	1.80879	0.444147	2.23221	0.531419	1.807			0.75459	1.32406
0.534112	1.81168	0.446227	2.2322	0.533104	1.80995			0.755825	1.3273
0.535801	1.81458	0.448307	2.2322	0.534792	1.81285			0.757063	1.33049
0.537493	1.8175	0.450386	2.2322	0.536482	1.8158			0.758304	1.3337
0.539188	1.82035	0.452466	2.23217	0.538176	1.81867			0.759548	1.33692
0.540885	1.8232	0.454546	2.23215	0.539871	1.82146			0.760795	1.34017
0.542585	1.82598	0.456626	2.23217	0.54157	1.82429			0.762045	1.34341
0.544288	1.82873	0.458705	2.23215	0.543271	1.82712			0.763299	1.34661
0.545993	1.83153	0.460785	2.23214	0.544974	1.8299			0.764555	1.34982
0.5477	1.83425	0.462865	2.23213	0.54668	1.83261			0.765814	1.35303
