Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.410412	3.77363	0.235696	2.12977	0.411102	3.76135	0.865872	7.92778			0.681951	6.25916	0.959166	8.80274
				0.411607	3.75248	0.237779	2.13065	0.412301	3.74043	0.869946	7.89771			0.683701	6.22202	0.965117	8.78226
				0.412808	3.73172	0.239861	2.13152	0.413504	3.7199	0.873953	7.86754			0.685424	6.18525	0.971026	8.76174
				0.414013	3.71136	0.241944	2.13237	0.414712	3.69976	0.877895	7.8373			0.68712	6.14886	0.976893	8.74119
				0.415223	3.69138	0.244027	2.13321	0.415925	3.68	0.881774	7.80698			0.688792	6.11286	0.982715	8.72059
				0.416439	3.67177	0.246109	2.13403	0.417143	3.6606	0.885589	7.77661			0.69044	6.07723	0.988493	8.69993
				0.417659	3.65252	0.248192	2.13484	0.418367	3.64156	0.889342	7.7462			0.692066	6.04199	0.994225	8.67921
				0.418884	3.63363	0.250274	2.13564	0.419595	3.62287	0.893034	7.71574			0.693669	6.00713	0.99991	8.65842
				0.420114	3.61509	0.252356	2.13643	0.420828	3.60452	0.896666	7.68525			0.695252	5.97265	1.00555	8.63755
				0.421349	3.59688	0.254439	2.1372	0.422066	3.5865	0.900239	7.65475			0.696815	5.93854		
				0.42259	3.579	0.256521	2.13796	0.423309	3.56881	0.903754	7.62424			0.698359	5.90481		
				0.423835	3.56144	0.258603	2.13871	0.424557	3.55144	0.907211	7.59372			0.699884	5.87146		
				0.425085	3.5442	0.260686	2.13944	0.42581	3.53438	0.910613	7.56321			0.701392	5.83847		
				0.426341	3.52727	0.262768	2.14016	0.427069	3.51762	0.913959	7.53271			0.702883	5.80586		
				0.427601	3.51064	0.26485	2.14088	0.428332	3.50116	0.917252	7.50224			0.704359	5.77361		
				0.428867	3.4943	0.266932	2.14158	0.429601	3.48498	0.920492	7.4718			0.705818	5.74173		
				0.430137	3.47825	0.269014	2.14227	0.430874	3.46909	0.92368	7.4414			0.707264	5.7102		
				0.431413	3.46248	0.271096	2.14295	0.432153	3.45348	0.926817	7.41105			0.708695	5.67904		
				0.432694	3.44698	0.273178	2.14362	0.433436	3.43814	0.929904	7.38075			0.710112	5.64823		
				0.433979	3.43175	0.27526	2.14428	0.434725	3.42307	0.932943	7.35051			0.711517	5.61777		
				0.43527	3.41678	0.277342	2.14493	0.436019	3.40825	0.935933	7.32034			0.71291	5.58766		
				0.436566	3.40208	0.279424	2.14557	0.437317	3.39369	0.938877	7.29024			0.714291	5.5579		
				0.437867	3.38762	0.281506	2.14621	0.438621	3.37937	0.941775	7.26022			0.71566	5.52848		
				0.439173	3.3734	0.283588	2.14683	0.43993	3.3653	0.944629	7.23028			0.717019	5.4994		
				0.440484	3.35943	0.28567	2.14744	0.441244	3.35146	0.947438	7.20044			0.718368	5.47065		
				0.441799	3.34569	0.287752	2.14805	0.442562	3.33786	0.950205	7.17069			0.719707	5.44223		
				0.44312	3.33218	0.289833	2.14864	0.443886	3.32448	0.95293	7.14104			0.721037	5.41415		
				0.444446	3.3189	0.291915	2.14923	0.445215	3.31132	0.955613	7.1115			0.722358	5.38638		
				0.445777	3.30584	0.293997	2.14981	0.446548	3.29838	0.958257	7.08207			0.723671	5.35894		
				0.447112	3.29299	0.296078	2.15038	0.447887	3.28566	0.960862	7.05276			0.724975	5.33181		
				0.448453	3.28035	0.29816	2.15094	0.44923	3.27314	0.963428	7.02356			0.726272	5.305		
				0.449798	3.26792	0.300241	2.1515	0.450578	3.26083	0.965957	6.99449			0.727562	5.2785		
				0.451148	3.25569	0.302323	2.15205	0.451931	3.24871	0.96845	6.96555			0.728844	5.2523		
				0.452503	3.24366	0.304405	2.15259	0.453289	3.2368	0.970907	6.93674			0.73012	5.2264		
				0.453863	3.23183	0.306486	2.15312	0.454651	3.22507	0.973329	6.90806			0.73139	5.20081		
				0.455228	3.22018	0.308568	2.15365	0.456019	3.21353	0.975718	6.87952			0.732654	5.17551		
				0.456597	3.20872	0.310649	2.15417	0.457391	3.20218	0.978073	6.85112			0.733912	5.1505		
				0.457971	3.19744	0.31273	2.15468	0.458768	3.191	0.980396	6.82286			0.735165	5.12577		
				0.45935	3.18634	0.314812	2.15519	0.460149	3.18	0.982687	6.79475			0.736413	5.10133		
				0.460733	3.17541	0.316893	2.15569	0.461535	3.16918	0.984948	6.76679			0.737656	5.07718		
				0.462122	3.16466	0.318975	2.15618	0.462926	3.15852	0.987179	6.73898			0.738894	5.05329		
