Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		225  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.333697	3.48253	0.126885	2.25514	0.405317	3.51714	0.545629	2.5264	0.649665	2.54893	0.906598	1.86552	0.365759	4.62316	0.524682	2.9008	0.772716	2.03861
0.335265	3.44563	0.128986	2.25456	0.408619	3.57206	0.548006	2.57761	0.652052	2.5742	0.908346	1.88622	0.370068	4.62537	0.527396	2.92553	0.773641	2.04909
0.336407	3.4183	0.131087	2.25401	0.411973	3.62757	0.550432	2.62859	0.654462	2.59921	0.910113	1.90673	0.374378	4.62703	0.530134	2.9498	0.774324	2.05666
0.337133	3.40087	0.133186	2.25348	0.415379	3.68356	0.552904	2.67927	0.656895	2.62391	0.911899	1.92709	0.37869	4.62815	0.532893	2.97373	0.774763	2.0616
0.33817	3.37592	0.135286	2.25293	0.418837	3.73971	0.555424	2.72959	0.659351	2.64838	0.913704	1.94731	0.383002	4.62875	0.535675	2.9973	0.775395	2.06866
0.339289	3.34874	0.137384	2.25239	0.422347	3.79573	0.557991	2.77958	0.66183	2.67256	0.915527	1.96739	0.387315	4.62879	0.538478	3.02044	0.776085	2.0762
0.340796	3.312	0.139483	2.25187	0.42591	3.85154	0.560604	2.82914	0.664331	2.69651	0.91737	1.98734	0.391627	4.6283	0.541303	3.04321	0.777027	2.08654
0.342678	3.26562	0.141581	2.25135	0.429524	3.90683	0.563263	2.87824	0.666855	2.7202	0.919231	2.00717	0.395939	4.62728	0.544149	3.06566	0.778225	2.09943
0.344919	3.20988	0.143678	2.25083	0.43319	3.96129	0.565967	2.92685	0.6694	2.74362	0.92111	2.02683	0.40025	4.62571	0.547016	3.08772	0.779683	2.11497
0.347499	3.14521	0.145775	2.25036	0.436905	4.01474	0.568716	2.97489	0.671967	2.7668	0.922762	2.04382	0.404559	4.62365	0.549903	3.10945	0.781408	2.1331
0.350395	3.07204	0.147871	2.24986	0.440671	4.06702	0.57151	3.02234	0.674556	2.78973	0.924182	2.05826	0.408865	4.62108	0.55281	3.13089	0.783405	2.15372
0.353223	3.00019	0.149967	2.24936	0.444484	4.11792	0.574348	3.06922	0.677166	2.81248	0.925363	2.07014	0.41317	4.61796	0.555737	3.15202	0.785421	2.17413
0.355985	2.92987	0.152063	2.24888	0.448344	4.16725	0.57723	3.11547	0.679796	2.83495	0.926302	2.07946	0.417471	4.61435	0.558683	3.17283	0.787456	2.1943
0.358683	2.86128	0.154158	2.24843	0.452249	4.21487	0.580154	3.16108	0.682448	2.85718	0.926995	2.08636	0.421768	4.6102	0.561649	3.19338	0.78951	2.21431
0.361317	2.79461	0.156252	2.24798	0.456198	4.26066	0.58312	3.20597	0.685121	2.8792	0.92744	2.09073	0.426061	4.60553	0.564634	3.21362	0.791582	2.23417
