Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		495  Points		226  Points		194  Points		181  Points		126  Points		329  Points		206  Points		169  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.344331	4.79509	0.143999	1.95054	0.431255	6.02862	0.564214	7.82796	0.668167	9.29902	0.92015	11.9154	0.398286	5.55016	0.545768	7.6034	0.778715	10.8784
0.347296	4.77443	0.146096	1.95428	0.434924	6.00173	0.566924	7.76519	0.670708	9.2149	0.921785	11.8124	0.402572	5.53798	0.548629	7.54532	0.780421	10.78
0.350192	4.75336	0.148192	1.95792	0.438642	5.97621	0.569679	7.70459	0.673271	9.1332	0.923189	11.7264	0.406856	5.52609	0.55151	7.48899	0.782396	10.6699
0.353022	4.73193	0.150288	1.96147	0.442408	5.95197	0.572476	7.64608	0.675855	9.05382	0.924358	11.6565	0.411138	5.51446	0.554411	7.43432	0.78439	10.5629
0.355785	4.71015	0.152384	1.96493	0.446222	5.92896	0.575317	7.58958	0.678459	8.97667	0.925286	11.602	0.415417	5.50308	0.557331	7.38127	0.786403	10.4588
0.358485	4.68806	0.154479	1.9683	0.450082	5.90712	0.578201	7.53501	0.681084	8.90167	0.925972	11.5623	0.419692	5.49194	0.560271	7.32975	0.788434	10.3575
0.361121	4.66569	0.156573	1.97158	0.453985	5.88637	0.581126	7.48228	0.68373	8.82874	0.926412	11.5371	0.423964	5.48102	0.563229	7.27972	0.790484	10.2588
0.363697	4.64307	0.158668	1.97478	0.457932	5.86667	0.584093	7.43133	0.686396	8.75781	0.927046	11.5012	0.428232	5.4703	0.566206	7.23112	0.792552	10.1628
0.366213	4.62024	0.160761	1.97791	0.461919	5.84794	0.5871	7.38208	0.689082	8.68879	0.927738	11.4625	0.432495	5.45978	0.569201	7.1839	0.794638	10.0692
0.368672	4.59724	0.162855	1.98096	0.465944	5.83014	0.590147	7.33447	0.691788	8.62162	0.928681	11.4103	0.436753	5.44944	0.572215	7.138	0.796742	9.9781
0.371077	4.57408	0.164948	1.98393	0.470007	5.81321	0.593233	7.28844	0.694513	8.55624	0.929881	11.3453	0.441005	5.43927	0.575246	7.09337	0.798864	9.88928
0.373428	4.55079	0.167041	1.98684	0.474106	5.7971	0.596358	7.24391	0.697258	8.49258	0.931341	11.2679	0.445252	5.42925	0.578296	7.04998	0.801003	9.8027
0.375728	4.52742	0.169133	1.98967	0.478237	5.78175	0.599521	7.20083	0.700023	8.43058	0.933065	11.179	0.449491	5.41938	0.581363	7.00777	0.80316	9.71829
0.37798	4.50399	0.171225	1.99245	0.4824	5.76711	0.602721	7.15915	0.702806	8.37018	0.93506	11.0792	0.453724	5.40964	0.584447	6.9667	0.805334	9.63596
0.380185	4.48052	0.173316	1.99515	0.486593	5.75315	0.605957	7.11881	0.705609	8.31133	0.937072	10.9818	0.457949	5.40003	0.587548	6.92675	0.807525	9.55565
0.382344	4.45703	0.175408	1.9978	0.490813	5.73982	0.609229	7.07976	0.70843	8.25398	0.939101	10.8867	0.462166	5.39054	0.590667	6.88785	0.809733	9.47729
0.384462	4.43356	0.177499	2.00039	0.495059	5.72708	0.612536	7.04195	0.711269	8.19807	0.941147	10.7939	0.466375	5.38115	0.593802	6.84999	0.811957	9.40081
0.386538	4.41012	0.179589	2.00292	0.499329	5.71489	0.615877	7.00533	0.714128	8.14356	0.943209	10.7031	0.470574	5.37185	0.596954	6.81313	0.814199	9.32616
0.388576	4.38674	0.18168	2.00539	0.503622	5.7032	0.619252	6.96985	0.717004	8.09041	0.945288	10.6145	0.474765	5.36265	0.600123	6.77723	0.816456	9.25327
0.390576	4.36342	0.18377	2.00781	0.507936	5.692	0.62266	6.93548	0.719899	8.03856	0.947384	10.5279	0.478945	5.35353	0.603308	6.74226	0.81873	9.18209
0.392541	4.3402	0.185859	2.01018	0.512269	5.68124	0.6261	6.90216	0.722811	7.98798	0.949496	10.4433	0.483114	5.34448	0.60651	6.70819	0.821021	9.11255
0.394473	4.31709	0.187949	2.0125	0.51662	5.6709	0.629571	6.86987	0.725742	7.93862	0.951624	10.3605	0.487273	5.33549	0.609727	6.675	0.823327	9.04462
0.396373	4.2941	0.190038	2.01477	0.520988	5.66095	0.633073	6.83855	0.72869	7.89046	0.953768	10.2796	0.49142	5.32656	0.612962	6.64265	0.825649	8.97824
0.398242	4.27124	0.192126	2.01699	0.52537	5.65135	0.636604	6.80818	0.731655	7.84344	0.955928	10.2004	0.495556	5.31768	0.616212	6.61112	0.827986	8.91335
0.400083	4.24853	0.194215	2.01917	0.529767	5.6421	0.640165	6.77872	0.734638	7.79754	0.958104	10.123	0.499678	5.30885	0.619478	6.58039	0.83034	8.84992
0.401897	4.22598	0.196303	2.0213	0.534175	5.63316	0.643755	6.75014	0.737639	7.75272	0.960296	10.0472	0.503788	5.30005	0.62276	6.55042	0.832709	8.7879
0.403685	4.2036	0.198391	2.02339	0.538595	5.6245	0.647372	6.72239	0.740657	7.70895	0.962503	9.97312	0.507885	5.29128	0.626059	6.52121	0.835093	8.72725
0.405448	4.18139	0.200479	2.02543	0.543025	5.61612	0.651017	6.69546	0.743691	7.66619	0.964725	9.90057	0.511967	5.28253	0.629373	6.49272	0.837492	8.66793
0.407188	4.15937	0.202567	2.02744	0.547465	5.608	0.654688	6.66931	0.746743	7.62442	0.966963	9.82955	0.516035	5.27381	0.632703	6.46494	0.839906	8.60989
0.408907	4.13755	0.204654	2.02941	0.551912	5.60011	0.658385	6.64391	0.749812	7.58361	0.969216	9.76002	0.520087	5.26509	0.636049	6.43784	0.842335	8.5531
0.410604	4.11592	0.206741	2.03134	0.556366	5.59243	0.662107	6.61924	0.752897	7.54373	0.971485	9.69193	0.524125	5.25638	0.639411	6.4114	0.844779	8.49753
0.412282	4.0945	0.208828	2.03323	0.560826	5.58496	0.665854	6.59527	0.755999	7.50475	0.973768	9.62524	0.528146	5.24768	0.642788	6.38561	0.847238	8.44313
0.413941	4.07329	0.210914	2.03508	0.565291	5.57768	0.669624	6.57197	0.759118	7.46666	0.976066	9.55991	0.53215	5.23897	0.646182	6.36046	0.849711	8.38988
0.415583	4.05229	0.213001	2.0369	0.569761	5.57057	0.673419	6.54932	0.762253	7.42941	0.978379	9.49591	0.536138	5.23025	0.649591	6.33591	0.852199	8.33774
0.417208	4.03151	0.215087	2.03869	0.574234	5.56362	0.677235	6.52729	0.765405	7.39299	0.980706	9.4332	0.540108	5.22152	0.653016	6.31196	0.854701	8.28668
0.418817	4.01095	0.217173	2.04044	0.57871	5.55683	0.681074	6.50587	0.768573	7.35738	0.983048	9.37173	0.544059	5.21277	0.656457	6.28858	0.857217	8.23668
0.420412	3.99062	0.219259	2.04216	0.583188	5.55017	0.684935	6.48503	0.771757	7.32256	0.985404	9.31149	0.547993	5.204	0.659914	6.26577	0.859747	8.18769
0.421993	3.97051	0.221344	2.04385	0.587667	5.54365	0.688816	6.46475	0.774958	7.2885	0.987774	9.25243	0.551907	5.1952	0.663386	6.24351	0.862292	8.1397
0.42356	3.95062	0.22343	2.04551	0.592147	5.53724	0.692718	6.44501	0.778175	7.25518	0.990158	9.19452	0.555801	5.18638	0.666875	6.22179	0.86485	8.09267
0.425115	3.93097	0.225515	2.04714	0.596627	5.53094	0.696639	6.4258	0.781408	7.22259	0.992557	9.13774	0.559676	5.17752	0.670379	6.20058	0.867422	8.04659
0.426659	3.91154	0.2276	2.04874	0.601106	5.52474	0.70058	6.40708	0.784658	7.1907	0.994969	9.08204	0.56353	5.16862	0.673899	6.17988	0.870008	8.00142
0.428191	3.89234	0.229685	2.05031	0.605583	5.51864	0.704539	6.38886	0.787923	7.15949	0.997395	9.02741	0.567363	5.15969	0.677435	6.15968	0.872607	7.95715
0.429713	3.87337	0.23177	2.05185	0.610059	5.51262	0.708517	6.3711	0.791205	7.12896	0.999835	8.97382	0.571174	5.15071	0.680987	6.13996	0.87522	7.91374
0.431226	3.85463	0.233854	2.05337	0.614533	5.50669	0.712513	6.3538	0.794503	7.09907	1.00229	8.92124	0.574964	5.14168	0.684555	6.12071	0.877847	7.87118
0.432729	3.83612	0.235939	2.05486	0.619003	5.50082	0.716525	6.33693	0.797816	7.06983			0.578731	5.13261	0.688138	6.10192	0.880487	7.82944
0.434223	3.81784	0.238023	2.05633	0.62347	5.49502	0.720554	6.32048	0.801146	7.0412			0.582476	5.12349	0.691737	6.08358	0.88314	7.78851
0.43571	3.79978	0.240107	2.05777	0.627933	5.48928	0.7246	6.30444	0.804492	7.01318			0.586198	5.11431	0.695352	6.06567	0.885806	7.74836
0.437189	3.78195	0.242191	2.05919	0.632391	5.48359	0.728661	6.2888	0.807854	6.98575			0.589896	5.10508	0.698983	6.04818	0.888486	7.70897
0.438662	3.76435	0.244274	2.06058	0.636845	5.47795	0.732737	6.27353	0.811232	6.9589			0.59357	5.09579	0.70263	6.03112	0.891179	7.67033
0.440127	3.74697	0.246358	2.06195	0.641293	5.47236	0.736828	6.25863	0.814626	6.93261			0.597221	5.08644	0.706292	6.01445	0.893884	7.63241
0.441587	3.72981	0.248441	2.0633	0.645735	5.4668	0.740933	6.24408	0.818037	6.90687			0.600846	5.07704	0.709969	5.99818	0.896603	7.5952
0.443041	3.71287	0.250525	2.06463	0.650171	5.46128	0.745051	6.22988	0.821464	6.88166			0.604447	5.06757	0.713662	5.98229	0.899335	7.55869
0.444489	3.69615	0.252608	2.06593	0.654601	5.45579	0.749183	6.216	0.824906	6.85698			0.608023	5.05804	0.717371	5.96678	0.902079	7.52284
0.445933	3.67965	0.254691	2.06722	0.659023	5.45033	0.753328	6.20244	0.828365	6.83282			0.611574	5.04844	0.721095	5.95163	0.904836	7.48766
0.447372	3.66336	0.256774	2.06848	0.663438	5.44488	0.757485	6.18919	0.831841	6.80916			0.615098	5.03879	0.724834	5.93684	0.907606	7.45312
0.448807	3.64729	0.258857	2.06972	0.667846	5.43946	0.761654	6.17624	0.835333	6.78599			0.618597	5.02907	0.728588	5.92239	0.910389	7.4192
0.450239	3.63142	0.260939	2.07095	0.672245	5.43406	0.765834	6.16357	0.838841	6.7633			0.62207	5.01928	0.732357	5.90828	0.913184	7.3859
0.451666	3.61577	0.263022	2.07216	0.676635	5.42866	0.770025	6.15118	0.842366	6.74108			0.625517	5.00944	0.736141	5.8945	0.915992	7.3532
0.453091	3.60032	0.265104	2.07334	0.681017	5.42328	0.774227	6.13905	0.845907	6.71932			0.628937	4.99952	0.739939	5.88104	0.918812	7.32109
0.454512	3.58507	0.267187	2.07451	0.68539	5.4179	0.778439	6.12719	0.849465	6.69801			0.632331	4.98955	0.743752	5.86789	0.921645	7.28954
0.455931	3.57003	0.269269	2.07566	0.689753	5.41253	0.782661	6.11557	0.85304	6.67715			0.635698	4.97951	0.747578	5.85504	0.92449	7.25856
0.457348	3.55519	0.271351	2.0768	0.694106	5.40715	0.786892	6.10419	0.856631	6.65671			0.639039	4.96941	0.751419	5.84249	0.927348	7.22812
0.458762	3.54054	0.273433	2.07792	0.698449	5.40178	0.791131	6.09304	0.86024	6.6367			0.642352	4.95924	0.755274	5.83023	0.930218	7.19822
0.460175	3.52609	0.275515	2.07902	0.702781	5.3964	0.795379	6.08211	0.863866	6.61711			0.645639	4.94902	0.759142	5.81824	0.933101	7.16884
