Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
403  Points		403  Points		395  Points		364  Points		250  Points		146  Points		409  Points		380  Points		352  Points		264  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.0329	2.43151	1.03324	2.43157	0.63244	4.4615	0.859109	6.08204	1.15109	8.0778	1.33072	8.88374	0.443724	3.13701	1.02477	2.61783	0.878904	6.21759	1.08693	7.70073
1.02914	2.43092	1.02948	2.43097	0.633854	4.4264	0.860628	6.03117	1.15186	8.01253	1.33231	8.80947	0.445364	3.1168	1.02186	2.62005	0.880288	6.16444	1.08815	7.63137
1.02538	2.43034	1.02572	2.43039	0.635242	4.39183	0.862189	5.9816	1.15274	7.93889	1.33393	8.7368	0.446989	3.09689	1.01901	2.62244	0.88165	6.1122	1.08942	7.56367
1.02163	2.42977	1.02198	2.42982	0.636605	4.35777	0.863793	5.93331	1.15359	7.86657	1.33537	8.67473	0.4486	3.07728	1.01621	2.625	0.882992	6.06085	1.09072	7.49757
1.01789	2.42922	1.01824	2.42927	0.637944	4.32421	0.865437	5.88625	1.15443	7.79554	1.33661	8.62272	0.450199	3.05797	1.01347	2.62772	0.884313	6.01037	1.09205	7.43302
1.01416	2.42867	1.0145	2.42872	0.63926	4.29115	0.867122	5.84037	1.15524	7.72576	1.33764	8.58033	0.451787	3.03896	1.01079	2.6306	0.885614	5.96074	1.09343	7.36996
1.01044	2.42814	1.01078	2.42819	0.640554	4.25857	0.868845	5.79564	1.15605	7.65722	1.33847	8.54719	0.453365	3.02025	1.00815	2.63365	0.886896	5.91194	1.09484	7.30836
1.00672	2.42763	1.00706	2.42768	0.641826	4.22647	0.870607	5.75201	1.15683	7.58986	1.33908	8.52304	0.454936	3.00185	1.00557	2.63685	0.888161	5.86395	1.09628	7.24817
1.00301	2.42713	1.00335	2.42717	0.643077	4.19484	0.872406	5.70945	1.15761	7.52368	1.33947	8.50768	0.4565	2.98375	1.00304	2.64021	0.889409	5.81676	1.09776	7.18934
0.999306	2.42665	0.999643	2.42669	0.644309	4.16367	0.87424	5.66791	1.15836	7.45864	1.34004	8.48572	0.458058	2.96596	1.00056	2.64372	0.890641	5.77035	1.09927	7.13183
0.995613	2.42618	0.995949	2.42622	0.645522	4.13296	0.876109	5.62737	1.15911	7.39472	1.34066	8.46202	0.459613	2.94847	0.998124	2.64737	0.891859	5.7247	1.10082	7.0756
0.991928	2.42574	0.992263	2.42578	0.646717	4.1027	0.878012	5.58779	1.15984	7.33189	1.34151	8.43008	0.461165	2.93128	0.99573	2.65117	0.893062	5.67981	1.1024	7.0206
0.988252	2.42531	0.988587	2.42535	0.647895	4.07288	0.879947	5.54913	1.16057	7.27014	1.34259	8.39012	0.462716	2.9144	0.993376	2.65511	0.894253	5.63565	1.10401	6.96681
0.984586	2.4249	0.984919	2.42494	0.649057	4.04349	0.881914	5.51136	1.16128	7.20943	1.34391	8.34247	0.464266	2.89782	0.991062	2.65918	0.895433	5.59221	1.10564	6.91417
0.980929	2.42451	0.981262	2.42455	0.650205	4.01454	0.88391	5.47446	1.16199	7.14974	1.34547	8.28747	0.465818	2.88155	0.988784	2.66339	0.896603	5.54949	1.10731	6.86265
0.977283	2.42415	0.977614	2.42418	0.651338	3.98602	0.885935	5.43839	1.16269	7.09107	1.34729	8.22552	0.467372	2.86558	0.986541	2.66772	0.897763	5.50748	1.10901	6.81223
0.973646	2.42381	0.973977	2.42384	0.652459	3.95792	0.887988	5.40311	1.16338	7.03338	1.34913	8.16479	0.46893	2.8499	0.984331	2.67217	0.900063	5.4255	1.11073	6.76286
0.970021	2.42349	0.970351	2.42352	0.653568	3.93023	0.890066	5.36861	1.16407	6.97665	1.35099	8.10523	0.470491	2.83453	0.982153	2.67675	0.901205	5.38553	1.11248	6.71451
