Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.15655	2.45291	1.15771	2.45313	0.581126	5.09778	0.811502	7.13065	1.07833	8.82322	1.27661	10.4492	0.3926	3.44876	1.15369	2.60197	0.814947	7.10468	1.04673	8.54874	1.34494	11.0126
1.15265	2.45213	1.15381	2.45236	0.582713	5.04778	0.812254	7.04787	1.0797	8.7313	1.27718	10.3319	0.394325	3.42054	1.1499	2.60189	0.816595	7.03058	1.04737	8.45432	1.3459	10.8917
1.14873	2.45133	1.1499	2.45157	0.584265	4.99873	0.813062	6.96762	1.08104	8.64126	1.27779	10.2175	0.396015	3.39272	1.14611	2.60181	0.818214	6.95804	1.04806	8.36244	1.34683	10.7733
1.14481	2.45051	1.14598	2.45075	0.585783	4.95058	0.813928	6.88982	1.08235	8.55304	1.27845	10.1061	0.397671	3.36529	1.14231	2.60172	0.819803	6.88702	1.04879	8.27302	1.34772	10.6574
1.14088	2.44967	1.14205	2.44992	0.587267	4.90331	0.814849	6.81436	1.08363	8.46658	1.27915	9.99761	0.399293	3.33825	1.13851	2.60161	0.821362	6.81746	1.04957	8.18598	1.34858	10.5439
1.13695	2.44882	1.13812	2.44908	0.588717	4.85689	0.815827	6.74117	1.08488	8.38183	1.27989	9.89183	0.400885	3.31159	1.1347	2.60149	0.822891	6.74929	1.05029	8.112	1.34942	10.4327
1.13302	2.44796	1.13419	2.44822	0.590133	4.81128	0.81686	6.67015	1.0861	8.29872	1.28068	9.7887	0.402447	3.28532	1.13089	2.60137	0.824392	6.68249	1.05093	8.05027	1.35022	10.3237
1.12909	2.44709	1.13026	2.44735	0.591516	4.76647	0.817947	6.60123	1.08729	8.21721	1.28151	9.68814	0.40398	3.25944	1.12708	2.60124	0.825864	6.617	1.05148	8.00012	1.35099	10.2169
1.12515	2.44622	1.12632	2.44648	0.592867	4.72242	0.819089	6.53433	1.08831	8.14744	1.28238	9.59007	0.405488	3.23394	1.12327	2.6011	0.827306	6.55278	1.05192	7.96104	1.35174	10.1121
1.12121	2.44533	1.12238	2.44559	0.594185	4.67913	0.820284	6.46936	1.08916	8.08888	1.28329	9.49441	0.406971	3.20883	1.11945	2.60095	0.828721	6.48979	1.05226	7.93262	1.35245	10.0094
1.11728	2.44444	1.11845	2.4447	0.595472	4.63656	0.821531	6.40627	1.08985	8.04106	1.28424	9.40106	0.408432	3.18411	1.11563	2.60079	0.830108	6.42799	1.05247	7.91457	1.35314	9.90866
1.11334	2.44354	1.11451	2.44381	0.596729	4.59471	0.822829	6.34499	1.09039	8.00365	1.28523	9.30997	0.409872	3.15979	1.11181	2.60063	0.831467	6.36735	1.05279	7.88881	1.35381	9.80982
1.1094	2.44264	1.11057	2.44291	0.597955	4.55354	0.824179	6.28543	1.09078	7.97635	1.28627	9.22105	0.411294	3.13585	1.10798	2.60047	0.832799	6.30783	1.05314	7.86105	1.35444	9.71285
1.10546	2.44173	1.10664	2.442	0.599152	4.51305	0.825577	6.22755	1.09103	7.95897	1.28734	9.13424	0.412698	3.1123	1.10415	2.60029	0.834106	6.24941	1.05362	7.82372	1.35505	9.61769
1.10153	2.44082	1.1027	2.44109	0.600321	4.47323	0.827024	6.17127	1.09139	7.93412	1.28846	9.04946	0.414087	3.08915	1.10033	2.60012	0.835388	6.19205	1.05424	7.77716	1.35564	9.52429
1.09759	2.4399	1.09876	2.44017	0.601463	4.43404	0.828518	6.11654	1.09177	7.90728	1.28961	8.96666	0.415462	3.0664	1.0965	2.59994	0.836645	6.13572	1.05502	7.72182	1.35621	9.4326
1.09366	2.43898	1.09483	2.43925	0.602578	4.3955	0.830058	6.0633	1.09229	7.87107	1.2908	8.88575	0.416826	3.04403	1.09267	2.59975	0.837878	6.0804	1.05597	7.65822	1.35675	9.34259
1.08972	2.43805	1.09089	2.43833	0.603669	4.35757	0.831642	6.01149	1.09293	7.82572	1.29203	8.8067	0.41818	3.02207	1.08884	2.59957	0.839089	6.02607	1.05709	7.58694	1.35727	9.2542
1.08579	2.43712	1.08696	2.4374	0.604734	4.32025	0.83327	5.96106	1.0937	7.77156	1.29329	8.72943	0.419526	3.0005	1.08501	2.59938	0.840279	5.9727	1.05825	7.51741	1.35777	9.1674
