Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Sym7		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
311  Points		310  Points		303  Points		293  Points		285  Points		218  Points		177  Points		105  Points		310  Points		304  Points		296  Points		257  Points		217  Points		179  Points		105  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.87991	2.54153	1.87934	2.54164	0.678699	5.3499	0.907478	7.06243	1.29494	10.1531	1.52168	10.9316	1.75169	12.2015	2.16787	15.2826	0.463791	3.63678	0.677329	5.31273	1.00938	7.97954	1.15169	9.05562	1.52653	10.9523	1.91695	13.2793	2.00722	14.1456
1.8729	2.54199	1.87223	2.54196	0.683417	5.267	0.910147	6.92726	1.29517	9.98668	1.52302	10.8607	1.75272	11.9675	2.1681	14.9788	0.469812	3.60229	0.680234	5.21715	1.01124	7.81554	1.15541	8.88285	1.52676	10.8734	1.91779	13.0242	2.0101	13.8829
1.86521	2.54153	1.86452	2.54148	0.688069	5.18722	0.912933	6.79879	1.29547	9.79852	1.52389	10.8158	1.75379	11.7429	2.16835	14.6871	0.475741	3.56861	0.683314	5.12704	1.01308	7.65857	1.15923	8.7183	1.52691	10.8235	1.91863	12.7789	2.01304	13.6309
1.85746	2.54098	1.85677	2.54093	0.692653	5.11035	0.915836	6.67659	1.29584	9.5915	1.52514	10.7521	1.75475	11.5544	2.16861	14.4066	0.481577	3.53567	0.686574	5.04207	1.01491	7.5082	1.16313	8.56142	1.52713	10.7526	1.91947	12.5428	2.01606	13.3891
1.8497	2.54042	1.84901	2.54037	0.697167	5.03618	0.918858	6.56029	1.29625	9.39341	1.52649	10.6839	1.7556	11.3987	2.16888	14.1367	0.487317	3.50342	0.690013	4.96192	1.01672	7.36403	1.16712	8.4117	1.52737	10.6767	1.9203	12.3154	2.01913	13.1568
1.84194	2.53985	1.84125	2.5398	0.701611	4.96455	0.921998	6.44952	1.29669	9.20371	1.52834	10.5927	1.75632	11.2733	2.16917	13.877	0.492962	3.4718	0.693633	4.88632	1.01852	7.22568	1.17119	8.26868	1.52771	10.5752	1.92112	12.0963	2.02228	12.9335
1.83418	2.53927	1.83349	2.53922	0.705983	4.89529	0.925258	6.34396	1.29718	9.02191	1.53069	10.4799	1.75691	11.1763	2.16947	13.6267	0.498509	3.44078	0.697434	4.81499	1.02031	7.09283	1.17535	8.13194	1.52814	10.4496	1.92194	11.885	2.02548	12.7187
1.82641	2.53869	1.82573	2.53864	0.710284	4.82828	0.928636	6.2433	1.2977	8.84754	1.53353	10.3472	1.75734	11.1061	2.16978	13.3855	0.503961	3.41032	0.701415	4.74767	1.02209	6.96516	1.17958	8.00107	1.52868	10.302	1.92265	11.707	2.02874	12.5119
1.81865	2.53811	1.81796	2.53806	0.714514	4.76337	0.932132	6.14726	1.29826	8.68017	1.53689	10.1964	1.75762	11.0616	2.17011	13.1528	0.509317	3.3804	0.705575	4.68411	1.02387	6.8424	1.18388	7.87573	1.52934	10.1342	1.92326	11.5594	2.03206	12.3128
1.81089	2.53752	1.81021	2.53747	0.718672	4.70045	0.935745	6.05558	1.29885	8.51942	1.54075	10.0295	1.75803	10.9984	2.17045	12.9282	0.514579	3.351	0.709911	4.62411	1.02564	6.72428	1.18825	7.75557	1.53012	9.94874	1.92376	11.4403	2.03544	12.1208
