Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.08731	2.58243	1.08526	2.57994	0.607072	1.54111	0.853045	0.364089	1.17494	0.678717	1.32371	0.81355	0.410967	1.75509	1.09686	2.13302	0.868909	1.32836	1.08783	0.52504
1.08358	2.57792	1.08154	2.5754	0.609284	1.52364	0.853591	0.392003	1.17591	0.664633	1.3249	0.837232	0.413483	1.73122	1.0938	2.09824	0.870817	1.31431	1.0886	0.548782
1.07986	2.5733	1.07783	2.57072	0.611471	1.50582	0.854177	0.420279	1.17686	0.6506	1.32612	0.860866	0.415965	1.7072	1.0908	2.06318	0.872703	1.29996	1.0893	0.569648
1.07615	2.56851	1.07412	2.56583	0.613631	1.48772	0.854804	0.448883	1.17778	0.63667	1.32738	0.884403	0.418412	1.68307	1.08785	2.02821	0.874569	1.28539	1.08993	0.587626
1.07245	2.56356	1.07042	2.56081	0.615765	1.46937	0.855473	0.477833	1.17869	0.622872	1.32868	0.907746	0.420823	1.65888	1.08495	1.99352	0.876414	1.27052	1.09045	0.602568
1.06875	2.5585	1.06673	2.55568	0.617873	1.45075	0.856183	0.507103	1.17958	0.609192	1.33	0.930921	0.4232	1.63471	1.08209	1.95935	0.878237	1.2554	1.09088	0.614372
1.06506	2.55327	1.06304	2.55032	0.619953	1.43191	0.856937	0.536606	1.18045	0.595675	1.33136	0.953908	0.425542	1.61064	1.07929	1.92595	0.880038	1.24011	1.0912	0.62318
1.06138	2.54787	1.05937	2.54481	0.622006	1.4129	0.857732	0.566336	1.1813	0.582412	1.33276	0.976663	0.42785	1.58671	1.07653	1.89342	0.881817	1.22463	1.0914	0.628804
1.05771	2.54227	1.0557	2.53913	0.624032	1.39373	0.858571	0.596252	1.18203	0.571096	1.33418	0.999103	0.430123	1.56299	1.07382	1.86199	0.883573	1.20898	1.0917	0.636838
1.05404	2.5365	1.05204	2.53326	0.62603	1.3744	0.859454	0.626371	1.18263	0.561601	1.33564	1.02128	0.432362	1.53959	1.07116	1.83172	0.885307	1.19317	1.09204	0.645679
1.05039	2.53058	1.04839	2.52724	0.627999	1.35496	0.86038	0.656628	1.18313	0.553791	1.33713	1.04314	0.434567	1.51654	1.06854	1.80267	0.887018	1.17728	1.09249	0.657667
1.04674	2.52447	1.04474	2.52106	0.629941	1.3355	0.861349	0.686955	1.18352	0.54781	1.33865	1.06461	0.43674	1.49384	1.06596	1.77489	0.888705	1.16135	1.09308	0.672859
1.0431	2.51817	1.04111	2.51462	0.631855	1.31599	0.862363	0.717316	1.1838	0.543458	1.3402	1.08571	0.43888	1.47162	1.06341	1.74834	0.89037	1.14537	1.09381	0.691342
1.03947	2.51166	1.03748	2.50798	0.63374	1.29646	0.86342	0.747767	1.18398	0.54066	1.34179	1.10645	0.440988	1.44996	1.06091	1.72306	0.892012	1.12939	1.0947	0.71304
