Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.19892	2.538	1.19635	2.53485	0.551615	1.91348	0.866352	0.13881	1.24439	0.16688	0.332317	2.28392	1.21144	1.95632	0.884577	1.24029	1.09087	0.303463
1.19526	2.53346	1.1927	2.53023	0.554375	1.91129	0.86656	0.150462	1.24462	0.163726	0.335614	2.28472	1.20863	1.93431	0.886369	1.24251	1.09132	0.315844
1.1916	2.52885	1.18905	2.52552	0.557132	1.90874	0.866786	0.162558	1.24486	0.160569	0.338912	2.28475	1.20586	1.91314	0.888163	1.2441	1.09179	0.328592
1.18796	2.5241	1.1854	2.52071	0.559885	1.90581	0.86703	0.175104	1.24509	0.157477	0.34221	2.28393	1.20311	1.89286	0.88996	1.24507	1.09227	0.341711
1.18432	2.51921	1.18177	2.51578	0.562634	1.90248	0.867292	0.188039	1.24531	0.154443	0.345505	2.28231	1.20039	1.87345	0.891758	1.2454	1.09277	0.355205
1.18068	2.51427	1.17814	2.51069	0.565377	1.89876	0.867572	0.201457	1.24553	0.15145	0.348798	2.27992	1.1977	1.85485	0.893555	1.24518	1.09329	0.369083
1.17706	2.50915	1.17452	2.50548	0.568115	1.89467	0.867873	0.215331	1.24575	0.148614	0.352087	2.27668	1.19504	1.83707	0.895352	1.24438	1.09384	0.38329
1.17344	2.50389	1.17091	2.50018	0.570847	1.89017	0.868152	0.227703	1.24596	0.145799	0.35537	2.27275	1.1924	1.8201	0.897147	1.243	1.0944	0.397859
1.16983	2.49856	1.1673	2.49473	0.573572	1.88528	0.868401	0.238479	1.24617	0.143099	0.358648	2.26808	1.18978	1.80381	0.89894	1.24105	1.09499	0.412789
1.16623	2.4931	1.16371	2.48916	0.576289	1.88006	0.868617	0.247667	1.24638	0.140554	0.361918	2.26259	1.18719	1.78822	0.90073	1.23854	1.09559	0.428074
1.16263	2.48746	1.16012	2.48344	0.578999	1.87437	0.868793	0.255018	1.24658	0.138101	0.365179	2.25644	1.18462	1.77331	0.902286	1.23595	1.09622	0.443775
1.15905	2.48167	1.15654	2.47757	0.5817	1.8683	0.868926	0.260612	1.24677	0.135759	0.368431	2.24959	1.18207	1.75901	0.90361	1.23342	1.09687	0.459798
1.15547	2.47582	1.15297	2.47162	0.584392	1.8619	0.869013	0.264185	1.24697	0.133565	0.371673	2.242	1.17954	1.74528	0.904703	1.23112	1.09755	0.476168
1.1519	2.46981	1.1494	2.46551	0.587075	1.85507	0.869139	0.269157	1.24716	0.131521	0.374904	2.23373	1.17703	1.73203	0.905565	1.22921	1.09825	0.492869
1.14834	2.46366	1.14585	2.45922	0.589747	1.84785	0.869279	0.274742	1.24735	0.129629	0.378121	2.22476	1.17454	1.71931	0.906199	1.22761	1.09897	0.509938
1.14479	2.45737	1.1423	2.45286	0.592409	1.84028	0.869474	0.282488	1.24753	0.127898	0.381326	2.21515	1.17207	1.70704	0.906603	1.22655	1.09972	0.527377
1.14125	2.45093	1.13877	2.44636	0.59506	1.83229	0.869729	0.292437	1.24772	0.126265	0.384516	2.20489	1.16962	1.69517	0.907185	1.22508	1.10049	0.545117
1.13771	2.44436	1.13524	2.43968	0.597698	1.8239	0.870049	0.304717	1.2479	0.124831	0.387691	2.1939	1.16718	1.68374	0.907816	1.22339	1.10129	0.563164
