Sym0		Asym0		Sym1		Asym1		Asym2	
337  Points		334  Points		218  Points		288  Points		288  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.536391	4.9308	0.544939	4.93809	0.940495	8.63196	0.725529	6.66915	0.725155	6.67332
0.53906	4.92752	0.548273	4.9408	0.942565	8.60245	0.72739	6.64871	0.727013	6.65281
0.541741	4.92437	0.551603	4.94343	0.944598	8.57294	0.729266	6.62864	0.728886	6.63266
0.544432	4.92135	0.554926	4.94599	0.946597	8.54345	0.731157	6.60892	0.730774	6.61287
0.547134	4.91846	0.558244	4.94846	0.948563	8.51399	0.733062	6.58955	0.732676	6.59343
0.549847	4.91569	0.561555	4.95086	0.950497	8.48456	0.734982	6.57052	0.734593	6.57434
0.552569	4.91305	0.564861	4.95317	0.952402	8.45519	0.736918	6.55184	0.736526	6.55559
0.555302	4.91053	0.568161	4.95541	0.954278	8.42589	0.738868	6.5335	0.738473	6.53718
0.558045	4.90812	0.571455	4.95758	0.956127	8.39667	0.740835	6.51549	0.740436	6.5191
0.560797	4.90582	0.574743	4.95967	0.95795	8.36754	0.742816	6.49781	0.742415	6.50135
0.563559	4.90363	0.578025	4.96169	0.959749	8.33851	0.744814	6.48046	0.744409	6.48394
0.566331	4.90154	0.581301	4.96363	0.961526	8.30959	0.746827	6.46343	0.746419	6.46684
0.569111	4.89955	0.58457	4.9655	0.963281	8.2808	0.748856	6.44671	0.748445	6.45006
0.571901	4.89767	0.587834	4.9673	0.965016	8.25213	0.750902	6.43031	0.750487	6.4336
0.574699	4.89587	0.591091	4.96903	0.966731	8.2236	0.752963	6.41422	0.752546	6.41745
0.577506	4.89417	0.594343	4.9707	0.96843	8.19522	0.755041	6.39844	0.75462	6.4016
0.580322	4.89256	0.597588	4.97229	0.970111	8.16699	0.757135	6.38296	0.756711	6.38606
0.583146	4.89104	0.600827	4.97381	0.971777	8.13892	0.759246	6.36777	0.758819	6.37081
0.585978	4.8896	0.60406	4.97527	0.973428	8.11101	0.761373	6.35288	0.760942	6.35586
0.588819	4.88824	0.607286	4.97667	0.975066	8.08328	0.763517	6.33828	0.763083	6.3412
0.591667	4.88696	0.610506	4.97799	0.976692	8.05573	0.765678	6.32396	0.76524	6.32683
0.594523	4.88576	0.61372	4.97926	0.978305	8.02836	0.767855	6.30993	0.767414	6.31274
0.597386	4.88463	0.616928	4.98046	0.979909	8.00118	0.770049	6.29617	0.769605	6.29893
0.600257	4.88357	0.620129	4.9816	0.981502	7.97419	0.77226	6.28269	0.771812	6.28539
0.603135	4.88259	0.623325	4.98267	0.983087	7.9474	0.774488	6.26948	0.774037	6.27212
0.60602	4.88166	0.626514	4.98369	0.984663	7.92081	0.776732	6.25653	0.776278	6.25913
0.608912	4.88081	0.629696	4.98465	0.986233	7.89442	0.778994	6.24385	0.778536	6.24639
0.611812	4.88001	0.632873	4.98555	0.987795	7.86823	0.781272	6.23143	0.78081	6.23392
0.614717	4.87928	0.636043	4.98639	0.989352	7.84226	0.783567	6.21926	0.783102	6.2217
0.617629	4.87861	0.639208	4.98718	0.990904	7.81649	0.785879	6.20734	0.785411	6.20973
0.620548	4.87799	0.642366	4.98791	0.992451	7.79094	0.788208	6.19567	0.787736	6.19801
0.623473	4.87743	0.645518	4.98859	0.993994	7.76561	0.790553	6.18425	0.790078	6.18653
0.626404	4.87692	0.648663	4.98921	0.995534	7.74049	0.792916	6.17306	0.792437	6.1753
0.629341	4.87646	0.651803	4.98979	0.997072	7.71559	0.795295	6.16211	0.794813	6.1643
0.632284	4.87605	0.654937	4.99031	0.998607	7.69091	0.797691	6.15139	0.797206	6.15354
0.635233	4.87569	0.658065	4.99078	1.00014	7.66645	0.800103	6.14091	0.799615	6.143
0.638187	4.87538	0.661187	4.9912			0.802533	6.13064	0.802041	6.1327
0.641147	4.87511	0.664303	4.99157			0.804978	6.1206	0.804483	6.12261
0.644112	4.87488	0.667413	4.9919			0.80744	6.11078	0.806942	6.11274
0.647082	4.8747	0.670517	4.99218			0.809919	6.10117	0.809417	6.10309
0.650057	4.87455	0.673616	4.99242			0.812414	6.09177	0.811909	6.09365
0.653038	4.87445	0.676709	4.99261			0.814925	6.08258	0.814417	6.08442
0.656023	4.87438	0.679797	4.99276			0.817452	6.0736	0.816941	6.07539
0.659013	4.87434	0.682879	4.99286			0.819996	6.06481	0.819481	6.06657
0.662007	4.87435	0.685955	4.99293			0.822555	6.05622	0.822037	6.05794
0.665007	4.87438	0.689026	4.99296			0.82513	6.04783	0.824609	6.04951
0.66801	4.87444	0.692092	4.99295			0.827721	6.03962	0.827197	6.04126
0.671018	4.87454	0.695153	4.9929			0.830328	6.0316	0.8298	6.03321
0.67403	4.87467	0.698208	4.99281			0.83295	6.02377	0.832419	6.02533
0.677046	4.87482	0.701259	4.99269			0.835587	6.01611	0.835053	6.01764
0.680066	4.875	0.704304	4.99254			0.83824	6.00863	0.837703	6.01013
0.68309	4.87521	0.707345	4.99235			0.840908	6.00133	0.840368	6.00279
0.686118	4.87544	0.710381	4.99214			0.84359	5.99419	0.843048	5.99562
0.689149	4.8757	0.713412	4.99189			0.846288	5.98723	0.845742	5.98862
0.692184	4.87598	0.716439	4.99161			0.849	5.98042	0.848451	5.98178
0.695223	4.87628	0.719461	4.9913			0.851727	5.97378	0.851175	5.97511
0.698265	4.8766	0.722478	4.99096			0.854468	5.96729	0.853914	5.96859
0.70131	4.87694	0.725492	4.9906			0.857224	5.96096	0.856666	5.96223
0.704358	4.87731	0.728501	4.99021			0.859993	5.95478	0.859433	5.95602
0.70741	4.87769	0.731506	4.9898			0.862777	5.94875	0.862214	5.94996
0.710464	4.87808	0.734508	4.98936			0.865574	5.94286	0.865008	5.94404
0.713521	4.8785	0.737505	4.9889			0.868385	5.93712	0.867816	5.93827
0.716581	4.87893	0.740499	4.98843			0.871209	5.93151	0.870638	5.93263
0.719644	4.87937	0.743489	4.98792			0.874046	5.92605	0.873472	5.92714
0.72271	4.87983	0.746475	4.9874			0.876897	5.92071	0.87632	5.92178
0.725778	4.8803	0.749458	4.98687			0.87976	5.91551	0.879181	5.91655
0.728848	4.88079	0.752438	4.98631			0.882636	5.91043	0.882055	5.91145
0.731921	4.88128	0.755414	4.98574			0.885525	5.90548	0.884941	5.90647
0.734997	4.88179	0.758388	4.98515			0.888426	5.90065	0.88784	5.90162
0.738074	4.88231	0.761358	4.98455			0.89134	5.89595	0.89075	5.89689
0.741154	4.88284	0.764326	4.98393			0.894265	5.89136	0.893673	5.89227
0.744236	4.88338	0.767291	4.9833			0.897202	5.88688	0.896608	5.88777
0.747319	4.88392	0.770253	4.98265			0.900151	5.88252	0.899555	5.88339
0.750405	4.88448	0.773212	4.982			0.903111	5.87826	0.902513	5.87911
0.753493	4.88504	0.776169	4.98134			0.906083	5.87412	0.905482	5.87494
0.756582	4.88561	0.779124	4.98066			0.909066	5.87007	0.908463	5.87088
0.759673	4.88619	0.782077	4.97998			0.91206	5.86613	0.911454	5.86692
0.762766	4.88677	0.785027	4.97929			0.915064	5.8623	0.914457	5.86306
0.76586	4.88736	0.787975	4.97859			0.918079	5.85855	0.91747	5.8593
0.768956	4.88795	0.790922	4.97788			0.921105	5.85491	0.920493	5.85564
0.772053	4.88855	0.793867	4.97717			0.924141	5.85136	0.923527	5.85207
0.775152	4.88915	0.79681	4.97646			0.927187	5.84789	0.926571	5.84859
0.778252	4.88976	0.799751	4.97573			0.930242	5.84452	0.929625	5.8452
0.781353	4.89036	0.802691	4.97501			0.933308	5.84124	0.932688	5.84189
0.784455	4.89097	0.805629	4.97428			0.936383	5.83803	0.935761	5.83867
0.787559	4.89159	0.808566	4.97355			0.939468	5.83492	0.938844	5.83554
0.790663	4.8922	0.811502	4.97282			0.942561	5.83188	0.941936	5.83249
0.793769	4.89282	0.814436	4.97208			0.945664	5.82892	0.945037	5.82951
0.796875	4.89344	0.81737	4.97135			0.948776	5.82604	0.948147	5.82662
0.799982	4.89406	0.820303	4.97061			0.951896	5.82323	0.951265	5.82379
0.80309	4.89467	0.823234	4.96987			0.955025	5.8205	0.954393	5.82105
0.806199	4.89529	0.826165	4.96914			0.958162	5.81784	0.957528	5.81837
0.809309	4.89591	0.829095	4.9684			0.961308	5.81525	0.960672	5.81576
0.812419	4.89653	0.832025	4.96767			0.964462	5.81272	0.963824	5.81323
0.81553	4.89715	0.834954	4.96694			0.967623	5.81026	0.966984	5.81075
0.818642	4.89776	0.837883	4.96621			0.970793	5.80787	0.970152	5.80835
0.821754	4.89838	0.840811	4.96549			0.97397	5.80554	0.973328	5.80601
0.824866	4.89899	0.843738	4.96476			0.977155	5.80327	0.976511	5.80372
