Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.393764	2.36059	0.281888	4.93866	0.684908	7.99281	0.900793	5.3002	0.601797	3.95776	0.601191	3.96946	0.905458	3.9823
0.395325	2.37984	0.285141	4.93664	0.690169	7.97543	0.90429	5.31802	0.604388	3.90761	0.60379	3.9192	0.908108	4.05929
0.396899	2.39977	0.288393	4.93459	0.695417	7.95514	0.9078	5.3372	0.606946	3.85803	0.606355	3.86953	0.910807	4.13467
0.398487	2.42041	0.291643	4.93249	0.700651	7.9321	0.911323	5.35784	0.609471	3.80906	0.608888	3.82035	0.913556	4.20836
0.400089	2.4416	0.294892	4.93034	0.705868	7.90624	0.914859	5.38006	0.611965	3.7607	0.611389	3.77183	0.916352	4.28033
0.401704	2.46333	0.298139	4.92808	0.711068	7.87745	0.918411	5.4039	0.614426	3.71311	0.613858	3.72406	0.919195	4.35052
0.403334	2.48559	0.301385	4.92576	0.716248	7.84587	0.92198	5.4294	0.616857	3.66632	0.616296	3.67708	0.922084	4.41891
0.404979	2.50817	0.30463	4.92346	0.721406	7.81143	0.925565	5.45669	0.619257	3.6204	0.618703	3.63101	0.925018	4.48536
0.406639	2.53106	0.307873	4.92106	0.72654	7.77422	0.929169	5.48579	0.621627	3.57548	0.62108	3.58581	0.927994	4.5499
0.408314	2.55436	0.311114	4.91862	0.731649	7.73418	0.932793	5.51674	0.623968	3.53147	0.623428	3.54156	0.931013	4.61248
0.410005	2.57792	0.314353	4.91621	0.736731	7.69121	0.936438	5.54965	0.626281	3.48849	0.625746	3.49835	0.934072	4.67301
0.411711	2.60157	0.317591	4.91377	0.741783	7.64544	0.940106	5.58449	0.628565	3.4466	0.628037	3.45624	0.93717	4.73162
0.413433	2.62545	0.320828	4.91125	0.746805	7.59687	0.943797	5.62134	0.630822	3.40582	0.6303	3.4152	0.940306	4.78812
0.41517	2.64957	0.324063	4.90864	0.751793	7.54549	0.947512	5.66024	0.633052	3.36616	0.632537	3.3753	0.943479	4.84251
0.416924	2.67369	0.327296	4.90604	0.756747	7.49127	0.951255	5.70115	0.635257	3.32774	0.634748	3.33661	0.946687	4.89484
0.418693	2.69782	0.330527	4.90345	0.761664	7.43422	0.955024	5.74404	0.637437	3.29056	0.636933	3.29903	0.949928	4.94502
0.420478	2.72206	0.333756	4.90086	0.766542	7.37437	0.958823	5.78899	0.639593	3.25457	0.639095	3.26279	0.953202	4.99317
0.42228	2.74635	0.336984	4.89821	0.77138	7.31181	0.962652	5.83592	0.641725	3.21984	0.641233	3.22779	0.956508	5.03913
0.424097	2.77061	0.34021	4.8955	0.776176	7.24651	0.966513	5.88473	0.643835	3.18637	0.643348	3.19397	0.959842	5.08288
0.42593	2.79481	0.343435	4.89279	0.780928	7.17848	0.970406	5.93551	0.645924	3.15415	0.645441	3.16152	0.963205	5.12461
0.42778	2.81892	0.346657	4.89009	0.785635	7.10796	0.974333	5.98809	0.647991	3.12323	0.647513	3.13033	0.966157	5.15931
0.429645	2.84294	0.349878	4.88734	0.790294	7.03479	0.978296	6.04229	0.650039	3.09363	0.649566	3.10039	0.968689	5.18759
0.431525	2.86692	0.353097	4.88457	0.794904	6.95915	0.981779	6.09084	0.652068	3.06531	0.651598	3.07175	0.970793	5.21002
0.433422	2.89081	0.356314	4.88184	0.799463	6.88114	0.98477	6.13315	0.654078	3.03826	0.653613	3.04443	0.972463	5.22716
0.435334	2.91452	0.359529	4.87907	0.803971	6.80086	0.987259	6.16883	0.656071	3.01251	0.65561	3.01839	0.973694	5.2393
0.437262	2.93808	0.362743	4.87629	0.808424	6.71846	0.989237	6.19743	0.658047	2.98803	0.65759	2.99356	0.974484	5.24712
