Sym0		Asym0		Sym1		Asym1		Asym2	
340  Points		338  Points		219  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.386789	2.40963	0.290516	5.69385	0.660856	8.16453	0.602189	3.48038	0.601952	3.48508
0.388276	2.4305	0.294014	5.69359	0.665874	8.16911	0.604314	3.43856	0.60408	3.44314
0.389775	2.45266	0.297512	5.69306	0.670894	8.17106	0.606414	3.39738	0.606183	3.40196
0.391289	2.47579	0.301009	5.69242	0.675914	8.17043	0.608489	3.35685	0.60826	3.36132
0.392817	2.49991	0.304506	5.69159	0.680932	8.16734	0.610539	3.31704	0.610313	3.32139
0.394361	2.52502	0.308002	5.69057	0.685949	8.16174	0.612564	3.27797	0.612341	3.28227
0.39592	2.55085	0.311498	5.68933	0.690961	8.1536	0.614566	3.23978	0.614346	3.24393
0.397495	2.57742	0.314993	5.68794	0.695967	8.14304	0.616545	3.20246	0.616327	3.20655
0.399087	2.60471	0.318486	5.68647	0.700966	8.13009	0.618501	3.16603	0.618285	3.17009
0.400695	2.63257	0.321979	5.68478	0.705956	8.11468	0.620435	3.13066	0.620222	3.13453
0.402321	2.66088	0.325471	5.68294	0.710936	8.09675	0.622348	3.09625	0.622137	3.09997
0.403965	2.6897	0.328962	5.68097	0.715905	8.0764	0.624239	3.06283	0.624031	3.06648
0.405626	2.719	0.332451	5.67881	0.72086	8.05357	0.626111	3.03057	0.625904	3.03407
0.407305	2.74858	0.335939	5.67657	0.7258	8.02826	0.627963	2.99939	0.627759	3.00276
0.409003	2.77848	0.339426	5.67412	0.730724	8.00045	0.629796	2.9693	0.629594	2.97261
0.410719	2.80865	0.342911	5.67156	0.73563	7.97005	0.631611	2.94043	0.631411	2.94359
0.412454	2.83895	0.346395	5.66889	0.740516	7.93707	0.633409	2.91272	0.633211	2.9157
0.414207	2.86949	0.349876	5.666	0.745382	7.90154	0.63519	2.88615	0.634993	2.88904
0.41598	2.90019	0.353356	5.66305	0.750225	7.86339	0.636955	2.86081	0.63676	2.8636
0.417771	2.93093	0.356834	5.66003	0.755044	7.82254	0.638705	2.83675	0.638512	2.83932
0.419581	2.96174	0.360311	5.65679	0.759836	7.77896	0.640441	2.81384	0.640249	2.8163
0.42141	2.99258	0.363785	5.65345	0.764601	7.73267	0.642162	2.79217	0.641972	2.79457
0.423258	3.02345	0.367257	5.65006	0.769337	7.68365	0.643871	2.77178	0.643683	2.77399
0.425125	3.05426	0.370727	5.64648	0.774042	7.63176	0.645568	2.75258	0.645381	2.75464
0.427011	3.08505	0.374195	5.64274	0.778714	7.57704	0.647253	2.73466	0.647067	2.73659
0.428915	3.11572	0.37766	5.63893	0.783352	7.51947	0.648928	2.71797	0.648743	2.71972
0.430839	3.14627	0.381123	5.63502	0.787953	7.45909	0.650593	2.70241	0.650409	2.70407
0.432781	3.17677	0.384584	5.63107	0.792517	7.39574	0.652249	2.68813	0.652065	2.68964
0.434742	3.20712	0.388042	5.62693	0.79704	7.32952	0.653896	2.67511	0.653714	2.67643
0.436722	3.23724	0.391498	5.62264	0.801523	7.26042	0.655535	2.66315	0.655354	2.66443
0.43872	3.26724	0.39495	5.61832	0.805961	7.18832	0.657168	2.65245	0.656987	2.6536
0.440736	3.29706	0.398401	5.61389	0.810355	7.11346	0.658794	2.64294	0.658614	2.64397
0.442771	3.32664	0.401848	5.60934	0.814701	7.03581	0.660415	2.63451	0.660236	2.63543
0.444823	3.35603	0.405293	5.60468	0.818999	6.95528	0.662031	2.62725	0.661852	2.62799
0.446894	3.38517	0.408735	5.5999	0.823247	6.87203	0.663643	2.62111	0.663465	2.62177
0.448983	3.41407	0.412173	5.59507	0.827443	6.78619	0.665252	2.6161	0.665074	2.61661
0.451089	3.44274	0.415609	5.5901	0.831585	6.69779	0.666858	2.61216	0.66668	2.61247
0.453213	3.47112	0.419042	5.58506	0.835672	6.60693	0.668461	2.60918	0.668284	2.60946
0.455354	3.4992	0.422471	5.57993	0.839703	6.5138	0.670064	2.60731	0.669886	2.60751
0.457512	3.52707	0.425898	5.5747	0.843676	6.41841	0.671665	2.60648	0.671488	2.60654
0.459687	3.55466	0.429321	5.56942	0.847589	6.32101	0.673266	2.60662	0.673089	2.60655
0.46188	3.58196	0.432741	5.56395	0.851442	6.22188	0.674868	2.60775	0.67469	2.6075
0.464089	3.60888	0.436157	5.55843	0.855234	6.12106	0.67647	2.60975	0.676292	2.60947
0.466314	3.63556	0.43957	5.55284	0.858963	6.01877	0.678074	2.6127	0.677896	2.6124
0.468556	3.66195	0.44298	5.54716	0.862629	5.91525	0.67968	2.61662	0.679502	2.61615
0.470813	3.68797	0.446386	5.54138	0.866231	5.81074	0.681289	2.62141	0.681111	2.6208
0.473087	3.7137	0.449789	5.53549	0.869769	5.70555	0.682901	2.62703	0.682722	2.62634
0.475376	3.73912	0.453187	5.52954	0.873241	5.5998	0.684517	2.63345	0.684338	2.63272
0.477681	3.76427	0.456583	5.52351	0.876649	5.49378	0.686137	2.64071	0.685957	2.63986
0.480001	3.78906	0.459974	5.51745	0.879992	5.38784	0.687762	2.64878	0.687581	2.64781
0.482337	3.81345	0.463362	5.51119	0.883269	5.28205	0.689391	2.6576	0.689211	2.65657
0.484687	3.83759	0.466746	5.5049	0.886482	5.17679	0.691027	2.66717	0.690845	2.66605
0.487052	3.86143	0.470126	5.49853	0.88963	5.07234	0.692669	2.6774	0.692486	2.67629
0.489431	3.88491	0.473501	5.49207	0.892714	4.96874	0.694317	2.6884	0.694134	2.68719
0.491825	3.90803	0.476874	5.48556	0.895735	4.8664	0.695972	2.70007	0.695788	2.69875
0.494233	3.93087	0.480241	5.47892	0.898693	4.76546	0.697634	2.7124	0.69745	2.71097
0.496655	3.95339	0.483605	5.47221	0.90159	4.66612	0.699304	2.72534	0.699119	2.72386
0.49909	3.97554	0.486965	5.46547	0.904426	4.56864	0.700983	2.73886	0.700796	2.73735
0.50154	3.99739	0.490321	5.45865	0.907203	4.47302	0.70267	2.75307	0.702482	2.75143
0.504002	4.01892	0.493672	5.45169	0.909922	4.37955	0.704365	2.76778	0.704177	2.76614
0.506478	4.04007	0.497019	5.44471	0.912584	4.28834	0.70607	2.78307	0.705881	2.78132
0.508966	4.06092	0.500362	5.43767	0.915191	4.19941	0.707785	2.79889	0.707594	2.79708
0.511467	4.08157	0.5037	5.43054	0.917744	4.11301	0.709509	2.81518	0.709318	2.8134
0.513981	4.10177	0.507034	5.4233	0.920245	4.02916	0.711244	2.83199	0.711051	2.83016
0.516507	4.12165	0.510364	5.41602	0.922695	3.94786	0.712989	2.84934	0.712795	2.84738
0.519045	4.14126	0.513689	5.40872	0.925095	3.86922	0.714745	2.86712	0.71455	2.86504
0.521595	4.1605	0.517009	5.40129	0.927449	3.7933	0.716512	2.88528	0.716315	2.88325
0.524157	4.17951	0.520325	5.3938	0.929756	3.72007	0.71829	2.90386	0.718092	2.9018
0.52673	4.19818	0.523637	5.38627	0.93202	3.64952	0.72008	2.92287	0.719881	2.92074
0.529315	4.21651	0.526943	5.37868	0.93424	3.5817	0.721881	2.94232	0.721681	2.94021
0.531911	4.23461	0.530245	5.371	0.93642	3.51664	0.723695	2.96215	0.723493	2.95994
0.534518	4.25233	0.533543	5.36327	0.938561	3.45422	0.725521	2.98229	0.725318	2.97997
0.537136	4.26974	0.536835	5.35546	0.940664	3.39436	0.727359	3.00274	0.727155	3.00042
0.539764	4.28695	0.540123	5.34767	0.942732	3.33721	0.72921	3.02352	0.729004	3.02126
0.542403	4.30377	0.543406	5.33977	0.944765	3.28259	0.731074	3.04463	0.730867	3.04234
0.545052	4.32029	0.546684	5.33182	0.946765	3.23045	0.732951	3.06607	0.732742	3.06366
0.547712	4.3366	0.549957	5.32385	0.948734	3.18089	0.734841	3.08778	0.734631	3.08531
0.550381	4.35259	0.553225	5.31581	0.950673	3.13362	0.736745	3.10975	0.736533	3.10724
