Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.417072	5.38188	0.332503	4.28581	0.753797	9.76605	0.635595	8.22985	0.635127	8.23947	0.956536	11.8913
0.41886	5.36048	0.33583	4.29311	0.758696	9.74832	0.637627	8.18799	0.637164	8.19752	0.959627	11.8351
0.420665	5.33965	0.339155	4.30027	0.763561	9.73044	0.639638	8.14656	0.63918	8.156	0.962749	11.7802
0.422488	5.31937	0.342479	4.3073	0.768391	9.71241	0.64163	8.10556	0.641176	8.1149	0.965902	11.7265
0.424328	5.29964	0.3458	4.31418	0.773183	9.6942	0.643603	8.06498	0.643153	8.07422	0.969083	11.674
0.426185	5.28043	0.349119	4.32094	0.777936	9.6758	0.645558	8.02483	0.645113	8.03397	0.972292	11.6227
0.428059	5.26173	0.352437	4.32756	0.782648	9.65718	0.647496	7.9851	0.647054	7.99414	0.975528	11.5724
0.42995	5.24354	0.355752	4.33405	0.787317	9.63833	0.649417	7.94579	0.648979	7.95474	0.978788	11.5232
0.431858	5.22584	0.359065	4.34042	0.791941	9.61923	0.651323	7.90691	0.650888	7.91576	0.982071	11.475
0.433783	5.20861	0.362376	4.34667	0.796519	9.59987	0.653214	7.86845	0.652783	7.8772	0.985377	11.4278
0.435725	5.19185	0.365686	4.35279	0.801049	9.58023	0.65509	7.83041	0.654663	7.83907	0.988275	11.3874
0.437684	5.17554	0.368993	4.3588	0.805529	9.5603	0.656954	7.7928	0.656529	7.80136	0.990758	11.3535
0.439659	5.15967	0.372298	4.36469	0.809958	9.54007	0.658805	7.75561	0.658383	7.76408	0.992818	11.3259
0.441651	5.14423	0.3756	4.37047	0.814334	9.51952	0.660645	7.71885	0.660226	7.72722	0.994452	11.3042
0.44366	5.12922	0.378901	4.37613	0.818655	9.49864	0.662474	7.68251	0.662057	7.69078	0.995656	11.2884
0.445685	5.11461	0.382199	4.38169	0.822921	9.47744	0.664293	7.64659	0.663878	7.65476	0.996428	11.2784
0.447725	5.1004	0.385495	4.38714	0.827129	9.45588	0.666102	7.61109	0.665689	7.61916	0.997539	11.264
