Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.90564	2.53565	0.606715	4.85698	1.90667	2.53543	0.88414	7.82828	1.25704	10.5393	1.65938	13.2308	2.00061	15.824	0.59121	5.23836	1.93068	2.62223	1.25698	10.5393	1.63202	12.861	2.07105	16.4242
1.90062	2.53675	0.609028	4.78707	1.90164	2.53653	0.88745	7.70028	1.25751	10.4766	1.66255	13.0167	2.00103	15.5436	0.594656	5.16333	1.92497	2.62269	1.25811	10.4821	1.63288	12.638	2.07379	16.1504
1.89561	2.53788	0.611156	4.71823	1.89662	2.53765	0.890605	7.57597	1.25804	10.4096	1.66561	12.8092	2.0016	15.2742	0.597867	5.08925	1.91924	2.62313	1.25932	10.4206	1.63391	12.4241	2.0764	15.8853
1.89061	2.53903	0.613114	4.6505	1.89162	2.5388	0.893602	7.45513	1.25882	10.3203	1.66855	12.6081	2.00232	15.0154	0.600851	5.01613	1.91348	2.62355	1.26094	10.3381	1.63513	12.219	2.0789	15.6285
1.88562	2.5402	0.614914	4.58392	1.88663	2.53996	0.896438	7.33754	1.25987	10.2103	1.67138	12.413	2.00321	14.7666	0.603615	4.94397	1.90772	2.62394	1.26295	10.2357	1.63653	12.0221	2.08127	15.3795
1.88064	2.5414	0.616569	4.51854	1.88165	2.54115	0.899112	7.22302	1.26126	10.0815	1.67409	12.2237	2.00426	14.5272	0.60617	4.8728	1.90193	2.62431	1.26531	10.1144	1.6381	11.8331	2.08352	15.138
1.87567	2.54261	0.618094	4.4544	1.87668	2.54236	0.901625	7.11139	1.26304	9.93604	1.67669	12.0398	2.00547	14.2969	0.608525	4.80266	1.89613	2.62466	1.26801	9.97557	1.63984	11.6515	2.08564	14.9036
1.87071	2.54384	0.619501	4.39151	1.87172	2.54359	0.903977	7.0025	1.26529	9.77628	1.67917	11.8611	2.00684	14.0751	0.610694	4.73357	1.89031	2.62499	1.27099	9.82077	1.64175	11.4769	2.08765	14.676
1.86576	2.54509	0.620805	4.32993	1.86676	2.54484	0.906169	6.89621	1.26775	9.62374	1.68155	11.6874	2.00836	13.8615	0.612689	4.66559	1.88448	2.62531	1.27386	9.6705	1.64355	11.3302	2.08954	14.4548
1.8608	2.54635	0.622017	4.26967	1.86181	2.54609	0.908203	6.79242	1.27043	9.47802	1.68382	11.5185	2.01005	13.6556	0.614523	4.59875	1.87864	2.62561	1.27661	9.52455	1.64519	11.2091	2.09132	14.2398
