Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
401  Points		399  Points		402  Points		388  Points		378  Points		364  Points		355  Points		399  Points		396  Points		378  Points		362  Points		173  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.87922	2.448	0.4867	3.64519	1.8805	2.44754	1.82285	2.47407	1.16757	7.91842	1.39682	9.46222	2.05857	3.11184	0.486691	3.65061	0.864907	6.42014	1.06915	7.56423	1.47145	9.98181	1.72661	11.8208	2.11556	14.5492
1.87481	2.44962	0.48682	3.58415	1.87609	2.44915	1.81877	2.47629	1.17176	7.83995	1.39787	9.32364	2.05779	3.12156	0.486808	3.58936	0.87286	6.37007	1.06934	7.53743	1.47516	9.85276	1.72724	11.6413	2.1182	14.3398
1.87042	2.45127	0.486977	3.52542	1.87169	2.45079	1.81471	2.47855	1.17523	7.77398	1.39917	9.19082	2.05705	3.1314	0.486962	3.53043	0.880661	6.32056	1.06964	7.49945	1.47874	9.72676	1.72805	11.4683	2.12075	14.1362
1.86601	2.45291	0.487177	3.46892	1.86729	2.45244	1.81067	2.48086	1.17801	7.72002	1.40071	9.06361	2.05634	3.14135	0.487158	3.47374	0.888271	6.27133	1.07	7.45888	1.48218	9.60359	1.72904	11.3018	2.12319	13.9381
1.86155	2.45449	0.487426	3.41459	1.86285	2.45405	1.80666	2.48321	1.18016	7.67769	1.40253	8.94187	2.05567	3.15143	0.487402	3.41923	0.89565	6.22206	1.07055	7.40489	1.48546	9.48307	1.73022	11.1415	2.12553	13.7453
1.85685	2.45576	0.487728	3.36236	1.85825	2.45545	1.80266	2.4856	1.1817	7.64676	1.40464	8.82546	2.05503	3.16163	0.4877	3.36682	0.902754	6.17248	1.07137	7.33857	1.48857	9.365	1.73161	10.9872	2.12775	13.5573
1.85151	2.4562	0.488089	3.31216	1.85314	2.45618	1.79869	2.48803	1.18268	7.62703	1.40704	8.71422	2.05442	3.17195	0.488055	3.31644	0.90954	6.12228	1.07254	7.26132	1.49151	9.24923	1.73322	10.8387	2.12985	13.3741
1.84557	2.45584	0.488511	3.26392	1.84732	2.45599	1.79473	2.4905	1.18406	7.59878	1.40975	8.60801	2.05384	3.1824	0.488472	3.26804	0.915962	6.07122	1.07419	7.17481	1.49427	9.1356	1.73505	10.6958	2.13183	13.1953
1.83941	2.45518	0.489	3.21758	1.8412	2.45538	1.79079	2.49301	1.18553	7.5682	1.41278	8.50667	2.0533	3.19297	0.488955	3.22153	0.921976	6.01902	1.07648	7.08104	1.49683	9.02399	1.7371	10.5583	2.13367	13.0208
1.83319	2.45443	0.489558	3.17308	1.83499	2.45465	1.78686	2.49556	1.18748	7.52682	1.41614	8.41001	2.05279	3.20367	0.489507	3.17687	0.927544	5.96551	1.07926	6.99314	1.4992	8.91429	1.7394	10.426	2.13538	12.8502
1.82693	2.45364	0.490189	3.13035	1.82874	2.45387	1.78294	2.49815	1.18987	7.47479	1.41981	8.31787	2.05231	3.2145	0.490131	3.13399	0.932632	5.91052	1.08254	6.91108	1.50138	8.80638	1.74193	10.2988	2.13695	12.6836
1.82067	2.45283	0.490895	3.08934	1.82248	2.45306	1.77904	2.50077	1.19263	7.41231	1.42382	8.23006	2.05186	3.22546	0.490831	3.09284	0.937218	5.85399	1.08636	6.83478	1.50335	8.70019	1.7447	10.1763	2.13839	12.5206
1.8144	2.45201	0.49168	3.04999	1.81622	2.45225	1.77515	2.50342	1.19568	7.33955	1.42813	8.14637	2.05145	3.23655	0.491608	3.05334	0.94129	5.79589	1.09073	6.7641	1.50512	8.59566	1.74771	10.0585	2.13968	12.3612
1.80814	2.45118	0.492545	3.01224	1.80995	2.45142	1.77127	2.5061	1.19893	7.2567	1.43276	8.0666	2.05106	3.24777	0.492467	3.01546	0.944849	5.7363	1.09567	6.69884	1.50669	8.49272	1.75096	9.9452	2.14084	12.2052
1.80187	2.45035	0.493493	2.97604	1.80368	2.45059	1.7674	2.50882	1.20189	7.17447	1.43704	8.00013	2.05071	3.25912	0.493408	2.97913	0.947906	5.67536	1.10115	6.63872	1.50807	8.39134	1.75445	9.83611	2.14186	12.0525
1.7956	2.44952	0.494527	2.94135	1.79742	2.44976	1.76354	2.51155	1.20458	7.09281	1.44087	7.94559	2.05039	3.27061	0.494433	2.9443	0.950485	5.61325	1.10717	6.58343	1.50925	8.29148	1.75818	9.73109	2.14275	11.9029
1.78934	2.44868	0.495647	2.9081	1.79115	2.44892	1.75967	2.51432	1.20698	7.01168	1.44414	7.90191	2.05011	3.28223	0.495546	2.91093	0.952616	5.55021	1.1137	6.5326	1.51025	8.19311	1.76212	9.62996	2.1435	11.7564
1.78309	2.44785	0.496856	2.87625	1.78489	2.44809	1.75581	2.5171	1.2091	6.93109	1.44681	7.86824	2.04985	3.29399	0.496747	2.87897	0.954337	5.48647	1.12069	6.48587	1.51098	8.10861	1.76629	9.53253	2.14413	11.6129
1.77683	2.44701	0.498155	2.84576	1.77864	2.44726	1.75195	2.51989	1.21094	6.85104	1.44881	7.84396	2.04963	3.30589	0.498039	2.84836	0.955686	5.4223	1.12812	6.44284	1.5115	8.03746	1.77067	9.43862	2.14463	11.4722
1.77058	2.44618	0.499547	2.81659	1.77239	2.44642	1.74808	2.5227	1.21252	6.77154	1.45011	7.82863	2.04944	3.31793	0.499422	2.81907	0.956703	5.35793	1.13595	6.40314	1.51186	7.97924	1.77525	9.34805	2.14501	11.3344
1.76434	2.44535	0.501033	2.78869	1.76614	2.44559	1.7442	2.52552	1.21383	6.69263	1.45199	7.80687	2.04928	3.33011	0.5009	2.79106	0.957427	5.29358	1.14412	6.36641	1.5121	7.9336	1.78002	9.26064	2.14528	11.1992
1.7581	2.44452	0.502615	2.76202	1.7599	2.44476	1.74031	2.52833	1.2149	6.61435	1.45407	7.78357	2.04915	3.34244	0.502474	2.76429	0.957895	5.22945	1.15261	6.33235	1.51226	7.90026	1.78496	9.17622	2.14544	11.0668
